,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-28.174999999999997,27.265555555555554,87.6,5000
1,-27.827777777777772,28.610833333333343,87.9,320
2,-27.13055555555556,28.12777777777778,88.6,1000
3,-28.174999999999997,27.265555555555554,89.3,1000
4,-28.394444444444453,28.6925,89.3,316
5,-27.65277777777778,27.539999999999996,89.7,1000
6,-27.55833333333333,28.959166666666665,89.7,1000
7,-27.55833333333333,28.959166666666665,89.7,1000
8,-27.13055555555556,28.12777777777778,89.7,500
9,-28.46388888888888,27.445277777777772,90.0,1000
10,-27.65277777777778,27.539999999999996,90.2,6000
11,-27.55833333333333,28.959166666666665,90.3,1000
12,-28.174999999999997,27.265555555555554,90.7,5000
13,-27.683333333333334,28.4925,90.8,500
14,-27.641666666666666,27.48722222222222,91.0,1000
15,-27.1,28.25027777777777,91.2,1000
16,-28.394444444444453,28.6925,91.2,1000
17,-27.13055555555556,28.12777777777778,91.7,1000
18,-28.733333333333334,27.70444444444445,92.3,1000
19,-28.174999999999997,27.265555555555554,92.6,1000
20,-27.947222222222226,28.209166666666665,92.6,500
21,-27.13055555555556,28.12777777777778,92.8,5000
22,-28.497222222222227,27.99833333333333,93.2,500
23,-28.602777777777778,27.848888888888887,93.2,300
24,-27.65277777777778,27.539999999999996,93.3,6000
25,-28.394444444444453,28.6925,93.6,1000
26,-28.174999999999997,27.265555555555554,93.9,5000
27,-28.46388888888888,27.445277777777772,93.9,1000
28,-27.13055555555556,28.12777777777778,94.0,1000
29,-27.641666666666666,27.48722222222222,94.3,1000
30,-27.13055555555556,28.12777777777778,94.6,1000
31,-27.65277777777778,27.539999999999996,95.0,500
32,-28.733333333333334,27.70444444444445,95.3,1000
33,-27.66388888888888,27.569722222222225,95.6,5000
34,-27.13055555555556,28.12777777777778,96.0,1000
35,-27.827777777777772,28.610833333333343,96.1,0
36,-27.65277777777778,27.539999999999996,96.5,1500
37,-27.55833333333333,28.959166666666665,96.5,1000
38,-27.844444444444452,28.481944444444437,96.8,5000
39,-28.46388888888888,27.445277777777772,96.8,0
40,-27.66388888888888,27.572222222222216,97.0,1000
41,-28.174999999999997,27.265555555555554,97.2,1000
42,-27.65277777777778,27.539999999999996,97.4,1000
43,-27.683333333333334,28.4925,97.6,0
44,-27.13055555555556,28.12777777777778,98.2,2000
45,-27.65277777777778,27.539999999999996,98.9,1000
46,-28.266666666666666,28.13611111111111,98.9,500
47,-27.13055555555556,28.12777777777778,99.3,1000
48,-27.65277777777778,27.539999999999996,99.8,3000
49,-28.733333333333334,27.70444444444445,99.8,316
50,-27.66388888888888,27.569722222222225,100.1,1000
51,-27.911111111111104,28.539166666666667,100.2,500
52,-28.394444444444453,28.6925,100.5,1000
53,-27.65277777777778,27.539999999999996,100.6,1000
54,-27.25833333333333,27.869166666666672,100.9,500
55,-27.55833333333333,28.959166666666665,101.1,1000
56,-27.65277777777778,27.539999999999996,101.2,500
57,-27.641666666666666,27.48722222222222,101.7,0
58,-27.641666666666666,27.48722222222222,102.0,1000
59,-28.497222222222227,27.99833333333333,102.1,1000
60,-28.733333333333334,27.70444444444445,102.4,6000
61,-27.65277777777778,27.539999999999996,102.4,1000
62,-27.63055555555556,27.48222222222222,102.5,0
63,-28.174999999999997,27.265555555555554,102.7,500
64,-27.13055555555556,28.12777777777778,102.8,5000
65,-27.827777777777772,28.610833333333343,102.9,2000
66,-27.66388888888888,27.569722222222225,103.3,1000
67,-27.55833333333333,28.959166666666665,103.6,1000
68,-27.641666666666666,27.48722222222222,103.6,100
69,-27.65277777777778,27.539999999999996,104.0,1000
70,-28.394444444444453,28.6925,104.1,1000
71,-28.174999999999997,27.265555555555554,104.3,5000
72,-27.13055555555556,28.12777777777778,104.3,500
73,-27.65277777777778,27.539999999999996,104.6,1000
74,-27.844444444444452,28.481944444444437,104.6,1000
75,-27.65277777777778,27.539999999999996,105.3,1000
76,-28.394444444444453,28.6925,105.4,1000
77,-27.65277777777778,27.539999999999996,106.0,1000
79,-27.66388888888888,27.572222222222216,106.1,1000
80,-27.833333333333332,28.866666666666667,106.1,1000
81,-28.174999999999997,27.265555555555554,106.3,1000
82,-27.13055555555556,28.12777777777778,106.4,5000
83,-27.844444444444452,28.481944444444437,106.6,1000
84,-27.66388888888888,27.569722222222225,106.9,1000
85,-27.827777777777772,28.610833333333343,106.9,1000
86,-28.174999999999997,27.265555555555554,107.7,316
87,-27.641666666666666,27.48722222222222,107.8,0
