,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,6.3,-9.116666666666667,87.9,0
1,6.3,-9.116666666666667,88.1,0
2,5.01138888888889,-7.360277777777776,88.3,300
3,6.3,-9.116666666666667,88.5,0
4,5.876388888888889,-8.36833333333333,89.1,300
5,6.291666666666665,-9.097222222222221,89.3,0
6,6.3,-9.116666666666667,89.9,0
7,6.523611111111111,-8.666944444444447,90.1,1000
8,5.1975,-6.198055555555556,90.2,400
9,6.3,-9.116666666666667,90.2,0
10,6.983333333333333,-7.799999999999997,90.5,5000
11,6.808611111111112,-8.683888888888887,90.7,0
12,6.345277777777777,-8.162777777777775,90.9,0
13,6.3,-9.116666666666667,91.5,5000
14,6.066666666666666,-6.445833333333333,91.5,5000
15,4.366666666666666,-6.033333333333333,91.5,1000
16,6.75,-8.433333333333334,91.8,0
17,4.366666666666666,-6.033333333333333,91.9,250
18,6.3,-9.116666666666667,92.1,1350
19,7.063888888888889,-8.8125,92.5,450
20,7.784444444444444,-7.7624999999999975,92.5,250
21,7.355833333333335,-7.554999999999998,92.9,300
22,6.75,-9.7,93.2,0
23,6.3,-9.116666666666667,93.3,0
24,4.594444444444443,-6.0,93.5,350
25,5.876388888888889,-8.36833333333333,93.7,0
26,6.983333333333333,-7.799999999999997,93.7,0
27,6.281111111111111,-9.074722222222226,93.7,0
28,8.360833333333336,-8.526666666666669,94.1,850
29,7.233333333333333,-7.316666666666666,94.5,500
30,6.3,-9.116666666666667,94.5,250
31,6.3,-9.116666666666667,94.9,0
32,4.672222222222222,-6.745833333333334,95.0,200
33,7.365277777777776,-7.023611111111113,95.1,1000
34,6.3,-9.116666666666667,95.5,1000
35,6.808611111111112,-8.683888888888887,95.6,300
36,6.3,-9.116666666666667,96.1,1000
37,6.270833333333333,-8.670833333333336,96.3,300
38,6.983333333333333,-7.799999999999997,96.5,2000
39,6.3,-9.116666666666667,96.6,0
40,6.967777777777776,-9.635277777777778,96.7,150
41,6.962499999999998,-7.168333333333335,96.9,6000
42,7.365277777777776,-7.023611111111113,97.1,5000
43,8.429444444444446,-8.076666666666663,97.1,5000
44,6.523611111111111,-8.666944444444447,97.5,1000
45,6.3,-9.116666666666667,97.6,2500
46,6.3,-9.116666666666667,97.9,300
47,7.365277777777776,-7.023611111111113,97.9,300
48,6.494166666666667,-7.184722222222224,98.0,500
50,7.365277777777776,-7.023611111111113,98.4,400
51,6.066666666666666,-6.445833333333333,98.6,500
52,6.3,-9.116666666666667,98.7,2000
53,6.666666666666667,-9.5,98.9,300
54,7.784444444444444,-7.7624999999999975,98.9,0
55,5.469722222222223,-7.849722222222222,99.3,950
56,5.876388888888889,-8.36833333333333,99.3,430
57,8.360833333333336,-8.526666666666669,99.3,0
58,7.365277777777776,-7.023611111111113,99.5,450
59,6.3,-9.116666666666667,99.5,0
60,6.263055555555557,-9.021111111111109,99.9,10000
61,6.3,-9.116666666666667,100.3,600
62,8.062777777777775,-8.828055555555556,100.5,0
63,6.983333333333333,-7.799999999999997,100.9,0
64,6.3,-9.116666666666667,101.1,1000
65,8.429444444444446,-8.076666666666663,101.1,500
66,6.962499999999998,-7.168333333333335,101.5,200
67,6.3,-9.116666666666667,101.5,0
68,6.523611111111111,-8.666944444444447,101.7,500
69,6.3,-9.116666666666667,101.7,300
70,5.01138888888889,-7.360277777777776,101.7,0
71,6.066666666666666,-6.445833333333333,102.2,0
72,7.063888888888889,-8.8125,102.3,0
73,6.3,-9.116666666666667,102.3,0
74,6.8277777777777775,-9.464999999999998,102.4,0
75,7.278611111111109,-6.8225,102.5,450
76,4.676666666666667,-6.556944444444444,102.5,0
77,6.395833333333331,-8.815555555555553,102.5,0
78,4.366666666666666,-6.033333333333333,102.7,600
79,6.3,-9.116666666666667,102.7,0
80,6.263055555555557,-9.021111111111109,103.1,0
81,4.594444444444443,-6.0,103.2,0
82,6.26888888888889,-9.054999999999998,103.5,1500
83,6.523611111111111,-8.666944444444447,103.9,0
84,6.3,-9.116666666666667,103.9,0
85,6.3,-9.116666666666667,104.0,1000
86,7.000833333333333,-7.610277777777776,104.1,300
87,6.687777777777777,-8.533611111111114,104.2,620
88,6.983333333333333,-7.799999999999997,104.9,920
89,6.3,-9.116666666666667,104.9,0
90,6.033333333333333,-8.183333333333334,105.0,300
91,5.876388888888889,-8.36833333333333,105.4,100
92,6.813888888888889,-8.259444444444448,105.5,300
93,6.3,-9.116666666666667,105.5,0
94,6.886111111111112,-7.998611111111108,105.9,250
95,6.263055555555557,-9.021111111111109,106.0,0
96,6.666666666666667,-9.5,106.3,0
97,5.876388888888889,-8.36833333333333,106.4,300
98,7.233333333333333,-7.316666666666666,106.5,450
99,6.3,-9.116666666666669,106.6,0
100,6.3,-9.116666666666667,107.0,0
101,5.876388888888889,-8.36833333333333,107.3,0
102,6.26888888888889,-9.054999999999998,107.5,0
103,7.233333333333333,-7.316666666666666,107.9,300
104,6.983333333333333,-7.799999999999997,107.9,0
105,6.3,-9.116666666666667,107.9,0
106,6.8277777777777775,-9.464999999999998,999.9,0
