Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
32.52,13.12,81.775,10
32.5203,13.1304,87.7,10000
32.2426,15.0401,87.9,5000
32.07,20.05,88.1,5000
32.453,12.34,88.1,1500
31.555,12.0824,88.3,5000
32.344,14.0252,88.3,0
32.07,20.05,88.5,5000
32.5203,13.1304,88.5,3000
29.1022,16.0921,88.5,3000
32.4422,22.3952,88.5,1000
24.0939,23.1239,88.5,0
32.4422,22.3952,88.5,0
32.0327,23.5509,88.5,0
32.524,13.09,88.8,3000
32.0718,20.0747,88.9,0
29.0716,15.5625,88.9,0
,,88.9,0
,,89,0
32.2426,15.0401,89.1,5000
32.4702,13.1705,89.1,0
32.07,20.05,89.3,100000
30.4642,20.1344,89.3,0
32.344,14.0252,89.3,0
32.5203,13.1304,89.5,5000
32.531,11.5915,89.7,3800
32.5203,13.1304,89.9,1000
32.38,14.11,89.9,0
32.46,22.135,89.9,0
32.4149,13.5048,90.1,5000
32.4422,22.3952,90.1,0
32.524,13.09,90.5,2000
32.07,20.05,90.5,0
32.2426,15.0401,90.5,0
32.07,20.05,90.9,5000
32.38,14.11,90.9,1000
31.57,12.01,90.9,0
29.0406,15.4701,90.9,0
31.2717,12.5902,91.1,5000
32.5203,13.1304,91.1,5000
32.2426,15.0401,91.1,1000
32.2426,15.0401,91.3,0
32.5203,13.1304,91.5,1000
32.38,14.11,91.5,0
32.07,20.05,91.5,0
32.2426,15.0401,91.5,0
32.4544,12.434,91.5,0
32.0651,12.5858,91.9,5000
32.07,20.05,91.9,0
27.3258,14.1622,92.1,0
32.3,20.5,92.3,0
31.45,14.01,92.3,0
32.5203,13.1304,92.3,0
32.2426,15.0401,92.5,0
32.5203,13.1304,92.7,5000
32.5203,13.1304,92.9,5000
32.07,20.05,92.9,0
,,92.9,0
32.5203,13.1304,93.3,1000
30.4832,18.0352,93.5,0
32.0341,11.3235,93.7,0
32.2426,15.0401,93.8,0
32.5203,13.1304,93.8,0
32.07,20.05,93.9,0
32.4422,22.3952,93.9,0
31.0443,16.3934,93.9,0
32.4511,12.4411,94.5,1000
32.0024,15.0341,94.5,0
26.0549,13.334,94.9,0
32.07,20.05,94.9,0
32.2426,15.0401,95,0
32.52,13.12,95.1,5000
31.0443,16.3934,95.3,0
32.07,20.05,95.5,1000
32.2426,15.0401,95.5,1000
30.4832,18.0352,95.5,0
31.52,10.59,95.5,0
32.5032,13.1223,95.5,0
32.5655,11.5203,95.6,0
32.2426,15.0401,95.9,0
32.4422,22.3952,96.1,0
27.015,14.3038,96.1,0
32.5203,13.1304,96.3,0
32.5431,13.1528,96.5,10000
32.2426,15.0401,96.5,0
32.5203,13.1304,96.9,0
32.4511,12.4411,97.1,0
32.5203,13.1304,97.5,2000
32.4422,22.3952,97.5,1000
32.28,14.343,97.5,1000
32.5203,13.1304,97.7,10000
24.5755,10.1037,98,0
31.2136,15.1438,98,0
32.46,21.44,98.1,10000
32.555,12.044,98.1,0
,,98.3,0
32.46,12.22,98.5,0
32.07,20.05,98.9,5000
31.0443,16.3934,98.9,1000
32.4511,12.4411,98.9,0
25.5447,13.5459,98.9,0
32.53,13.203,99,5000
32.3,20.5,99.1,0
32.5113,12.0407,99.1,0
32.2426,15.0401,99.1,0
32.26,13.38,99.1,0
32.5203,13.1304,99.3,5000
32.07,20.05,99.5,5000
32.2426,15.0401,99.5,0
32.4511,12.4411,99.7,3000
32.3053,20.3752,99.7,3000
26.3518,12.4641,99.7,0
30.4642,20.1344,99.9,1000
24.0939,23.1239,99.9,0
29.0621,21.1713,99.9,0
32.2426,15.0401,99.9,0
32.5203,13.1304,99.9,0
32.07,20.05,100.1,1000
32.441,21.441,100.1,0
32.5203,13.1304,100.3,10000
32.4511,12.4411,100.5,5000
32.5203,13.1304,100.7,5000
32.07,20.05,100.7,0
32.07,20.05,101.1,1000
27.015,14.3038,101.1,0
32.4511,12.4411,101.3,1000
32.07,20.05,101.5,1000
32.4544,12.434,101.6,1000
32.49,13.004,101.9,0
32.5203,13.1304,102.1,0
29.0155,21.3245,102.3,0
32.2426,15.0401,102.3,0
31.52,10.59,102.3,0
32.5203,13.1304,102.5,5000
31.5529,12.1526,102.7,0
32.5203,13.1304,102.9,5000
32.07,20.05,102.9,0
32.4511,12.4411,103.1,5000
32.07,20.05,103.3,0
31.0602,20.1326,103.3,0
32.28,14.343,103.5,5000
32.555,12.044,103.7,0
32.0322,20.0315,103.9,0
32.2426,15.0401,104,1000
32.4511,12.4411,104.1,5000
32.5203,13.1304,104.5,5000
32.473,12.29,104.7,0
32.4528,12.2234,105.1,0
32.2426,15.0401,105.3,9000
31.0602,20.1326,105.3,5500
32.46,21.44,105.3,2000
31.52,10.59,105.3,2000
27.015,14.3038,105.3,2000
32.5203,13.1304,105.3,2000
32.3,20.5,105.3,0
32.47,22,105.3,0
32.54,21.58,105.3,0
32.0327,23.5509,105.3,0
32.07,20.05,105.5,0
29.1827,21.3825,105.5,0
32.0327,23.5509,105.5,0
29.1022,16.0921,105.5,0
32.5646,11.5142,105.5,0
32.28,14.343,105.7,0
32.07,20.05,105.9,1000
32.2224,15.0442,106,0
32.0505,12.3327,106.3,10000
32.5203,13.1304,106.7,1000
32.5342,13.1225,107.1,10000
32.07,20.05,107.1,0
32.5203,13.1304,107.3,5000
26.0544,13.3316,107.3,0
29.0716,15.5625,107.3,0
32.532,13.142,107.7,5000
32.07,20.05,107.7,2000
31.45,14.01,107.7,0
32.0343,12.3348,107.9,5000
