Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
54.4614,25.173,50.063,7
54.4113,25.1253,67.25,250
54.4113,25.1253,67.94,2000
55.3639,26.2552,68.24,4000
54.2512,24.0117,70.04,25
55.5114,23.09,70.07,12000
54.5248,23.5619,70.22,1000
54.4806,23.474,70.64,12000
55.5114,23.09,71.15,12000
54.4806,23.474,71.45,12000
54.4113,25.1253,71.81,17000
55.5114,23.09,71.93,12000
55.5114,23.09,72.71,12000
55.4605,21.0548,87.5,5012
56.1302,24.4339,87.5,1318
54.3145,23.2111,87.6,282
56.1939,22.1631,87.6,251
55.2157,23.0813,87.7,550
55.5633,25.3511,87.7,324
54.4113,25.1253,87.8,5248
55.4146,24.2308,87.9,316
55.0512,22.4608,87.9,123
55.5625,21.5226,88,977
54.1148,23.3405,88,110
54.5339,23.5606,88.1,309
55.5114,23.09,88.2,3162
55.4158,21.0851,88.2,32
55.3023,25.344,88.3,1000
54.2349,24.002,88.3,148
54.4113,25.1253,88.5,3631
55.3432,22.2034,88.5,662
56.1302,24.4339,88.5,589
55.5524,21.0438,88.7,316
55.5114,23.09,88.8,4074
54.4113,25.1253,89,18197
55.4028,21.1351,89.1,3802
54.3422,23.2253,89.1,1000
55.2952,25.3819,89.3,891
55.1555,22.1557,89.3,631
54.2349,24.002,89.3,186
56.1243,23.3433,89.4,2042
55.5625,21.5226,89.4,89
55.5609,25.3354,89.5,135
55.2157,23.0813,89.5,100
54.4113,25.1253,89.6,14125
55.5114,23.09,89.7,3451
55.1818,20.5957,89.8,372
56.1809,22.2019,89.9,724
55.134,24.4935,89.9,245
55.4408,21.3022,90.1,3715
54.4806,23.474,90.3,15136
56.1302,24.4339,90.4,209
55.5114,23.09,90.5,794
55.4605,21.0548,90.6,2818
55.2157,23.0813,90.7,501
54.4204,25.1318,90.7,309
54.3145,23.2111,90.8,2951
55.4722,24.22,90.8,115
55.3023,25.344,90.9,501
55.5625,21.5226,90.9,372
54.5339,23.5606,91,933
55.1415,22.1736,91.1,214
56.0317,22.3525,91.2,1995
55.2316,23.0714,91.3,126
55.4129,21.0847,91.4,2399
54.3145,23.2111,91.4,2138
55.5609,25.3354,91.4,302
55.1205,24.4836,91.5,1000
56.1541,21.3146,91.6,1995
55.0512,22.4608,91.6,646
53.5948,23.5927,91.7,612
55.5114,23.09,91.8,1000
55.2016,26.1033,91.8,813
55.4605,21.0548,91.9,501
54.5339,23.5606,91.9,316
55.4403,24.213,92,347
55.1818,20.5957,92.1,708
55.5114,23.09,92.2,3631
54.2349,24.002,92.2,158
55.3023,25.344,92.3,1549
55.1555,22.1557,92.3,316
54.5248,23.5619,92.4,3162
55.4605,21.0548,92.5,4467
55.2016,26.1033,92.5,204
55.5655,25.3557,92.6,724
56.1809,22.2019,92.7,2138
53.5948,23.5927,92.7,631
55.2636,23.3948,92.8,11749
55.5846,22.1221,93,389
54.4113,25.1253,93.1,8913
55.4146,24.2308,93.2,112
56.1809,22.2019,93.3,2042
55.1553,23.591,93.3,152
55.4147,21.1007,93.3,50
54.3145,23.2111,93.4,977
56.1243,23.3433,93.4,78
55.3023,25.344,93.5,1000
55.3432,22.2034,93.5,575
54.5349,23.5618,93.6,0
55.4146,24.2308,93.7,1698
55.4028,21.1351,93.7,151
54.1148,23.3405,93.7,23
55.3023,25.344,93.9,501
55.2146,21.3241,93.9,196
