Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
49.5344,6.023,50.021,5
49.2902,5.591,87.8,1000
49.4536,6.0602,88.1,100
49.2748,6.0545,88.9,100000
49.3516,6.0726,90.3,100
49.3634,6.0641,90.8,5000
49.4635,6.0449,91.7,2000
49.3234,5.502,91.7,100
50.0114,6.0617,92.5,50000
49.2748,6.0545,93.3,100000
49.4913,6.0644,94.1,2000
49.3404,5.5509,94.3,2000
49.5138,6.1043,94.7,100
49.4635,6.0449,95,2000
49.4308,6.155,95,200
49.3424,6.2011,95,200
49.5019,6.1741,95,100
49.4845,6.2421,95,100
49.5055,5.5308,95.6,100
50.0134,6.0406,95.9,3000
49.2901,5.591,96.6,100
50.0114,6.0617,97,100000
49.3056,5.5558,97.5,500
49.5721,5.5458,98,100
49.3634,6.0641,98.3,5000
50.0333,6.0156,98.7,100
49.3234,6.0452,99.4,100
50.0748,6.0032,99.5,100
49.2902,5.591,100.2,100
49.2748,6.0545,100.7,100000
49.333,6.0326,101.2,1000
50.0748,6.0032,101.2,100
49.484,6.132,101.5,200
49.2951,5.585,101.7,100
49.5237,6.1003,102.2,100
49.3453,6.0528,102.2,100
49.3235,5.5019,102.2,100
49.5721,5.5458,102.2,100
49.3706,6.0837,102.9,1000
50.0748,6.0032,102.9,100
49.5808,5.5454,102.9,50
49.4845,6.2421,103.1,100
49.5031,6.0614,103.1,100
49.4308,6.155,103.1,100
49.4154,6.2545,103.1,100
49.3323,5.5114,103.1,100
49.424,6.0957,103.4,1000
50.0748,6.0032,103.4,100
49.5808,5.5454,103.4,100
49.291,6.0438,103.6,100
49.3056,6.0654,103.9,100
49.5058,6.1116,103.9,100
49.3056,5.5558,104.2,100
49.4308,6.155,104.2,100
49.4535,6.2653,104.2,100
49.5031,6.0614,104.2,90
50.0333,6.0156,104.2,50
49.5432,5.5234,104.2,50
49.3706,6.0837,105,500
50.0114,6.0614,105,100
49.4804,6.281,105.2,100
49.5033,6.064,105.2,100
49.5213,5.581,105.2,100
49.3243,6.2148,105.6,100
49.2951,5.585,105.7,100
50.0748,6.0032,105.8,100
49.2901,5.591,106,100
49.48,5.56,106.1,100
50.0333,6.0156,106.1,100
49.484,6.132,106.4,100
49.4805,6.281,106.5,100
49.3415,5.5945,106.5,100
49.3658,6.055,106.5,50
50.0548,5.5813,107,100
49.3126,6.0046,107,100
49.36,6.11,107,100
49.3056,5.5558,107.2,100
49.5031,6.0614,107.2,100
49.5721,5.5458,107.2,100
49.41,6.234,107.3,100
49.4817,6.2521,107.4,100
49.3706,6.0837,107.7,1000
