,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-14.363888888888887,35.02416666666668,87.5,660
1,-10.14722222222222,33.82111111111111,87.5,620
2,-9.55833333333333,34.22861111111112,87.6,250
3,-12.274999999999997,33.75444444444444,87.6,100
4,-14.130555555555555,35.08638888888888,87.7,1000
5,-12.302777777777777,33.76138888888889,87.8,1000
6,-9.79722222222222,34.043888888888894,87.9,10000
7,-14.09166666666667,35.05777777777779,87.9,1000
8,-12.10833333333333,32.88527777777778,88.0,1000
9,-12.544444444444446,34.95305555555556,88.0,250
10,-14.900000000000002,35.112500000000004,88.1,1000
11,-10.64722222222222,33.57555555555556,88.1,1000
12,-13.15,34.608611111111124,88.1,500
13,-10.833333333333334,34.11000000000001,88.3,1000
14,-12.302777777777777,33.76138888888889,88.3,1000
15,-13.669444444444444,35.274444444444434,88.3,1000
16,-9.79722222222222,34.043888888888894,88.4,1000
17,-8.277499999999998,33.91722222222221,88.5,1000
18,-12.10833333333333,32.88527777777778,88.5,1000
19,-14.358333333333338,34.796388888888885,88.5,500
20,-14.130555555555555,35.08638888888888,88.6,1900
21,-10.833333333333334,34.11000000000001,88.7,1000
22,-12.302777777777777,33.76138888888889,88.7,1000
23,-11.7,34.00805555555554,88.7,1000
24,-12.680555555555554,34.32444444444444,88.9,2000
25,-9.933333333333334,34.28333333333333,88.9,1000
26,-13.669444444444444,35.274444444444434,88.9,1000
27,-11.358333333333338,33.48138888888888,89.0,1000
28,-8.018055555555557,33.263888888888886,89.1,500
29,-10.833333333333334,34.11000000000001,89.1,500
30,-14.130555555555555,35.08638888888888,89.3,1000
31,-12.10833333333333,32.88527777777778,89.3,1000
32,-8.018055555555557,33.263888888888886,89.5,1000
33,-12.302777777777777,33.76138888888889,89.5,1000
34,-11.358333333333338,33.48138888888888,89.7,1300
35,-13.15,34.608611111111124,89.7,1000
36,-13.669444444444444,35.274444444444434,89.8,1000
37,-9.79722222222222,34.043888888888894,89.9,1000
38,-12.416666666666666,34.92777777777776,89.9,250
39,-12.016666666666667,33.934444444444445,89.9,200
40,-8.933333333333335,34.10249999999999,90.1,1000
41,-14.130555555555555,35.08638888888888,90.2,1000
42,-12.683333333333335,34.32388888888888,90.3,2688
43,-11.358333333333338,33.48138888888888,90.3,1000
44,-10.394444444444446,34.721944444444446,90.4,500
45,-14.130555555555555,35.08638888888888,90.6,2000
46,-11.7,34.00805555555554,90.7,2000
47,-8.018055555555557,33.263888888888886,90.7,1000
48,-12.302777777777777,33.76138888888889,90.7,1000
49,-11.266666666666667,34.28333333333333,90.7,1000
50,-11.98611111111111,33.93555555555555,90.7,0
51,-9.79722222222222,34.043888888888894,90.8,100000
52,-8.277499999999998,33.91722222222221,91.0,500
53,-14.130555555555555,35.08638888888888,91.1,1000
54,-12.680555555555554,34.32444444444444,91.1,1000
55,-11.358333333333338,33.48138888888888,91.1,1000
56,-9.79722222222222,34.043888888888894,91.1,1000
57,-14.900000000000002,35.112500000000004,91.3,1000
58,-8.277499999999998,33.91722222222221,91.4,1000
59,-12.544444444444446,34.95305555555556,91.4,1000
60,-12.26666666666667,33.790000000000006,91.5,10000
61,-14.130555555555555,35.08638888888888,91.5,1000
62,-12.544444444444446,34.95305555555556,91.8,1000
63,-8.277499999999998,33.91722222222221,91.8,500
64,-11.266666666666667,34.28333333333333,91.8,500
65,-13.669444444444444,35.274444444444434,91.9,1800
66,-12.016666666666667,33.934444444444445,91.9,1480
67,-9.79722222222222,34.043888888888894,91.9,1000
68,-8.018055555555557,33.263888888888886,92.0,1000
69,-9.7,33.86666666666668,92.3,1000
70,-12.302777777777777,33.76138888888889,92.3,1000
71,-13.669444444444444,35.274444444444434,92.3,1000
72,-11.7,34.00805555555554,92.4,2000
73,-10.394444444444446,34.721944444444446,92.5,1000
74,-8.277499999999998,33.91722222222221,92.5,0
75,-12.544444444444446,34.95305555555556,92.6,1000
76,-14.130555555555555,35.08638888888888,92.7,5000
77,-12.016666666666667,33.934444444444445,92.7,1480
78,-9.79722222222222,34.043888888888894,92.7,1000
79,-10.652777777777779,33.615,92.8,1000
80,-11.98611111111111,33.93555555555555,92.9,1000
81,-14.130555555555555,35.08638888888888,93.1,1000
82,-9.79722222222222,34.043888888888894,93.1,1000
83,-12.680555555555554,34.32444444444444,93.2,1000
84,-11.358333333333338,33.48138888888888,93.2,1000
85,-8.933333333333335,34.10249999999999,93.2,500
86,-14.761111111111113,34.869722222222215,93.3,1000
87,-10.233333333333333,33.6,93.3,250
88,-12.1,34.45000000000001,93.4,1000
89,-12.302777777777777,33.76138888888889,93.5,1000
90,-13.669444444444444,35.274444444444434,93.5,1000
91,-12.302777777777777,33.76138888888889,93.6,1000
92,-12.680555555555554,34.32444444444444,93.7,1000
93,-8.277499999999998,33.91722222222221,93.7,1000
94,-15.25,35.233333333333334,93.7,50
95,-11.974999999999998,33.93611111111111,93.9,2000
96,-13.669444444444444,35.274444444444434,93.9,2000
97,-14.130555555555555,35.08638888888888,94.3,1000
98,-13.686111111111112,35.57861111111111,94.3,1000
99,-12.10833333333333,32.88527777777778,94.3,1000
100,-11.7,34.00805555555554,94.3,1000
101,-13.15,34.608611111111124,94.4,635
102,-14.130555555555555,35.08638888888888,94.7,100000
103,-12.26666666666667,33.790000000000006,94.7,5000
104,-10.14722222222222,33.82111111111111,94.7,250
105,-12.544444444444446,34.95305555555556,94.9,1000
106,-8.933333333333335,34.10249999999999,95.0,1000
107,-12.016666666666667,33.934444444444445,95.1,1480
108,-9.79722222222222,34.043888888888894,95.1,1000
109,-13.669444444444444,35.274444444444434,95.1,1000
110,-12.26666666666667,33.790000000000006,95.1,0
111,-8.277499999999998,33.91722222222221,95.5,2000
112,-14.130555555555555,35.08638888888888,95.5,1000
113,-12.680555555555554,34.32444444444444,95.5,1000
114,-11.358333333333338,33.48138888888888,95.5,1000
115,-9.79722222222222,34.043888888888894,95.5,1000
116,-15.25,35.233333333333334,95.5,50
117,-11.266666666666667,34.28333333333333,95.8,1000
118,-10.14722222222222,33.82111111111111,95.9,2000
119,-14.09166666666667,35.05777777777779,95.9,1000
120,-12.302777777777777,33.76138888888889,95.9,1000
