,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,5.395555555555554,100.29166666666664,50.005,50
1,6.322222222222224,99.85,87.5,100
2,4.594999999999999,101.0136111111111,87.6,2000
3,5.281944444444443,115.18416666666664,87.6,100
4,2.290277777777778,111.83333333333333,87.6,100
5,3.830833333333333,103.36166666666666,87.6,0
6,3.1527777777777786,101.70361111111114,87.7,1000
7,4.213888888888889,114.04611111111113,87.7,400
8,4.633333333333333,117.4,87.7,100
9,6.010833333333333,116.20777777777779,87.7,0
10,6.541944444444447,116.68555555555555,87.7,0
11,1.6033333333333335,103.54638888888893,87.8,6000
12,5.786388888888889,100.43361111111112,87.8,2000
13,2.969444444444445,112.93027777777777,87.9,1000
14,4.958333333333336,118.16666666666667,87.9,1000
15,5.307499999999999,103.13472222222221,87.9,1000
16,1.9411111111111112,111.42944444444441,87.9,1000
17,2.842222222222223,102.06611111111111,87.9,1000
18,3.564722222222223,102.78027777777777,87.9,250
19,4.594999999999999,101.0136111111111,87.9,0
20,5.616666666666667,115.9,88.0,100
21,3.171666666666667,102.95555555555558,88.0,0
22,3.4286111111111115,101.78916666666665,88.1,2000
23,6.0441666666666665,116.2136111111111,88.1,1000
24,1.585555555555556,110.19166666666665,88.1,1000
25,4.213888888888889,114.04611111111113,88.1,1000
26,2.4166666666666665,111.25,88.1,1000
27,2.0125000000000006,112.93555555555555,88.1,100
28,3.9333333333333336,102.35166666666666,88.1,100
29,2.3705555555555557,102.60694444444445,88.1,0
30,5.893055555555556,102.17555555555555,88.1,0
31,3.1666666666666665,101.7,88.1,0
33,5.786388888888889,100.43361111111112,88.2,2000
34,4.880000000000001,115.40222222222222,88.2,0
35,4.594999999999999,101.0136111111111,88.3,2000
36,2.2883333333333336,103.67250000000003,88.3,1000
37,2.712222222222222,101.93972222222222,88.3,1000
38,3.740833333333333,103.13861111111113,88.3,500
39,2.9,112.08333333333333,88.3,500
40,2.969444444444445,112.93027777777777,88.3,0
41,5.695833333333335,101.83972222222226,88.4,100
42,2.290277777777778,111.83333333333333,88.4,100
43,3.1527777777777786,101.70361111111114,88.5,1000
44,5.2700000000000005,116.0533333333333,88.5,1000
45,5.251388888888887,100.59166666666664,88.5,250
46,5.3794444444444425,100.26138888888889,88.5,250
47,5.307777777777777,100.22000000000003,88.5,100
48,5.281944444444443,115.18416666666664,88.5,100
49,4.633333333333333,117.4,88.5,100
50,2.3705555555555557,102.60694444444445,88.5,0
51,6.133333333333334,102.25,88.6,0
52,5.608055555555555,100.92222222222225,88.7,1000
53,4.958333333333336,118.16666666666667,88.7,1000
54,5.307499999999999,103.13472222222221,88.7,1000
55,2.842222222222223,102.06611111111111,88.7,1000
56,4.783333333333333,100.76666666666667,88.7,100
57,4.180000000000001,101.25583333333336,88.7,100
58,4.744444444444444,115.00694444444444,88.7,0
59,3.830833333333333,103.36166666666666,88.8,0
60,3.4286111111111115,101.78916666666665,88.9,2000
61,6.0441666666666665,116.2136111111111,88.9,1000
62,1.585555555555556,110.19166666666665,88.9,1000
63,4.213888888888889,114.04611111111113,88.9,1000
64,2.0125000000000006,112.93555555555555,88.9,100
65,5.616666666666667,115.9,88.9,100
66,5.564166666666667,102.48861111111113,88.9,0
67,5.786388888888889,100.43361111111112,89.0,0
68,6.541944444444447,116.68555555555555,89.0,0
69,2.2883333333333336,103.67250000000003,89.1,1000
