,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,16.95972222222222,-0.35805555555555557,87.6,0
1,13.679722222222221,-6.071944444444444,87.7,0
2,13.439722222222223,-6.267500000000001,87.7,0
3,12.650000000000002,-7.9425,87.9,0
4,15.428611111111111,3.018611111111111,88.0,100
5,14.453333333333333,-12.199722222222222,88.0,100
6,12.650555555555556,-8.041666666666666,88.1,500
7,12.650555555555556,-8.041666666666666,88.5,0
8,11.301944444444445,-5.676111111111113,88.7,1000
9,11.178611111111111,-8.158333333333333,88.7,1000
10,12.74222222222222,-8.084166666666667,88.7,500
11,12.650000000000002,-7.9425,88.7,0
12,16.265833333333333,-0.033888888888888885,88.8,0
13,12.650555555555556,-8.041666666666666,88.9,100000
14,14.253055555555555,-5.9813888888888895,89.0,1000
15,11.444444444444443,-7.511111111111111,89.1,1000
16,14.444444444444443,-11.416666666666666,89.1,500
17,15.133333333333333,-10.533333333333333,89.1,100
18,12.596666666666664,-7.877777777777778,89.1,0
19,12.370277777777776,-5.478055555555555,89.3,0
20,12.83611111111111,-11.235277777777778,89.7,1000
21,13.077777777777776,-9.51666666666667,89.7,1000
22,12.650555555555556,-8.041666666666666,89.7,100
23,13.679722222222221,-6.071944444444444,89.7,0
24,12.650000000000002,-7.9425,90.2,0
25,16.76666666666667,-3.0,90.3,1000
26,11.301944444444445,-5.676111111111113,90.4,0
27,12.650555555555556,-8.041666666666666,90.7,500
28,13.60361111111111,-4.97861111111111,90.8,0
29,17.383333333333333,0.08333333333333333,91.0,1000
30,18.439444444444444,1.403888888888889,91.0,1000
31,13.909444444444444,-4.545833333333332,91.0,0
32,10.783333333333335,-8.191388888888888,91.0,0
33,13.291944444444443,-4.898888888888887,91.0,0
34,12.650555555555556,-8.041666666666666,91.1,500
35,20.25833333333333,0.9902777777777779,91.2,400
36,12.919166666666667,-6.759166666666665,91.2,0
37,14.498055555555553,-4.198333333333334,91.2,0
38,16.76666666666667,-3.0,91.4,30
39,12.650555555555556,-8.041666666666666,91.5,500
40,13.594444444444443,-8.044444444444444,91.6,1000
41,14.392499999999998,-11.388333333333332,91.7,1000
42,12.650000000000002,-7.9425,91.7,0
43,16.265833333333333,-0.033888888888888885,91.7,0
