,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,17.05638888888889,-12.221388888888887,87.7,100
1,15.575,-6.41111111111111,88.0,1000
2,20.916666666666668,-15.383333333333333,88.0,1000
3,16.664166666666667,-7.937500000000002,88.1,1000
4,15.558888888888887,-3.84138888888889,88.1,1000
5,16.589444444444446,-12.595555555555556,88.1,0
6,16.02138888888889,-10.905000000000005,88.1,0
7,20.155277777777773,-14.300833333333335,88.2,500
8,16.513055555555557,-9.119444444444444,88.2,100
9,15.665833333333332,-10.694166666666668,88.3,100
10,19.74055555555555,-12.708888888888886,88.4,500
11,17.198888888888888,-13.204722222222227,88.4,160
12,16.416666666666668,-11.466666666666667,88.5,500
13,15.85,-4.283333333333333,88.5,0
14,15.545555555555557,-10.031944444444449,88.6,100
15,16.15,-11.833333333333334,89.0,9000
16,17.31027777777778,-13.464999999999998,89.3,100
17,16.589444444444446,-12.595555555555556,89.3,0
18,15.833333333333334,-7.0,89.4,500
19,15.85,-4.283333333333333,89.5,630
20,15.66388888888889,-11.569444444444445,89.7,100
21,16.375,-12.269444444444444,89.9,500
22,17.199444444444442,-10.565277777777775,89.9,100
23,25.133333333333333,-9.85,90.0,100
24,15.13111111111111,-11.044166666666667,90.0,100
25,16.566666666666666,-5.516666666666667,90.1,1000
26,17.05638888888889,-12.221388888888887,90.1,400
27,18.141388888888887,-14.327499999999995,90.2,1000
28,16.58333333333334,-10.75,90.2,500
29,20.52472222222222,-11.367777777777778,90.2,100
30,16.02138888888889,-10.905000000000005,90.2,100
31,18.561111111111106,-9.766666666666666,90.2,100
32,15.524166666666666,-8.466111111111111,90.2,100
33,16.589444444444446,-12.595555555555556,90.2,0
34,15.819444444444441,-7.737777777777776,90.3,500
35,19.74055555555555,-12.708888888888886,90.4,500
36,19.961944444444445,-11.693611111111114,90.4,100
37,15.93694444444444,-9.836666666666666,90.5,500
38,15.545555555555557,-10.031944444444449,90.5,0
39,15.512222222222217,-11.174999999999997,90.7,500
40,20.0325,-11.370277777777776,90.8,500
41,16.151666666666664,-12.098888888888887,90.8,500
42,16.0,-14.833333333333334,90.8,160
43,17.467222222222222,-9.66361111111111,90.9,500
44,20.566666666666666,-13.833333333333334,90.9,0
45,18.141388888888887,-14.327499999999995,91.0,1000
46,16.92333333333333,-13.98277777777778,91.0,500
47,15.558888888888887,-3.84138888888889,91.2,1000
48,16.616666666666667,-9.733333333333334,91.4,100
49,15.665833333333332,-10.694166666666668,91.4,100
50,20.916666666666668,-15.383333333333333,91.5,500
51,19.74055555555555,-12.708888888888886,91.5,316
52,17.198888888888888,-13.204722222222227,91.5,160
53,15.545555555555557,-10.031944444444449,91.7,100
54,17.103611111111107,-10.966944444444447,91.8,160
55,20.916666666666668,-15.383333333333333,92.0,1000
56,18.437500000000004,-7.816388888888891,92.1,100
57,20.0325,-11.370277777777776,92.4,500
58,15.116666666666667,-10.55,92.4,500
59,17.31027777777778,-13.464999999999998,92.4,100
60,20.155277777777773,-14.300833333333335,92.4,0
61,17.548611111111118,-13.02555555555556,92.5,500
62,15.833333333333334,-7.0,92.5,500
63,17.333333333333332,-11.5,92.5,500
64,15.85,-4.283333333333333,92.6,100
65,16.216388888888893,-11.466388888888886,92.7,1000
66,18.141388888888887,-14.327499999999995,92.8,1000
67,15.66388888888889,-11.569444444444445,92.8,100
68,17.199444444444442,-10.565277777777775,93.0,100
