,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,47.27055555555557,28.79166666666666,50.02,1
1,47.72944444444445,28.031944444444438,65.9,17000
2,47.12138888888889,28.566666666666666,66.02,17000
3,46.833333333333336,29.633333333333333,66.17,300
4,47.0611111111111,28.809166666666666,66.41,250
5,48.13333333333333,28.25,66.53,100
6,47.72944444444445,28.031944444444438,66.68,8000
7,47.12138888888889,28.566666666666666,66.8,20000
8,48.03333333333333,28.425000000000004,66.98,10
9,45.93500000000001,28.275277777777777,67.37,20000
10,48.18333333333333,27.3,67.46,8000
11,48.18333333333333,27.3,67.46,8000
12,47.12138888888889,28.566666666666666,67.58,20000
13,48.15361111111111,28.27583333333333,67.79,200
14,47.20222222222222,27.88638888888888,68.0,20000
15,47.72944444444445,28.031944444444438,68.24,8000
16,45.93500000000001,28.275277777777777,68.3,600
17,47.9463888888889,28.806944444444444,68.39,100
18,47.12138888888889,28.566666666666666,68.48,20000
19,46.64583333333336,29.633333333333333,68.6,50
20,47.82805555555555,27.839166666666667,68.66,20
21,46.824166666666656,28.56722222222222,68.93,200
22,48.18333333333333,27.3,68.99,1000
23,45.93500000000001,28.275277777777777,69.14,20000
24,47.77583333333333,27.889722222222222,69.2,1300
25,47.021666666666675,28.829166666666662,69.44,200
26,47.20222222222222,27.88638888888888,69.53,20000
27,46.28333333333333,28.716666666666665,69.74,500
28,46.333333333333336,28.966666666666665,69.86,200
29,45.9,28.666666666666668,69.95,200
30,46.166666666666664,28.966666666666665,70.13,10
31,47.0,28.866666666666667,70.28,100
32,48.18333333333333,27.3,70.31,8000
33,47.28333333333333,28.316666666666666,70.46,30
34,47.934444444444445,28.82472222222222,70.52,40
35,47.47500000000001,28.108333333333327,70.61,10
36,45.55,28.383333333333333,70.85,10
37,47.75,27.575000000000006,70.91,10
38,47.045,28.862500000000008,71.0,300
39,47.77583333333333,27.889722222222222,71.15,138
40,46.63972222222223,29.42750000000001,71.24,20000
41,48.03194444444445,27.799444444444443,71.38,150
42,47.491666666666674,28.363333333333333,71.48,125
43,46.904444444444444,28.781666666666666,71.57,2500
44,46.45555555555555,28.280555555555555,71.66,200
45,46.333333333333336,28.966666666666665,71.72,200
46,47.12138888888889,28.566666666666666,72.02,20000
47,47.733333333333334,29.0,72.35,1000
48,48.15,27.404166666666658,72.35,10
49,47.20222222222222,27.88638888888888,72.62,100
50,48.018611111111106,28.716111111111108,72.71,200
51,47.004166666666656,28.81805555555556,72.71,100
52,46.63972222222223,29.42750000000001,72.8,20000
53,47.004166666666656,28.81805555555556,73.28,200
54,48.083333333333336,28.4,73.64,10
55,48.27361111111111,28.069444444444443,73.97,10
56,46.733333333333334,29.7,74.0,350
57,47.0,28.810000000000002,87.6,316
58,46.05,28.833333333333332,87.7,4000
59,48.15361111111111,28.27583333333333,87.7,4000
60,46.28333333333333,28.716666666666665,87.7,560
61,47.28333333333333,28.316666666666666,87.8,200
62,46.63972222222223,29.42750000000001,87.8,125
63,46.63972222222223,29.42750000000001,87.8,100
64,48.18333333333333,27.3,87.9,3000
65,47.0288888888889,28.894166666666663,88.0,1000
66,46.266666666666666,28.2,88.1,2500
67,45.68333333333333,28.4,88.1,160
