,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,42.43749999999999,19.291666666666664,50.019,20
1,42.075,19.100833333333338,87.6,300
2,42.46333333333333,19.32361111111111,87.6,300
3,42.902222222222214,19.104444444444443,87.6,200
4,42.5611111111111,19.116666666666667,87.6,0
5,42.82777777777778,19.511388888888884,87.7,1000
6,43.02638888888889,19.759722222222216,87.9,1000
7,42.812222222222225,18.992777777777775,88.0,9000
8,42.43611111111112,18.745277777777773,88.0,300
9,42.46333333333333,19.32361111111111,88.1,300
10,42.28388888888889,18.823055555555555,88.2,1000
11,42.866666666666674,19.911111111111108,88.2,100
12,42.3911111111111,18.927777777777774,88.2,100
13,42.79444444444444,19.433333333333337,88.3,1000
14,42.56083333333333,19.818333333333335,88.4,1000
15,41.963333333333345,19.24444444444444,88.4,1000
16,42.766666666666666,18.97777777777777,88.4,100
17,42.42944444444445,18.71583333333333,88.5,500
18,43.150000000000006,19.111111111111107,88.5,300
19,42.75249999999999,19.616666666666667,88.6,1000
20,42.84027777777777,20.175000000000004,88.6,0
21,42.15083333333333,19.01472222222222,88.7,0
22,43.02638888888889,19.759722222222216,89.0,1000
23,42.43611111111112,18.745277777777773,89.0,1000
24,42.70000000000001,19.01666666666667,89.0,300
25,42.4125,18.763888888888886,89.0,2
26,42.93527777777776,19.55055555555556,89.0,0
27,42.87166666666666,19.893055555555556,89.1,3000
28,42.28388888888889,18.823055555555555,89.2,1000
29,42.71611111111112,18.575555555555553,89.2,1000
30,43.33027777777777,19.389166666666664,89.2,1000
31,42.44722222222222,18.493611111111115,89.2,300
32,42.46333333333333,19.32361111111111,89.3,5000
33,42.84027777777777,20.022777777777776,89.5,5000
34,42.15083333333333,19.01472222222222,89.6,3000
35,42.82777777777778,19.511388888888884,89.7,0
36,42.812222222222225,18.992777777777775,89.8,500
37,42.59444444444444,19.959999999999997,89.9,3000
38,43.39666666666667,19.16138888888889,89.9,1000
39,42.84027777777777,20.022777777777776,90.0,1000
40,42.28388888888889,18.823055555555555,90.0,300
41,42.44722222222222,18.493611111111115,90.0,250
42,42.3911111111111,18.927777777777774,90.1,800
43,42.75249999999999,19.616666666666667,90.2,1000
44,42.812222222222225,18.992777777777775,90.3,1000
45,41.963333333333345,19.24444444444444,90.4,1000
46,41.963333333333345,19.24444444444444,90.4,0
