,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,35.446111111111115,-4.0855555555555565,36.375,0
1,34.22916666666667,-5.113888888888887,50.027,3
2,35.446111111111115,-4.0855555555555565,62.0,0
3,35.446111111111115,-4.0855555555555565,62.15,0
4,35.446111111111115,-4.0855555555555565,62.27,0
5,35.446111111111115,-4.0855555555555565,62.29,0
6,35.446111111111115,-4.0855555555555565,62.72,0
7,34.96722222222222,-1.0666666666666669,87.6,12000
8,32.890277777777776,-5.234444444444446,87.6,6000
9,35.797777777777775,-4.051111111111113,87.6,5010
10,33.44777777777778,-5.877222222222224,87.6,5000
11,32.10916666666667,-4.797222222222224,87.6,1000
12,31.03722222222222,-7.229166666666667,87.6,1000
13,33.81333333333333,-3.1686111111111104,87.6,1000
14,34.259166666666665,-4.98138888888889,87.7,12000
15,34.88416666666666,-4.143888888888887,87.7,4000
16,33.00055555555556,-2.494722222222223,87.7,2000
17,32.67916666666666,-3.0622222222222226,87.7,1000
18,30.470833333333335,-7.128611111111112,87.7,1000
19,32.337500000000006,-7.598055555555554,87.8,5000
20,32.58194444444445,-2.8886111111111106,87.8,3160
21,35.484722222222224,-3.6811111111111092,87.8,3000
22,32.81666666666667,-4.166666666666667,87.8,1000
23,34.70138888888888,-0.2472222222222218,87.8,1000
24,30.90611111111112,-2.318611111111112,87.8,500
25,30.435555555555553,-7.956944444444443,87.9,20000
26,33.91444444444444,-5.140555555555554,87.9,20000
27,27.15,-11.533333333333333,87.9,10000
28,31.517777777777777,-3.860277777777777,87.9,3160
29,29.57888888888889,-8.348055555555554,87.9,1000
30,34.53722222222222,-2.9716666666666662,87.9,500
31,33.29611111111111,-3.8083333333333336,87.9,0
32,32.57416666666666,-0.27027777777777773,88.0,20000
33,35.27916666666666,-4.386388888888889,88.0,2510
34,31.68861111111111,-2.5005555555555548,88.0,1000
35,26.127222222222212,-12.82111111111111,88.0,1000
36,23.693333333333324,-14.256666666666666,88.0,1000
37,31.03722222222222,-7.229166666666667,88.0,1000
38,32.47083333333334,-6.261111111111113,88.0,1000
39,28.488888888888898,-9.659444444444441,88.0,1000
40,34.23916666666667,-2.353055555555557,88.0,1000
41,30.318611111111117,-4.142222222222222,88.0,1000
42,33.07166666666667,-5.02472222222222,88.0,500
43,31.77666666666667,-3.7802777777777767,88.0,200
44,33.46416666666667,-2.6147222222222233,88.0,200
45,33.404444444444444,-3.4258333333333333,88.1,10000
46,22.584999999999997,-12.6225,88.1,6000
47,30.470833333333335,-7.128611111111112,88.1,1260
48,35.01916666666667,-2.0838888888888896,88.1,1260
49,31.76416666666667,-3.6444444444444457,88.1,1000
50,32.13333333333333,0.415555555555555,88.1,1000
51,29.203888888888898,-8.344166666666668,88.1,1000
52,32.72527777777779,-3.4258333333333333,88.1,500
53,32.25888888888888,-2.8275,88.1,500
54,28.013611111111103,-9.132500000000004,88.1,200
55,32.15194444444444,-3.9530555555555553,88.1,200
56,32.07694444444444,-2.6425,88.2,20000
57,31.209166666666665,-6.186388888888889,88.2,6310
58,33.525000000000006,-5.9125,88.2,5000
59,29.72777777777778,-6.2944444444444425,88.2,2000
60,29.91583333333334,-6.574444444444445,88.2,1580
61,34.732499999999995,-2.46861111111111,88.2,1000
62,35.781388888888884,-4.137222222222224,88.2,126
63,31.732777777777777,-7.775000000000004,88.3,12000
64,25.149722222222213,-10.691111111111116,88.3,6000
65,34.04583333333334,-3.3019444444444437,88.3,2000
66,30.303888888888885,-6.5658333333333365,88.3,1000
67,32.06416666666667,-4.828611111111112,88.3,1000
68,33.465833333333336,-2.2947222222222217,88.3,1000
69,30.026944444444442,-3.8777777777777755,88.3,1000
70,30.90611111111112,-2.318611111111112,88.3,1000
71,31.517777777777777,-3.860277777777777,88.3,1000
72,30.99833333333333,-5.170555555555555,88.3,500
73,32.686111111111124,-3.8805555555555573,88.3,200
74,29.203888888888898,-8.344166666666668,88.4,10000
75,34.33555555555555,-0.889444444444444,88.4,5000
76,32.337500000000006,-7.598055555555554,88.4,4000
77,29.015833333333337,-7.216388888888885,88.4,1580
78,33.61833333333335,-2.7666666666666675,88.4,1000
79,30.685555555555553,-6.491388888888887,88.4,1000
80,31.953888888888887,-1.9258333333333333,88.4,1000
81,35.55,-3.7016666666666644,88.4,1000
82,28.604166666666668,-7.7541666666666655,88.5,8900
83,34.259166666666665,-4.98138888888889,88.5,3160
84,35.21722222222223,-2.261666666666666,88.5,3000
85,29.769722222222214,-7.408055555555556,88.5,2500
86,31.70500000000001,-3.2744444444444456,88.5,2000
