,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,16.814999999999998,96.1325,87.6,2000
1,16.814999999999998,96.1325,87.9,50000
2,16.161111111111115,94.76527777777775,87.9,2000
3,22.95111111111111,97.74888888888887,87.9,2000
4,19.62027777777778,97.28027777777777,87.9,2000
5,21.90444444444444,95.99111111111108,87.9,2000
6,18.955833333333327,96.43888888888891,87.9,1000
7,20.91694444444445,95.24305555555557,87.9,0
8,17.084166666666665,95.19500000000001,88.0,2000
9,20.869999999999997,95.86861111111111,88.0,1000
10,17.98361111111111,95.73833333333334,88.0,1000
11,24.258333333333326,97.22861111111112,88.0,300
12,9.99,98.55194444444443,88.0,300
13,23.41166666666667,98.64027777777778,88.0,300
14,19.431388888888883,93.54361111111113,88.0,300
15,25.306944444444444,96.94,88.0,300
16,22.916666666666668,96.5,88.0,300
17,25.390833333333333,97.3966666666667,88.0,300
18,27.3075,97.42166666666668,88.0,300
19,22.625833333333333,97.30305555555557,88.0,300
20,19.16666666666667,97.34027777777777,88.0,150
21,25.61611111111111,96.3111111111111,88.0,150
22,23.455555555555552,97.92583333333333,88.0,150
23,16.041666666666664,98.12222222222225,88.0,150
24,20.83222222222222,92.97916666666669,88.0,150
25,20.343611111111116,97.9975,88.0,150
26,21.60444444444444,93.44138888888891,88.0,150
27,18.82583333333334,97.15888888888888,88.0,150
28,20.51805555555556,99.25527777777779,88.0,150
29,15.823888888888888,94.80777777777774,88.0,150
30,21.147222222222222,94.16333333333337,88.0,150
31,12.08472222222222,99.01194444444445,88.0,150
32,23.752777777777776,96.15166666666666,88.0,150
33,18.849722222222226,94.24944444444444,88.0,150
34,15.264444444444443,97.85555555555558,88.0,150
35,16.814999999999998,96.1325,88.2,0
36,14.093611111111109,98.16972222222223,88.3,2000
37,21.18111111111111,99.74083333333334,88.3,2000
38,17.95694444444445,96.71277777777776,88.3,2000
39,16.76138888888889,94.73111111111108,88.3,2000
40,20.91694444444445,95.24305555555557,88.3,2000
41,18.811111111111114,95.21805555555554,88.3,2000
42,19.75722222222222,96.18805555555556,88.3,2000
43,19.99805555555556,95.54527777777778,88.3,2000
44,22.751388888888894,95.42611111111111,88.3,2000
45,20.010555555555552,96.4475,88.3,1000
46,17.2225,97.22416666666668,88.3,1000
47,25.98,95.69166666666665,88.3,1000
48,22.638055555555557,93.62500000000003,88.3,300
49,23.995,97.9077777777778,88.3,300
50,18.47055555555556,94.35888888888888,88.3,300
51,18.869444444444447,97.31666666666666,88.3,150
52,15.306944444444444,98.3863888888889,88.3,150
53,20.220833333333328,97.72055555555553,88.3,150
54,23.3,97.96388888888889,88.3,150
55,21.176388888888887,96.44472222222223,88.3,150
56,19.90472222222222,96.13222222222221,88.3,0
57,22.08222222222222,95.29083333333334,88.6,1000
58,16.814999999999998,96.1325,88.6,500
59,23.20416666666667,95.52583333333334,88.6,300
60,16.816111111111116,96.15416666666665,88.9,50000
61,20.846111111111114,92.44388888888892,88.9,2000
62,23.995,97.9077777777778,88.9,2000
63,21.90444444444444,95.99111111111108,88.9,2000
64,20.197500000000005,92.85888888888888,88.9,2000
65,16.881111111111117,97.68166666666669,88.9,1000
66,16.87055555555555,94.3825,88.9,500
67,24.258333333333326,97.22861111111112,88.9,300
68,24.181388888888883,96.33055555555555,88.9,300
69,16.68111111111111,98.50888888888888,88.9,300
70,25.390833333333333,97.3966666666667,88.9,300
71,24.93611111111111,96.3586111111111,88.9,300
72,16.161111111111115,94.76527777777775,89.2,2000
73,19.19222222222222,93.85527777777779,89.2,2000
74,20.170277777777773,96.17138888888888,89.2,2000
75,16.881111111111117,97.68166666666669,89.2,1000
76,23.317777777777778,93.76249999999997,89.2,1000
77,18.47055555555556,94.35888888888888,89.2,1000
78,22.16944444444444,94.14305555555556,89.2,300
79,22.330555555555556,96.8,89.2,300
80,24.181388888888883,96.33055555555555,89.2,150
81,21.517500000000005,97.86583333333333,89.2,150
82,20.318888888888885,98.355,89.2,150
83,14.131388888888889,98.43833333333335,89.2,150
84,23.833333333333332,97.69055555555556,89.2,150
85,22.88722222222223,95.9838888888889,89.2,150
86,24.93611111111111,96.3586111111111,89.2,0
87,16.814999999999998,96.1325,89.3,0
88,16.290555555555557,95.41138888888888,89.5,2000
89,21.348611111111115,95.07000000000002,89.5,2000
90,18.811111111111114,95.21805555555554,89.5,2000
91,19.75722222222222,96.18805555555556,89.5,2000
92,17.2225,97.22416666666668,89.5,1000
93,17.632499999999997,95.46444444444445,89.5,1000
94,20.869999999999997,95.86861111111111,89.5,1000
95,17.95694444444445,96.71277777777776,89.5,1000
96,16.007777777777775,94.33722222222225,89.5,500
97,23.995,97.9077777777778,89.5,500
98,19.62027777777778,97.28027777777777,89.5,300
99,16.814999999999998,96.1325,89.6,0
100,17.34444444444445,96.49722222222222,89.8,2000
101,16.468055555555555,97.63138888888885,89.8,2000
102,16.468055555555555,97.63138888888885,89.8,2000
103,20.17361111111111,94.87277777777776,89.8,2000
104,20.197500000000005,92.85888888888888,89.8,2000
105,20.77555555555556,97.05888888888889,89.8,2000
106,18.955833333333327,96.43888888888891,89.8,2000
107,15.8,95.29472222222222,89.8,1000
108,14.093611111111109,98.16972222222223,89.8,1000
109,9.99,98.55194444444443,89.8,1000
110,22.08222222222222,95.29083333333334,89.8,1000
111,16.68111111111111,98.50888888888888,89.8,1000
112,12.457777777777777,98.65,89.8,1000
113,20.010555555555552,96.4475,89.8,300
114,22.638055555555557,93.62500000000003,89.8,300
115,21.18111111111111,99.74083333333334,89.8,300
116,23.41166666666667,98.64027777777778,89.8,300
117,22.95111111111111,97.74888888888887,89.8,300
118,23.683333333333334,98.76666666666667,89.8,300
119,20.447222222222223,99.87944444444447,89.8,300
120,20.447222222222223,99.87944444444447,89.8,300
121,22.625833333333333,97.30305555555557,89.8,300
122,24.881666666666664,94.93388888888884,89.8,150
123,23.796111111111113,95.67777777777776,89.8,150
124,16.814999999999998,96.1325,89.9,0
125,20.846111111111114,92.44388888888892,90.1,2000
126,16.795,96.15999999999997,90.2,0
127,23.317777777777778,93.76249999999997,90.4,2000
128,16.290555555555557,95.41138888888888,90.4,1000
129,16.881111111111117,97.68166666666669,90.4,1000
130,20.91694444444445,95.24305555555557,90.7,2000
131,17.98361111111111,95.73833333333334,90.7,1000
133,21.90444444444444,95.99111111111108,91.0,2000
134,20.77555555555556,97.05888888888889,91.0,2000
135,18.955833333333327,96.43888888888891,91.0,2000
136,16.814999999999998,96.1325,91.0,2000
137,24.07472222222222,95.37249999999997,91.0,150
138,17.34444444444445,96.49722222222222,91.3,2000
139,16.468055555555555,97.63138888888885,91.3,2000
140,20.17361111111111,94.87277777777776,91.3,2000
141,18.811111111111114,95.21805555555554,91.3,1000
142,19.75722222222222,96.18805555555556,91.3,1000
143,19.90472222222222,96.13222222222221,91.3,0
144,20.91694444444445,95.24305555555557,91.9,2000
145,12.457777777777777,98.65,92.2,2000
146,21.90444444444444,95.99111111111108,92.2,2000
147,20.77555555555556,97.05888888888889,92.2,2000
148,17.34444444444445,96.49722222222222,92.5,2000
149,16.468055555555555,97.63138888888885,92.5,2000
150,20.17361111111111,94.87277777777776,92.5,2000
151,16.76138888888889,94.73111111111108,92.5,2000
152,18.811111111111114,95.21805555555554,92.5,2000
153,19.75722222222222,96.18805555555556,92.5,2000
154,23.995,97.9077777777778,92.5,500
155,16.76138888888889,94.73111111111108,93.1,2000
156,17.2225,97.22416666666668,93.1,1000
157,20.91694444444445,95.24305555555557,93.1,1000
158,21.90444444444444,95.99111111111108,93.4,2000
159,18.955833333333327,96.43888888888891,93.4,2000
160,16.468055555555555,97.63138888888885,93.7,2000
161,16.76138888888889,94.73111111111108,93.7,2000
162,19.75722222222222,96.18805555555556,93.7,2000
163,20.77555555555556,97.05888888888889,93.7,2000
164,20.91694444444445,95.24305555555557,94.3,2000
165,21.90444444444444,95.99111111111108,94.6,2000
166,12.457777777777777,98.65,94.6,1000
167,16.76138888888889,94.73111111111108,94.9,2000
168,18.811111111111114,95.21805555555554,94.9,2000
169,19.75722222222222,96.18805555555556,94.9,2000
170,20.17361111111111,94.87277777777776,94.9,1000
171,16.76138888888889,94.73111111111108,96.1,2000
172,17.34444444444445,96.49722222222222,96.1,0
173,16.814999999999998,96.1325,96.1,0
174,21.983333333333334,96.07500000000003,96.5,0
175,19.90472222222222,96.13222222222221,96.7,0
176,16.777777777777775,96.15,99.6,1000
177,17.084166666666665,95.19500000000001,100.6,1000
178,19.90472222222222,96.13222222222221,103.0,0
179,16.93611111111111,95.96944444444445,104.8,100
