Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
38.33,125.47,89.2,10000
38.24,127.23,89.4,20000
39.1136,126.0338,89.5,10000
39.15,125.5,90.1,2000
37.5731,126.3302,90.3,0
38.543,125.56,90.3,0
38.57,125.34,91.1,190
38.543,125.56,91.9,0
37.5731,126.3302,92.5,0
37.5417,126.0911,92.8,10000
39.075,127.2419,92.9,0
38.543,125.56,93.1,0
40.5,126.41,93.3,5000
38.543,125.56,93.3,0
37.5731,126.3302,93.6,10000
41.232,128.123,93.8,2000
38.543,125.56,94.5,0
39.075,127.2419,95.1,5000
38.543,125.56,95.1,0
38.24,127.23,95.5,0
39.1136,126.0338,95.9,0
38.543,125.56,96.7,0
38.2035,126.5349,97,20000
37.5731,126.3302,97.3,0
38.543,125.56,97.3,0
39.1136,126.0338,97.7,0
38.0404,125.4413,97.8,100000
38.543,125.56,98.1,0
37.5731,126.3302,98.7,0
37.5731,126.3302,99.5,0
38.543,125.56,99.6,0
38.543,125.56,101.1,0
40.0322,124.2712,101.3,10000
38.543,125.56,101.8,0
40.56,128.45,102.1,1000
37.5731,126.3302,102.3,2000
38.33,125.47,103,2000
37.5731,126.3302,103.1,0
39.03,125.4531,103.5,20000
38.0404,125.4413,103.7,100000
39.15,125.5,104.5,2000
39.03,125.4531,105.2,20000
41.48,129.5,105.5,10000
39.5736,127.3224,106,20000
39.03,125.4531,106.5,20000
38.4933,126.0549,106.5,2000
38.47,125.2,107.2,2000
38.543,125.56,107.7,0
