,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,41.43333333333333,21.633333333333333,87.6,0
1,41.56583333333335,22.538611111111113,87.6,0
2,41.65,20.866666666666667,87.7,50
3,41.55111111111111,20.48555555555556,87.7,0
4,41.965277777777786,21.398055555555548,87.8,1800
5,41.55,21.7,87.8,200
6,41.869444444444454,21.931388888888883,87.9,300
7,41.9025,20.976111111111116,88.0,500
8,42.22055555555556,22.45833333333334,88.0,100
9,41.56333333333335,21.28833333333334,88.0,0
10,42.0,21.033333333333335,88.0,0
11,41.40361111111111,21.53805555555556,88.0,0
12,41.43333333333333,22.631666666666664,88.1,0
13,41.706388888888874,21.80527777777778,88.3,300
14,41.31666666666667,20.816666666666666,88.3,100
15,41.73749999999999,22.18611111111111,88.3,90
16,41.983333333333334,21.366666666666667,88.4,0
17,41.28333333333333,21.116666666666667,88.4,0
18,42.146944444444436,21.723888888888894,88.5,0
19,41.383611111111115,20.87111111111111,88.6,0
20,41.34416666666665,22.443611111111107,88.6,0
21,41.99305555555554,20.900833333333328,88.8,5000
22,41.445833333333326,20.98416666666666,88.8,1000
23,42.00611111111112,22.179166666666674,88.8,150
24,41.706388888888874,21.80527777777778,88.9,100
25,42.146944444444436,21.723888888888894,89.0,1000
26,41.50027777777778,20.602222222222228,89.0,0
27,40.989999999999995,20.88,89.0,0
28,41.975833333333334,21.40666666666666,89.1,740
29,41.392222222222216,22.592222222222226,89.1,0
30,41.78194444444445,22.935555555555553,89.2,1000
31,41.158055555555556,22.50222222222222,89.2,100
32,41.79805555555555,20.90222222222222,89.3,50
33,41.512499999999996,20.962499999999995,89.3,50
34,41.706388888888874,21.80527777777778,89.4,300
35,41.63777777777777,22.459166666666665,89.4,200
36,41.63333333333333,22.466666666666665,89.4,200
37,41.34555555555554,21.53194444444445,89.5,0
38,41.965277777777786,21.398055555555548,89.7,1000
39,41.722500000000004,20.758611111111108,89.7,100
40,41.46194444444443,21.973055555555558,89.8,3500
