Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
,,49.3,0
-22.26,19.0032,87.6,1000
-26.343,18.0806,87.6,1000
-17.403,18.3606,87.6,500
-19.342,17.4239,87.7,5000
-24.271,17.5452,87.7,500
-28.415,17.3705,87.7,500
-17.31,24.1618,87.8,5000
-17.472,15.4234,87.8,5000
-22.423,17.0338,87.8,5000
-17.312,16.1819,87.8,1000
-20.3,16.4126,87.8,1000
-22.212,16.0741,87.8,500
-26.48,19.3853,87.9,1000
-20.312,15.1338,87.9,1000
-17.262,14.2134,88,1000
-17.303,14.5907,88,0
-22.174,19.5422,88.1,1000
-23.204,16.1308,88.1,1000
-26.29,17.1418,88.1,500
-25.274,19.2617,88.1,100
-22.315,14.4913,88.3,2000
-17.512,18.5308,88.4,500
-24.504,16.5946,88.5,1000
-22.423,17.0338,88.6,5000
-26.29,17.1418,88.6,1000
-19.141,17.4259,88.6,1000
-18.023,19.3728,88.7,5000
-20.2,16.1909,88.7,1000
-24.271,17.5452,88.7,100
-25.561,19.0659,88.8,1000
-22.57,14.3026,88.8,500
-19.34,18.06,88.9,2000
-23.403,19.2601,88.9,500
-17.34,17.1304,89,500
-21.51,20.452,89.1,500
-19.003,14.2826,89.1,100
-21.561,15.5129,89.1,100
-21.434,15.3143,89.1,100
-17.472,15.4234,89.2,5000
-22.26,19.0032,89.2,1000
-18.215,16.3501,89.2,500
-20.3,16.4126,89.2,100
-26.343,18.0806,89.3,1000
-22.385,14.3243,89.3,0
-18.022,22.1203,89.4,500
-17.31,24.1618,89.5,5000
-22.345,17.0625,89.5,1000
-19.141,17.4259,89.5,500
-17.312,16.1819,89.6,1000
-17.544,19.4547,89.6,1000
-20.41,17.0345,89.6,100
-24.203,18.2509,89.7,5000
-19.344,14.5318,89.7,1000
-26.453,15.2105,89.7,1000
-22.315,14.4913,89.7,1000
-22.26,19.0032,89.8,1000
-27.313,18.3314,89.8,1000
-20.41,17.0345,90,5000
-28.332,16.2516,90,1000
-23.18,17.0404,90,500
-18.023,19.3728,90.1,5000
-17.31,24.1618,90.1,1000
-22.385,14.3243,90.1,1000
-17.541,15.5833,90.1,0
-17.472,15.4234,90.1,0
-25.512,17.4652,90.2,1000
-21.081,18.4703,90.2,1000
-24.271,17.5452,90.2,500
-23.18,17.0404,90.3,1000
-27.572,16.4454,90.3,500
-19.342,17.4239,90.4,5000
-22.345,17.0625,90.4,1000
-18.215,16.3501,90.5,1000
-21.434,15.3143,90.6,1000
-28.064,19.5414,90.6,500
-26.453,15.2105,90.6,100
-22.26,19.0032,90.7,1000
-26.343,18.0806,90.7,1000
-17.403,18.3606,90.7,500
-19.342,17.4239,90.8,5000
-24.271,17.5452,90.8,1000
-28.415,17.3705,90.8,500
-17.31,24.1618,90.9,5000
-17.491,23.235,90.9,500
-17.472,15.4234,90.9,500
-20.3,16.4126,90.9,100
-20.312,15.1338,91,1000
-28.332,16.2516,91,0
-18.1,13.5545,91.1,5000
-22.315,14.4913,91.1,250
-20.41,17.0345,91.2,5000
-24.203,18.2509,91.2,5000
-26.29,17.1418,91.2,500
-26.453,15.2105,91.2,500
-18.55,18.02,91.2,500
-18.02,20.5332,91.3,5000
-19.34,18.06,91.3,1000
-22.345,17.0625,91.3,250
-19.141,17.4259,91.4,500
-17.512,18.5308,91.5,500
-22.385,14.3243,91.5,500
-21.303,19.2519,91.6,1000
-22.423,17.0338,91.7,5000
-26.29,17.1418,91.7,1000
-19.141,17.4259,91.7,1000
-18.023,19.3728,91.8,5000
-20.2,16.1909,91.8,1000
-24.271,17.5452,91.8,500
-19.344,14.5318,91.9,500
-22.57,14.3026,91.9,100
-23.403,19.2601,92,500
-19.33,18.0629,92,100
-17.34,17.1304,92.1,500
-22.26,19.0032,92.1,100
-18.043,21.2511,92.2,1000
-21.545,15.5417,92.2,1000
-22.07,14.17,92.2,500
-21.434,15.3143,92.2,500
-21.51,20.452,92.2,500
-21.434,15.3143,92.2,100
-21.583,15.3618,92.2,100
-19.342,17.4239,92.3,5000
-17.472,15.4234,92.3,1000
-18.215,16.3501,92.3,0
-22.26,19.0032,92.4,1000
-26.343,18.0806,92.4,100
-26.371,16.181,92.5,1000
-28.214,17.2526,92.5,1000
-18.022,22.1203,92.5,500
-17.31,24.1618,92.6,5000
-22.345,17.0625,92.6,1000
-17.5,24.35,92.6,500
-19.141,17.4259,92.6,100
-20.41,17.0345,92.7,5000
-17.312,16.1819,92.7,1000
-17.544,19.4547,92.7,100
-24.203,18.2509,92.8,5000
-26.453,15.2105,92.8,1000
-22.315,14.4913,92.8,1000
-19.344,14.5318,92.8,500
-27.313,18.3314,92.9,1000
-26.343,18.0806,92.9,1000
-22.26,19.0032,92.9,100
-17.31,24.1618,93.1,1000
-20.41,17.0345,93.1,1000
-28.332,16.2516,93.1,500
-23.18,17.0404,93.1,500
-17.472,15.4234,93.2,5000
-18.023,19.3728,93.2,5000
-22.315,14.4913,93.3,5000
-21.081,18.4703,93.3,500
-27.572,16.4454,93.4,500
-22.345,17.0625,93.5,1000
-17.303,14.5907,93.6,1000
-26.453,15.2105,93.7,1000
-28.064,19.5414,93.7,500
-21.434,15.3143,93.7,500
-20.41,17.0345,93.8,5000
-19.344,14.5318,93.8,1000
-22.26,19.0032,93.9,1000
-26.343,18.0806,93.9,1000
-17.403,18.3606,93.9,500
-19.342,17.4239,94,5000
-24.271,17.5452,94,1000
-17.31,24.1618,94.1,5000
-17.312,16.1819,94.1,1000
-22.423,17.0338,94.1,1000
-17.491,23.235,94.1,500
-17.312,16.1819,94.1,100
-20.282,16.3908,94.1,0
-26.48,19.3853,94.2,500
-18.1,13.5545,94.3,5000
-17.303,14.5907,94.3,1000
-22.385,14.3243,94.3,500
-24.203,18.2509,94.4,5000
-20.41,17.0345,94.4,1000
-26.29,17.1418,94.4,500
-18.02,20.5332,94.5,5000
-21.253,15.5641,94.6,1000
-21.545,15.5417,94.6,100
-21.434,15.3143,94.7,1000
-17.512,18.5308,94.7,500
-26.453,15.2105,94.7,100
-24.504,16.5946,94.8,1000
-22.57,14.3026,94.8,500
-22.423,17.0338,94.9,5000
-19.141,17.4259,94.9,1000
-18.023,19.3728,95,5000
-20.2,16.1909,95,1000
-24.271,17.5452,95,100
-22.07,14.17,95.1,1000
-25.561,19.0659,95.1,1000
-19.344,14.5318,95.1,500
-21.561,15.5129,95.1,100
-22.57,14.3026,95.1,100
-19.34,18.06,95.2,1000
-23.403,19.2601,95.2,500
-17.34,17.1304,95.3,500
-23.18,17.0404,95.3,500
-21.51,20.452,95.4,500
-22.315,14.4913,95.5,5000
-19.342,17.4239,95.5,5000
-19.33,18.0629,95.5,1000
-17.472,15.4234,95.5,1000
-20.3,16.4126,95.5,0
-26.343,18.0806,95.6,100
-18.043,21.2511,95.7,1000
-28.214,17.2526,95.7,500
-18.022,22.1203,95.7,500
-17.31,24.1618,95.8,5000
-26.371,16.181,95.8,1000
-22.345,17.0625,95.8,1000
-17.5,24.35,95.8,500
-19.141,17.4259,95.8,100
-20.41,17.0345,95.9,5000
-17.312,16.1819,95.9,1000
-17.544,19.4547,95.9,1000
-17.544,19.4547,95.9,500
-24.203,18.2509,96,5000
-22.315,14.4913,96,5000
-26.453,15.2105,96,1000
-27.313,18.3314,96.1,1000
-26.343,18.0806,96.1,1000
-23.18,17.0404,96.1,1000
-22.26,19.0032,96.1,250
-19.342,17.4239,96.3,5000
-28.332,16.2516,96.3,100
-17.472,15.4234,96.4,5000
-18.023,19.3728,96.4,5000
-25.512,17.4652,96.5,1000
-24.271,17.5452,96.6,500
-27.572,16.4454,96.6,500
-22.335,17.0536,96.7,1500
-17.472,15.4234,96.8,1000
-21.434,15.3143,96.9,1000
-26.453,15.2105,96.9,500
-26.48,19.3853,96.9,0
-23.18,17.0404,97.1,0
-22.26,19.0032,97.2,1000
-26.343,18.0806,97.2,1000
-17.403,18.3606,97.2,500
-19.342,17.4239,97.3,5000
-28.332,16.2516,97.3,1000
-24.271,17.5452,97.3,500
-28.415,17.3705,97.3,500
-17.472,15.4234,97.4,5000
-20.3,16.4126,97.4,1000
-17.491,23.235,97.4,500
-22.363,17.0326,97.4,100
-17.31,24.1618,97.4,0
-22.315,14.4913,97.5,1000
-26.453,15.2105,97.5,250
-18.1,13.5545,97.6,5000
-24.203,18.2509,97.7,5000
-20.35,17.27,97.7,2000
-26.29,17.1418,97.7,500
