Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
27.42,85.19,87.6,100
28.02,82.29,88,100
26.43,86.29,88.1,200
27.42,83.27,88.2,500
26.29,87.17,88.2,100
27.405,85.17,88.2,100
26.413,85.481,88.4,250
28.06,84.26,88.4,100
26.4941,87.1658,88.5,100
27.405,85.231,88.8,500
26.302,86.513,88.8,100
26.39,88.09,88.8,100
26.392,86.123,88.8,100
28.074,82.1744,89,500
27.5854,83.46,89.2,100
26.52,85.34,89.3,250
28.41,80.36,89.4,500
27.42,85.19,89.4,500
27.543,84.56,89.4,500
26.49,87.16,89.4,100
26.4,87.17,89.4,100
27.412,83.12,89.6,500
28.05,83.52,89.6,500
26.38,85.48,89.6,100
28.46,81.44,89.8,1000
27.38,85.312,89.8,500
27.42,85.19,89.8,50
26.5133,87.1912,90,2000
27.4,85.2,90,1000
28.162,83.54,90.2,1000
28.55,80.2,90.2,500
27.4,83.55,90.2,500
28.05,83.52,90.2,100
27.4226,85.1849,90.3,0
27.25,85.02,90.4,500
26.39,85.48,90.4,500
28.04,83.15,90.4,100
26.54,87.56,90.6,500
27.42,85.19,90.6,500
26.46,85.16,90.8,800
28.36,81.36,90.8,500
29.18,80.35,90.8,500
27.5218,83.3214,90.8,500
26.44,85.56,91,2500
28.14,83.59,91,2000
27.41,84.26,91,250
26.29,87.17,91.2,500
27.4121,85.1955,91.2,500
28.04,83.15,91.2,250
27.01,84.524,91.4,1000
28.02,82.29,91.4,1000
28.41,80.36,91.4,500
27.4117,84.2556,91.6,2000
28.16,83.36,91.6,800
27.4141,85.1726,91.8,1000
26.4,87.42,91.8,100
26.321,86.45,91.8,100
29.03,81.19,92,250
28.06,82.503,92,250
27.42,85.19,92.1,50
26.59,87.2,92.2,500
28.1354,83.59,92.2,500
27.01,84.524,92.2,250
27.42,83.27,92.2,250
28.02,82.29,92.4,2000
27.42,85.19,92.4,1000
27.001,85.383,92.4,250
26.38,87.59,92.6,1000
28.36,81.36,92.6,100
27.42,83.27,92.8,1000
27.303,83.27,92.8,500
27.01,84.524,92.8,500
28,84.38,92.8,500
26.321,86.45,92.8,250
28.375,82.272,92.8,100
27.25,85.02,92.9,500
27.42,85.19,93,1000
26.54,87.56,93,500
26.46,85.16,93.2,2000
28.314,81.07,93.2,2000
27.5223,83.3213,93.2,1000
,,93.3,0
28.1333,83.5924,93.4,1000
28.074,82.1744,93.4,500
27.52,84.55,93.4,100
27.4232,85.2016,93.5,500
26.4,87.42,93.6,1000
27.42,83.27,93.6,500
29.33,81.12,93.6,250
29.39,81.15,93.6,0
28.41,80.36,93.8,1000
28.18,82.38,93.8,500
26.435,85.553,93.8,100
27.41,84.26,94,2000
27.4425,85.194,94,1000
27.212,87.4,94,500
28.03,81.37,94,0
27.574,84.165,94.2,500
26.29,87.17,94.3,500
27.42,83.27,94.4,500
28.03,81.37,94.6,1000
27.371,84.314,94.6,1000
27.42,85.19,94.6,500
27.31,86.353,94.6,500
27.57,83.25,94.8,500
26.54,87.56,94.9,1000
29.184,80.355,95,500
28.06,84.26,95,500
26.435,85.553,95,100
26.4905,87.1609,95.1,500
