,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
0,52.17957375,5.930077461,87.6,10.0,0.941,519.8009
1,52.2209855,6.8940537,87.6,1000.0,0.941,
2,52.9054328,6.3968885,87.6,44700.0,0.941,
3,51.4437624,5.6187496,87.6,8510.0,0.941,
4,51.9930016,4.2074197,87.6,794.0,0.941,
5,51.5331484,4.4561276,87.6,14.0,0.941,
6,52.53668095,5.361043525,87.7,114800.0,0.941,
7,52.0056642,5.876234508,87.8,490.0,0.941,
8,51.4441976,4.9317413,87.8,100.0,0.941,
9,52.0907006,5.1215634,87.8,589.0,0.941,
10,51.5031033,3.8897596,87.9,15100.0,0.941,
11,51.6511806,5.236800144,87.9,7900.0,0.941,
12,52.9054328,6.3968885,88.0,93300.0,0.941,
13,52.1833669,4.472129403,88.0,501.0,0.941,
14,52.6008538,4.817099446,88.1,200.0,0.941,
15,52.2241375,5.1719396,88.1,3390.0,0.941,
16,52.07494555,4.269680221,88.2,100.0,0.941,
17,51.1933903,5.9882649,88.2,100000.0,0.941,
18,52.1845117,5.934748,88.2,1000.0,0.941,
19,52.850955,5.0226161,88.3,2000.0,0.941,
20,51.5331484,4.4561276,88.4,42700.0,0.941,
21,51.9187914,5.8452555,88.5,200.0,0.941,
22,52.9054328,6.3968885,88.6,38900.0,0.941,
23,51.4437624,5.6187496,88.6,25700.0,0.941,
24,51.9244424,4.47775,88.6,200.0,0.941,
25,52.0446265,4.3188215,88.6,501.0,0.941,
26,52.6008538,4.817099446,88.7,794.0,0.941,
27,52.17957375,5.930077461,88.7,288.0,0.941,
28,52.2241375,5.1719396,88.7,324.0,0.941,
29,51.7689546,4.686789055,88.8,98.0,0.941,
30,51.49433865,3.415005768,88.8,891.0,0.941,
31,51.68733715,5.01730794,88.8,501.0,0.941,
32,52.3730796,4.8924534,88.9,9330.0,0.941,
33,52.0056642,5.876234508,88.9,101.0,0.941,
34,50.8512438,5.6909768,88.9,295.0,0.941,
35,51.6511806,5.236800144,88.9,1450.0,0.941,
36,52.07494555,4.269680221,89.0,100.0,0.941,
37,52.17151315,6.34365816,89.0,3240.0,0.941,
38,53.2190652,6.5680077,89.1,3981.0,0.941,
39,51.8206116,5.5632234,89.1,5000.0,0.941,
40,52.850955,5.0226161,89.1,2000.0,0.941,
41,51.5887845,4.7760237,89.2,1000.0,0.941,
42,50.9080845,6.0264604,89.2,500.0,0.941,
43,51.39244885,6.151172414,89.2,1020.0,0.941,
44,52.51456525,6.09772036,89.2,1500.0,0.941,
45,51.4392648,5.478633,89.3,2510.0,0.941,
46,51.9244424,4.47775,89.3,20000.0,0.941,
47,51.49433865,3.415005768,89.3,83.0,0.941,
48,52.2658726,6.7924049,89.4,10000.0,0.941,
49,53.4412172,5.6377723,89.4,324.0,0.941,
50,52.53668095,5.361043525,89.4,87.0,0.941,
51,52.6008538,4.817099446,89.5,10000.0,0.941,
52,52.0907006,5.1215634,89.5,5370.0,0.941,
53,52.3730796,4.8924534,89.6,37.0,0.941,
54,52.0056642,5.876234508,89.6,521.0,0.941,
55,52.9054328,6.3968885,89.6,4900.0,0.941,
56,51.6049733,6.0531478,89.6,1000.0,0.941,
57,51.5887845,4.7760237,89.7,1850.0,0.941,
58,51.4437624,5.6187496,89.7,2510.0,0.941,
59,52.07494555,4.269680221,89.8,200.0,0.941,
60,52.53668095,5.361043525,89.8,25000.0,0.941,
61,51.84257485,5.838960629,89.8,214.0,0.941,
62,53.143001,7.0380717,89.8,140.0,0.941,
63,52.2695736,6.236339605,89.9,631.0,0.941,
64,52.75286615,6.952513466,89.9,1000.0,0.941,
65,52.3885317,4.6388048,89.9,39.8,0.941,
66,53.3613027,5.2160193,89.9,50.0,0.941,
67,52.6008538,4.817099446,90.0,20.0,0.941,
68,52.1343369,4.6561357,90.0,500.0,0.941,
69,52.3143672,6.9905783,90.0,398.0,0.941,
70,51.64113575,5.048667556,90.0,16600.0,0.941,
71,51.49433865,3.415005768,90.0,1000.0,0.941,
72,51.9685817,5.668298062,90.0,50.0,0.941,
73,52.3421489,4.960825,90.1,1260.0,0.941,
74,52.850955,5.0226161,90.1,427.0,0.941,
75,50.9431108,5.9705675,90.2,50.0,0.941,
76,51.5331484,4.4561276,90.2,50100.0,0.941,
77,51.5082754,5.958901097,90.2,100.0,0.941,
78,52.07494555,4.269680221,90.3,30.0,0.941,
79,51.4392648,5.478633,90.3,3980.0,0.941,
80,53.1638192,6.7556852,90.3,4900.0,0.941,
81,52.53668095,5.361043525,90.3,25.0,0.941,
82,52.2241375,5.1719396,90.4,48.0,0.941,
83,52.653272,5.0735802,90.4,24900.0,0.941,
84,52.087683,6.4493595,90.4,7100.0,0.941,
85,52.0056642,5.876234508,90.5,65.0,0.941,
86,51.5031033,3.8897596,90.5,50.0,0.941,
87,51.4790956,5.6557686,90.5,4370.0,0.941,
88,52.9054328,6.3968885,90.5,14100.0,0.941,
89,51.9244424,4.47775,90.5,7060.0,0.941,
90,51.7741022,5.9305385,,126.0,0.941,
91,52.2209855,6.8940537,90.7,5750.0,0.941,
92,52.0246381,5.0458792,90.7,50100.0,0.941,
93,52.9054328,6.3968885,90.8,2980.0,0.941,
94,51.29884295,3.842204396,90.8,2000.0,0.941,
95,52.0056642,5.876234508,90.9,501.0,0.941,
96,51.1933903,5.9882649,90.9,100000.0,0.941,
97,52.2347139,6.4949852,91.0,1260.0,0.941,
98,51.5331484,4.4561276,91.0,14800.0,0.941,
99,52.9035357,5.6784354,91.0,10000.0,0.941,
100,51.5589833,5.6864592,91.1,1000.0,0.941,
101,52.2241375,5.1719396,91.1,37200.0,0.941,
102,50.8512438,5.6909768,91.1,1600.0,0.941,
103,51.6511806,5.236800144,91.2,251.0,0.941,
104,53.0778724,5.7927534,91.2,4000.0,0.941,
