Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
11.58,-85.1,87.5,0
12.1024,-83.0252,88.1,0
12.0811,-86.1505,88.1,0
12.0811,-86.1505,88.1,0
11.51,-86.12,88.3,0
12.13,-85.1,88.3,0
12.261,-86.5305,88.3,0
12.064,-86.1553,88.3,0
12.0811,-86.1505,88.3,0
13.18,-86.11,88.3,0
11.58,-85.1,88.5,0
12.36,-85.46,88.5,0
13.37,-85.5,88.5,0
12.0811,-86.1505,88.6,0
12.064,-86.1553,88.7,10000
12.44,-86.08,88.7,0
12.45,-85.37,88.7,0
13.19,-85.33,88.7,0
12.25,-85.48,88.7,0
12.0537,-86.1817,88.9,1000
12.5034,-86.083,88.9,0
12.45,-85.51,88.9,0
12.0537,-86.1817,89.1,1000
13.12,-86.06,89.3,1000
12.5518,-85.5511,89.3,250
13.55,-86.07,89.3,240
13.1,-84.49,89.3,240
12.261,-86.5305,89.3,100
11.58,-86.05,89.3,100
12.1024,-83.0252,89.3,0
13.23,-86.29,89.3,0
11.0806,-84.4529,89.3,0
11.5944,-86.1821,89.5,1000
11.5557,-85.5708,89.5,0
12.064,-86.1553,89.5,0
12.45,-85.3,89.5,0
13.05,-86.21,89.7,0
12.261,-86.5305,89.7,0
11.55,-86.09,89.7,0
12.5518,-85.5511,89.7,0
11.41,-84.27,89.7,0
11.5944,-86.1821,89.9,10000
12.04,-84.32,89.9,0
11.5932,-84.4626,90.1,1000
13.0405,-85.5837,90.1,500
12.4216,-86.573,90.1,240
13.0639,-86.2536,90.1,240
12.5518,-85.5511,90.1,0
11.55,-86.05,90.3,0
12.5518,-85.5511,90.3,0
12.16,-86.34,90.3,0
13.44,-84.46,90.3,0
13.44,-84.46,90.3,0
11.5944,-86.1821,90.5,1000
13.55,-86.07,90.5,0
12.01,-83.46,90.7,1000
13.05,-86,90.7,240
12.37,-87.09,90.7,0
12.261,-86.5305,90.7,0
14.05,-83.23,90.7,0
11.2652,-85.3417,90.7,0
13.32,-85.32,90.7,0
11.5944,-86.1821,90.9,5000
11.51,-86.12,91.1,500
12.01,-83.46,91.1,100
12.37,-87.09,91.1,0
12.0038,-85.2556,91.1,0
12.2,-83.44,91.1,0
11.5944,-86.1821,91.3,10000
14.05,-83.23,91.3,0
14.06,-83.24,91.3,0
13.4544,-86.0352,91.5,250
12.5518,-85.5511,91.5,250
14.01,-84.35,91.5,240
13.05,-86.21,91.5,0
11.5548,-85.5745,91.5,0
12.0038,-85.2556,91.5,0
12.261,-86.5305,91.5,0
14.05,-83.23,91.5,0
11.26,-85.49,91.5,0
12.01,-86.12,91.5,0
11.5944,-86.1821,91.7,5000
12.261,-86.5305,91.9,2000
13.0639,-86.2536,91.9,1000
11.5548,-85.5745,91.9,0
12.25,-85.48,91.9,0
12.0811,-86.1505,92,0
12.0811,-86.1505,92.1,0
12.0811,-86.1505,92.1,0
11.41,-84.27,92.1,0
12.5518,-85.5511,92.3,1000
12.0038,-85.2556,92.3,0
12.0811,-86.1505,92.3,0
12.16,-86.34,92.3,0
13.02,-86.55,92.3,0
