,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,13.804722222222225,8.984722222222224,45.65,0
1,13.804722222222225,8.984722222222224,88.0,1000
2,14.730833333333333,5.119444444444444,88.0,600
3,14.736944444444447,0.9261111111111111,88.1,50
4,15.459722222222226,6.281666666666665,88.2,1000
5,13.535277777777775,2.0674999999999994,88.3,300
6,13.533333333333333,7.1,88.4,1000
7,13.738611111111112,7.981666666666666,88.5,1000
8,14.276111111111108,7.104722222222221,88.5,900
9,14.21611111111111,5.26638888888889,88.5,250
13,13.559722222222225,2.114444444444444,88.7,10000
14,14.931666666666665,3.434444444444445,88.7,600
15,14.181111111111111,2.551111111111111,88.7,150
16,13.516666666666667,2.1,89.0,3000
17,16.96555555555556,7.979166666666668,89.0,1000
18,13.315277777777776,12.58666666666667,89.0,1000
19,13.066666666666666,3.2,89.0,1000
20,13.533333333333333,7.1,89.0,1000
21,14.880277777777778,5.254999999999999,89.0,1000
22,13.738611111111112,7.981666666666666,89.0,1000
23,14.215277777777777,1.4497222222222224,89.0,1000
24,13.804722222222225,8.984722222222224,89.0,1000
25,13.066666666666666,3.2,89.5,1000
26,13.533333333333333,7.1,89.5,1000
27,13.516666666666667,2.1,89.5,1000
28,14.880277777777778,5.254999999999999,89.5,1000
29,13.804722222222225,8.984722222222224,89.5,1000
31,14.316944444444443,2.0872222222222225,89.5,250
32,13.639166666666668,4.028333333333332,89.7,1000
33,13.559722222222225,2.114444444444444,89.9,1000
34,16.96555555555556,7.979166666666668,90.0,1000
35,13.789722222222222,5.251666666666665,90.0,1000
36,13.315277777777776,12.58666666666667,90.0,1000
37,13.066666666666666,3.2,90.0,1000
38,13.533333333333333,7.1,90.0,1000
39,14.880277777777778,5.254999999999999,90.0,1000
40,14.215277777777777,1.4497222222222224,90.0,1000
41,13.181666666666665,8.887777777777776,90.0,500
42,13.071111111111113,2.908611111111111,90.2,10000
43,14.757777777777777,5.775833333333335,90.2,1000
44,11.883888888888889,3.4388888888888887,90.3,100
45,14.25111111111111,13.109999999999998,90.3,100
46,13.533333333333333,7.1,90.5,1000
47,13.516666666666667,2.1,90.5,1000
48,13.680555555555555,8.533888888888889,90.5,1000
49,13.804722222222225,8.984722222222224,90.5,1000
51,14.351944444444444,3.3172222222222216,90.6,50
52,13.516666666666667,2.1,90.9,600
53,13.950833333333332,7.673333333333334,91.0,1000
55,18.990000000000006,12.890833333333333,91.0,50
56,13.195000000000002,7.256388888888889,91.0,0
57,14.316944444444443,2.0872222222222225,91.1,1000
58,13.789722222222222,5.251666666666665,91.1,900
59,13.181666666666665,8.887777777777776,91.1,200
60,13.418333333333331,8.634722222222221,91.1,200
61,13.639166666666668,4.028333333333332,91.2,0
62,13.804722222222225,8.984722222222224,91.3,2500
63,13.559722222222225,2.114444444444444,91.3,1000
64,13.700555555555555,13.309444444444448,91.3,50
66,13.315277777777776,12.58666666666667,92.0,1000
67,13.516666666666667,2.1,92.0,1000
68,11.883888888888889,3.4388888888888887,92.0,100
69,13.738611111111112,7.981666666666666,92.0,0
70,14.428333333333335,6.050277777777778,92.1,100
71,14.502222222222226,6.766944444444444,92.4,1000
72,13.516666666666667,2.1,92.5,1000
73,13.789722222222222,5.251666666666665,92.6,1000
74,13.898055555555555,5.8036111111111115,92.7,10
75,13.639166666666668,4.028333333333332,92.8,1000
76,13.00222222222222,8.91,93.0,1000
77,14.658055555555555,7.232499999999998,93.1,300
78,14.316944444444443,2.0872222222222225,93.1,100
79,13.516666666666667,2.1,93.2,1000
80,13.066666666666666,3.2,93.3,1000
81,11.883888888888889,3.4388888888888887,93.3,1000
82,12.618055555555554,3.543055555555556,93.3,250
83,18.718611111111116,7.379166666666668,93.5,20
84,13.559722222222225,2.114444444444444,93.6,10000
85,19.064444444444444,8.422500000000001,93.6,1000
86,14.974166666666665,8.880555555555556,93.7,50
87,16.96555555555556,7.979166666666668,94.0,1000
88,13.066666666666666,3.2,94.0,500
89,13.337222222222218,2.3172222222222216,94.0,500
90,14.014166666666666,0.7602777777777778,94.0,500
91,14.215277777777777,1.4497222222222224,94.0,500
92,18.718611111111116,7.379166666666668,94.0,100
