,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,15.151388888888887,145.71972222222217,88.1,1800
1,15.183333333333334,145.73499999999999,89.1,250
2,15.184999999999999,145.7416666666667,89.9,1800
3,15.183333333333334,145.73499999999999,90.7,620
4,15.183333333333334,145.73499999999999,91.5,620
5,15.183333333333334,145.73499999999999,92.1,10
6,15.184999999999999,145.7416666666667,97.9,6500
7,15.184722222222222,145.74055555555557,100.3,1100
8,15.183333333333334,145.73499999999999,103.9,3200
9,15.186388888888892,145.7438888888889,162.55,110
10,1.1472222222222221,166.91666666666666,105.1,1000
