,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-18.633333333333336,57.534444444444446,87.7,10000
1,-18.783333333333335,57.339444444444425,88.6,1600
2,-18.52777777777778,57.665,88.6,1600
3,-18.813888888888886,57.51138888888889,89.3,1000
4,-18.494444444444447,57.491388888888885,89.3,1000
5,-18.65833333333334,57.77722222222223,89.9,1000
6,-18.783333333333335,57.339444444444425,90.2,1600
7,-18.52777777777778,57.665,90.2,1600
8,-18.633333333333336,57.534444444444446,90.8,10000
9,-18.813888888888886,57.51138888888889,91.2,1000
10,-18.494444444444447,57.491388888888885,91.2,1000
11,-18.783333333333335,57.339444444444425,91.7,1600
12,-18.52777777777778,57.665,91.7,1600
13,-18.666666666666668,57.45,92.0,4000
14,-18.813888888888886,57.51138888888889,92.4,1000
15,-18.494444444444447,57.491388888888885,92.4,1000
16,-18.65833333333334,57.77722222222223,92.7,1000
17,-18.633333333333336,57.534444444444446,93.2,2500
18,-18.813888888888886,57.51138888888889,93.2,1000
19,-18.494444444444447,57.491388888888885,93.2,1000
20,-18.65833333333334,57.77722222222223,93.5,1000
21,-18.633333333333336,57.534444444444446,94.0,10000
22,-18.813888888888886,57.51138888888889,94.4,1000
23,-18.494444444444447,57.491388888888885,94.4,1000
24,-18.65833333333334,57.77722222222223,94.7,1000
25,-18.783333333333335,57.339444444444425,94.9,1600
26,-18.52777777777778,57.665,94.9,1600
27,-18.813888888888886,57.51138888888889,95.6,1000
28,-18.494444444444447,57.491388888888885,95.6,1000
29,-18.65833333333334,57.77722222222223,95.9,1000
30,-18.666666666666668,57.45,96.1,4000
31,-18.783333333333335,57.339444444444425,96.4,1600
32,-18.52777777777778,57.665,96.4,1600
33,-18.633333333333336,57.534444444444446,97.3,10000
34,-18.783333333333335,57.339444444444425,98.2,1600
35,-18.52777777777778,57.665,98.2,1600
36,-18.65833333333334,57.77722222222223,98.5,1000
37,-18.813888888888886,57.51138888888889,98.9,1000
38,-18.494444444444447,57.491388888888885,98.9,1000
39,-18.633333333333336,57.534444444444446,99.4,1000
40,-18.783333333333335,57.339444444444425,99.9,1600
41,-18.52777777777778,57.665,99.9,1600
42,-18.65833333333334,57.77722222222223,100.2,1000
43,-18.813888888888886,57.51138888888889,100.5,1000
44,-18.494444444444447,57.491388888888885,100.5,1000
45,-18.633333333333336,57.534444444444446,100.8,10000
46,-18.65833333333334,57.77722222222223,101.2,1000
47,-18.783333333333335,57.339444444444425,101.7,1600
48,-18.52777777777778,57.665,101.7,1600
49,-18.666666666666668,57.45,102.0,4000
50,-18.813888888888886,57.51138888888889,102.4,1000
51,-18.494444444444447,57.491388888888885,102.4,1000
52,-18.65833333333334,57.77722222222223,102.7,1000
53,-18.633333333333336,57.534444444444446,103.2,10000
54,-18.813888888888886,57.51138888888889,103.5,1000
55,-18.494444444444447,57.491388888888885,103.5,1000
56,-18.666666666666668,57.45,103.9,4000
57,-18.633333333333336,57.534444444444446,104.4,10000
58,-18.813888888888886,57.51138888888889,104.8,1000
59,-18.494444444444447,57.491388888888885,104.8,1000
60,-18.65833333333334,57.77722222222223,105.3,1000
61,-18.783333333333335,57.339444444444425,105.7,1600
62,-18.52777777777778,57.665,105.7,1000
63,-18.813888888888886,57.51138888888889,106.0,1000
64,-18.494444444444447,57.491388888888885,106.0,1000
65,-18.783333333333335,57.339444444444425,106.5,1600
66,-18.52777777777778,57.665,106.5,1600
67,-18.65833333333334,57.77722222222223,106.8,1000
68,-18.783333333333335,57.339444444444425,107.3,1600
69,-18.52777777777778,57.665,107.3,1600
70,-18.65833333333334,57.77722222222223,107.7,1000
