,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,33.74861111111112,73.07916666666667,87.6,2500
1,24.866666666666667,67.06666666666669,87.6,2000
2,31.56388888888889,74.33388888888888,87.6,2000
3,31.205555555555552,73.94444444444443,88.0,0
4,32.92777777777776,72.85000000000002,88.0,0
5,33.53055555555556,71.05694444444444,88.0,0
6,27.816666666666666,66.6,88.0,0
7,32.6,70.91666666666667,88.0,0
8,27.563333333333333,68.18194444444447,88.0,0
9,30.966666666666665,70.94166666666668,88.0,0
10,29.8,66.85000000000002,88.0,0
11,25.333333333333332,69.0,88.0,0
12,30.17361111111111,71.46666666666667,88.0,0
13,26.84027777777778,68.12222222222225,88.0,0
14,30.583333333333332,67.0,88.0,0
15,30.916666666666668,66.45,88.0,0
16,30.14277777777778,66.97944444444443,88.0,0
17,27.683333333333334,68.85000000000002,88.0,0
18,32.76083333333333,72.6961111111111,88.4,0
19,34.0,72.93333333333334,88.6,0
20,24.85,67.06666666666669,88.6,0
21,31.56388888888889,74.33388888888888,88.6,0
22,30.17361111111111,71.46666666666667,88.6,0
23,33.74861111111112,73.07916666666667,89.0,2000
24,24.85,67.06666666666669,89.0,2000
25,31.56388888888889,74.33388888888888,89.0,2000
26,31.40777777777777,73.10944444444445,89.0,1000
27,30.966666666666665,70.94166666666668,89.0,0
28,30.14277777777778,66.97944444444443,89.0,0
29,31.56388888888889,74.33388888888888,89.1,0
30,33.74861111111112,73.07916666666667,89.4,5000
31,31.56388888888889,74.33388888888888,89.4,5000
32,33.60138888888889,73.025,89.4,5000
33,30.17361111111111,71.46666666666667,89.4,2000
34,29.416666666666668,71.78333333333333,89.4,0
35,35.902777777777764,74.34722222222223,89.4,0
36,24.866666666666667,67.06666666666669,89.4,0
37,34.016666666666666,71.56666666666666,89.8,1000
38,29.966666666666665,73.23333333333333,90.0,0
39,29.416666666666668,71.78333333333333,90.0,0
40,32.98333333333335,74.06666666666669,90.0,0
41,31.40777777777777,73.10944444444445,90.0,0
42,31.15,74.38333333333334,90.0,0
43,33.143611111111106,73.74444444444445,90.0,0
44,27.683333333333334,68.85000000000002,90.0,0
45,33.77222222222223,72.35944444444442,90.4,0
46,30.166666666666668,72.68333333333334,90.4,0
47,35.199999999999996,71.87499999999999,90.4,0
48,31.475277777777777,74.34194444444445,90.4,0
49,33.74861111111112,73.07916666666667,90.6,0
50,24.94166666666666,67.12222222222225,90.6,0
51,31.026111111111113,73.84722222222223,90.6,0
52,34.39333333333334,71.89777777777779,90.8,0
53,28.016666666666666,69.31666666666666,91.0,2000
54,24.85,67.06666666666669,91.0,2000
55,31.827222222222225,70.8488888888889,91.0,0
56,25.10305555555556,62.333333333333336,91.0,0
57,33.74861111111112,73.07916666666667,91.0,0
58,31.56388888888889,74.33388888888888,91.0,0
59,32.96583333333332,70.17277777777775,91.0,0
60,34.016666666666666,71.56666666666666,91.0,0
61,25.766666666666666,68.66666666666669,91.0,0
62,34.72805555555555,71.51527777777775,91.1,0
63,32.69444444444443,69.83638888888888,91.1,0
64,34.33333333333334,73.2,91.4,1000
65,27.552500000000006,68.75638888888888,91.4,0
66,33.74861111111112,73.07916666666667,91.6,0
67,30.3,71.93333333333334,91.6,0
68,31.716666666666665,73.98333333333333,91.6,0
69,27.552500000000006,68.75638888888888,92.0,2000
70,25.333333333333332,69.0,92.0,2000
71,33.9,70.08333333333333,92.0,2000
72,25.15,67.66666666666669,92.0,0
73,30.883333333333333,73.6,92.0,0
74,34.016666666666666,71.56666666666666,92.2,2000
75,33.74861111111112,73.07916666666667,92.4,1000
76,33.63722222222222,71.53277777777778,92.4,0
77,25.425000000000004,68.27305555555557,92.6,0
78,31.56388888888889,74.33388888888888,92.6,0
79,34.18333333333333,72.03333333333333,92.6,0
80,28.416666666666668,70.33333333333333,92.6,0
81,24.85,67.06666666666669,93.0,5000
82,31.56388888888889,74.33388888888888,93.0,5000
83,32.98333333333335,70.6,93.0,3000
84,25.10305555555556,62.333333333333336,93.0,3000
85,25.416666666666668,68.25000000000003,93.0,3000
86,33.63722222222222,71.53277777777778,93.0,3000
87,32.583333333333336,71.51666666666667,93.0,3000
88,24.74166666666667,69.8,93.0,3000
89,32.094444444444434,72.66666666666669,93.0,3000
90,34.13833333333334,73.17194444444446,93.0,2500
91,35.81611111111111,71.77999999999999,93.0,2500
92,31.827222222222225,70.8488888888889,93.0,2500
93,31.40777777777777,73.10944444444445,93.0,2500
94,35.902777777777764,74.34722222222223,93.0,2500
95,33.74861111111112,73.07916666666667,93.0,2500
96,27.56361111111112,68.19527777777779,93.0,2500
97,33.143611111111106,73.74444444444445,93.0,2500
98,30.17361111111111,71.46666666666667,93.0,2500
99,34.37222222222223,73.4263888888889,93.0,2500
100,34.15000000000001,71.73333333333333,93.0,0
101,27.552500000000006,68.75638888888888,93.3,5000
102,33.60138888888889,73.025,93.4,2500
103,29.416666666666668,71.78333333333333,93.4,1000
104,32.98333333333335,70.6,93.4,1000
105,31.827222222222225,70.8488888888889,93.4,1000
106,31.40777777777777,73.10944444444445,93.4,1000
107,35.902777777777764,74.34722222222223,93.4,1000
108,25.10305555555556,62.333333333333336,93.4,1000
109,25.416666666666668,68.25000000000003,93.4,1000
110,33.74861111111112,73.07916666666667,93.4,1000
111,24.85,67.06666666666669,93.4,1000
112,27.552500000000006,68.75638888888888,93.4,1000
113,31.56388888888889,74.33388888888888,93.4,1000
114,33.143611111111106,73.74444444444445,93.4,1000
115,24.74166666666667,69.8,93.4,1000
116,30.17361111111111,71.46666666666667,93.4,1000
117,32.11666666666667,74.8,93.4,1000
118,34.016666666666666,71.56666666666666,93.4,1000
119,30.14277777777778,66.97944444444443,93.4,1000
120,29.533333333333335,67.90000000000002,93.4,1000
121,35.2111111111111,75.41111111111108,93.4,1000
122,25.80416666666667,68.49222222222221,93.5,2000
123,24.85,67.06666666666669,94.0,2500
124,24.65833333333334,68.83888888888889,94.0,2000
125,33.74861111111112,73.07916666666667,94.0,2000
126,31.56388888888889,74.33388888888888,94.0,2000
127,33.89361111111112,73.37972222222223,94.0,2000
128,31.40777777777777,73.10944444444445,94.0,0
129,31.15,74.38333333333334,94.0,0
130,32.5111111111111,72.56666666666666,94.0,0
131,32.583333333333336,73.49444444444444,94.0,0
132,32.5111111111111,74.55,94.0,0
133,34.11666666666667,72.46666666666667,94.0,0
134,29.416666666666668,71.78333333333333,94.6,0
135,32.33333333333334,74.36111111111109,94.6,0
136,31.40777777777777,73.10944444444445,94.6,0
137,25.416666666666668,68.25000000000003,94.6,0
138,33.74861111111112,73.07916666666667,94.6,0
139,24.85,67.06666666666669,94.6,0
140,31.545,74.36722222222224,94.6,0
141,27.563333333333333,68.18194444444447,94.6,0
142,30.17361111111111,71.46666666666667,94.6,0
143,26.25,68.41666666666667,94.6,0
144,34.016666666666666,71.56666666666666,94.6,0
145,30.14277777777778,66.97944444444443,94.6,0
146,27.683333333333334,68.85000000000002,94.6,0
147,32.93333333333333,73.73333333333333,95.0,0
148,31.475277777777777,74.34194444444445,95.0,0
149,30.983333333333334,72.48333333333336,95.0,0
150,33.36666666666667,73.17777777777775,95.4,0
151,30.383333333333333,67.73333333333333,95.4,0
152,24.85,67.06666666666669,96.0,2000
153,32.98333333333335,70.6,96.0,0
154,33.3,72.77777777777776,96.0,0
155,34.0,72.93333333333334,96.0,0
156,33.525000000000006,73.91666666666667,96.0,0
157,34.78305555555555,72.37222222222222,96.0,0
158,30.14277777777778,66.97944444444443,96.0,0
159,31.966666666666665,72.36666666666666,96.0,0
160,32.094444444444434,72.66666666666669,96.0,0
161,31.40777777777777,73.10944444444445,96.6,0
162,25.425000000000004,68.27305555555557,96.6,0
163,24.85,67.06666666666669,96.6,0
164,31.543611111111108,74.32694444444446,96.6,0
165,30.163888888888888,66.99083333333331,96.6,0
166,33.60138888888889,73.025,96.6,0
167,35.81611111111111,71.77999999999999,97.0,2000
168,33.81666666666667,72.68333333333334,97.0,0
169,33.74861111111112,73.07916666666667,97.0,0
170,30.3,71.93333333333334,97.0,0
171,32.811111111111096,73.88333333333334,97.0,0
172,32.10416666666667,70.9763888888889,97.4,0
173,33.74861111111112,73.07916666666667,97.6,0
174,31.538888888888884,74.34166666666667,97.6,0
175,31.56388888888889,74.33388888888888,98.0,5000
176,33.74861111111112,73.07916666666667,98.0,3000
177,28.283333333333335,68.48333333333336,98.0,2000
178,25.333333333333332,69.0,98.0,2000
179,29.416666666666668,71.78333333333333,98.0,0
180,28.283333333333335,68.48333333333336,98.0,0
181,24.85,67.06666666666669,98.0,0
182,32.583333333333336,73.49444444444444,98.0,0
183,33.60138888888889,73.025,98.0,0
184,34.74722222222222,72.35555555555558,98.0,0
185,33.521111111111104,71.44722222222222,98.2,0
186,32.094444444444434,72.66666666666669,98.2,0
187,31.56388888888889,74.33388888888888,98.6,1000
188,34.33333333333334,73.2,98.6,100
189,34.72805555555555,71.51527777777775,98.6,0
190,30.066666666666666,71.2,98.6,0
191,26.75,67.8,99.0,2000
192,25.416666666666668,68.25000000000003,99.0,2000
193,26.75,67.8,99.0,0
194,35.902777777777764,74.34722222222223,99.0,0
195,33.74861111111112,73.07916666666667,99.0,0
196,24.883333333333333,67.06666666666669,99.0,0
197,24.85,67.06666666666669,99.0,0
198,31.15,74.38333333333334,99.0,0
199,31.56388888888889,74.33388888888888,99.0,0
200,28.416666666666668,70.33333333333333,99.0,0
201,34.22388888888888,71.56250000000001,99.0,0
202,35.2111111111111,75.41111111111108,99.0,0
203,30.05,72.35833333333332,99.0,0
204,31.56388888888889,74.33388888888888,99.4,2000
205,34.13833333333334,73.17194444444446,99.4,0
206,25.416666666666668,68.25000000000003,99.4,0
207,30.17361111111111,71.46666666666667,99.4,0
208,33.60138888888889,73.025,99.4,0
209,24.85,67.06666666666669,100.0,2000
210,31.56388888888889,74.33388888888888,100.0,2000
211,34.13833333333334,73.17194444444446,100.0,0
212,29.14166666666666,71.26666666666667,100.0,0
213,30.285555555555554,73.06916666666665,100.0,0
214,32.58694444444445,74.06444444444446,100.0,0
215,25.416666666666668,68.25000000000003,100.0,0
216,33.74861111111112,73.07916666666667,100.0,0
217,32.93333333333333,73.73333333333333,100.0,0
218,30.17361111111111,71.46666666666667,100.0,0
219,28.416666666666668,70.33333333333333,100.0,0
220,33.60138888888889,73.025,100.0,0
221,25.133333333333333,68.54444444444442,100.2,0
222,33.74861111111112,73.07916666666667,100.4,0
223,34.13833333333334,73.17194444444446,100.6,0
224,25.416666666666668,68.25000000000003,100.6,0
225,32.93333333333333,73.73333333333333,100.6,0
226,24.85,67.06666666666669,101.0,5000
227,32.98333333333335,70.6,101.0,3000
228,25.10305555555556,62.333333333333336,101.0,3000
229,33.63722222222222,71.53277777777778,101.0,3000
230,32.583333333333336,71.51666666666667,101.0,3000
231,32.094444444444434,72.66666666666669,101.0,3000
232,31.40777777777777,73.10944444444445,101.0,2500
233,25.416666666666668,68.25000000000003,101.0,2500
234,33.74861111111112,73.07916666666667,101.0,2500
235,30.17361111111111,71.46666666666667,101.0,2500
236,34.016666666666666,71.56666666666666,101.0,2500
237,32.5111111111111,74.55,101.0,2500
238,29.416666666666668,71.78333333333333,101.0,2000
239,35.81611111111111,71.77999999999999,101.0,2000
240,32.76083333333333,72.6961111111111,101.0,2000
241,27.552500000000006,68.75638888888888,101.0,2000
242,25.716666666666665,70.23333333333333,101.0,2000
243,31.56388888888889,74.33388888888888,101.0,2000
244,25.333333333333332,69.0,101.0,2000
245,30.14277777777778,66.97944444444443,101.0,2000
246,24.74166666666667,69.8,101.0,1000
247,32.11666666666667,74.8,101.0,500
248,34.13833333333334,73.17194444444446,101.4,2500
249,25.80416666666667,68.49222222222221,101.4,2000
250,27.56361111111112,68.19527777777779,101.4,2000
251,33.74861111111112,73.07916666666667,101.4,0
252,33.74861111111112,73.07916666666667,101.8,0
253,33.89361111111112,73.37972222222223,102.0,2500
254,33.25277777777779,73.30555555555556,102.0,0
255,32.58694444444445,74.06444444444446,102.0,0
256,31.15,74.38333333333334,102.0,0
257,31.966666666666665,72.36666666666666,102.0,0
258,33.60138888888889,73.025,102.2,0
259,30.8,73.45,102.4,0
260,24.85,67.06666666666669,103.0,2000
261,31.40777777777777,73.10944444444445,103.0,0
262,31.56388888888889,74.33388888888888,103.0,0
263,30.17361111111111,71.46666666666667,103.0,0
264,34.37222222222223,73.4263888888889,103.0,0
265,32.11499999999999,74.17055555555554,103.6,0
266,32.5111111111111,72.56666666666666,103.6,0
267,33.74861111111112,73.07916666666667,104.0,5000
268,34.016666666666666,71.56666666666666,104.0,5000
269,32.98333333333335,70.6,104.0,0
270,32.277777777777764,72.90000000000002,104.0,0
271,28.416666666666668,69.63333333333334,104.0,0
272,34.33333333333334,73.2,104.0,0
273,29.1,70.31666666666666,104.0,0
274,32.094444444444434,72.66666666666669,104.0,0
275,32.5111111111111,74.55,104.0,0
276,31.827222222222225,70.8488888888889,104.6,0
277,33.74861111111112,73.07916666666667,104.6,0
278,31.56388888888889,74.33388888888888,104.6,0
279,24.65833333333334,68.83888888888889,105.0,2000
280,25.416666666666668,68.25000000000003,105.0,2000
281,24.85,67.06666666666669,105.0,2000
282,27.563333333333333,68.18194444444447,105.0,2000
283,24.74166666666667,69.8,105.0,2000
284,30.14277777777778,66.97944444444443,105.0,2000
285,29.416666666666668,71.78333333333333,105.0,0
286,28.016666666666666,69.31666666666666,105.0,0
287,32.58694444444445,74.06444444444446,105.0,0
288,31.266666666666666,72.33333333333333,105.0,0
289,34.18333333333333,72.03333333333333,105.0,0
290,26.84027777777778,68.12222222222225,105.0,0
291,30.8,73.45,105.0,0
292,28.316666666666666,70.13333333333334,105.0,0
293,31.966666666666665,72.36666666666666,105.0,0
294,31.716666666666665,73.98333333333333,105.0,0
295,25.9,68.54444444444442,105.0,0
296,26.05,68.96111111111108,105.2,0
297,34.37222222222223,73.4263888888889,105.4,0
298,26.25,68.41666666666667,105.4,0
299,27.95,68.64166666666665,105.4,0
300,27.95,68.64166666666665,105.4,0
301,24.85,67.06666666666669,105.5,2000
302,34.03611111111111,73.58055555555555,105.6,0
303,33.81666666666667,72.68333333333334,105.6,0
304,26.84027777777778,68.12222222222225,105.6,0
305,33.856111111111105,73.75805555555556,105.8,0
306,32.15000000000001,74.18333333333334,106.0,0
307,28.65,70.65277777777779,106.0,0
308,33.25277777777779,73.30555555555556,106.2,0
309,33.74861111111112,73.07916666666667,106.2,0
310,24.85,67.06666666666669,106.2,0
311,30.3,71.93333333333334,106.2,0
312,31.56388888888889,74.33388888888888,106.2,0
313,34.016666666666666,71.56666666666666,106.2,0
314,27.683333333333334,68.85000000000002,106.2,0
315,33.74861111111112,73.07916666666667,106.6,0
316,24.820277777777783,67.03083333333333,106.6,0
317,27.563333333333333,68.18194444444447,106.6,0
318,24.85,67.06666666666669,107.0,2000
319,33.77222222222223,72.35944444444442,107.0,0
320,32.583333333333336,73.49444444444444,107.0,0
321,30.35,73.38333333333334,107.0,0
322,34.00333333333333,71.48222222222223,107.4,300
323,29.416666666666668,71.78333333333333,107.4,0
324,33.74861111111112,73.07916666666667,107.4,0
325,24.916666666666668,67.06666666666669,107.4,0
326,31.56388888888889,74.33388888888888,107.4,0
327,34.016666666666666,71.56666666666666,107.4,0
328,32.5111111111111,74.55,107.4,0
329,25.416666666666668,68.25000000000003,107.8,0
