,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,31.90555555555556,35.20138888888889,36.85,0
1,31.552222222222223,35.101666666666674,68.1,10
2,31.720555555555553,35.1738888888889,87.5,1200
3,31.77916666666667,35.24583333333334,87.8,0
4,31.911111111111108,35.19444444444444,88.1,0
5,32.002500000000005,35.2063888888889,88.2,16000
6,32.1075,35.18055555555554,88.2,4000
7,31.552222222222223,35.101666666666674,88.2,0
8,32.233333333333334,35.27777777777777,88.3,0
9,31.77916666666667,35.24583333333334,88.4,0
10,32.19444444444444,34.98333333333334,88.6,0
11,31.90555555555556,35.20138888888889,88.6,0
12,31.552222222222223,35.101666666666674,88.7,0
13,31.76111111111111,35.46666666666667,88.8,500
14,31.527777777777775,34.46666666666667,88.9,0
15,31.552222222222223,35.101666666666674,89.0,0
16,31.858333333333338,35.45833333333334,89.4,0
17,31.720555555555553,35.1738888888889,89.6,0
18,31.552222222222223,35.101666666666674,89.8,0
19,32.233333333333334,35.27777777777777,89.8,0
20,31.90555555555556,35.20138888888889,89.8,0
21,31.527777777777775,34.46666666666667,90.0,0
22,31.444444444444443,35.09444444444444,90.1,0
23,31.911111111111108,35.19444444444444,90.3,0
24,31.552222222222223,35.101666666666674,90.4,200
25,32.32777777777777,35.03333333333334,90.4,0
26,32.002500000000005,35.2063888888889,90.5,16000
27,31.76111111111111,35.46666666666667,90.5,500
28,31.899166666666662,35.22333333333333,90.5,120
29,31.527777777777775,34.46666666666667,90.6,0
30,31.527777777777775,34.46666666666667,90.6,0
31,31.90555555555556,35.20138888888889,90.7,0
32,31.552222222222223,35.101666666666674,91.1,0
33,31.90555555555556,35.20138888888889,91.1,0
34,32.455,35.30500000000001,91.2,0
35,32.233333333333334,35.27777777777777,91.2,0
36,31.76111111111111,35.46666666666667,91.3,500
37,32.22777777777778,35.222500000000004,91.4,0
38,31.527777777777775,34.46666666666667,91.5,0
39,31.90555555555556,35.20138888888889,91.5,0
40,32.09444444444444,35.19444444444444,91.6,0
41,32.002500000000005,35.2063888888889,91.8,16000
42,32.233333333333334,35.27777777777777,91.8,0
43,32.455,35.30500000000001,91.9,0
44,31.527777777777775,34.46666666666667,92.0,0
45,31.720555555555553,35.1738888888889,92.1,0
46,31.95888888888889,35.18166666666667,92.1,0
47,31.552222222222223,35.101666666666674,92.2,0
48,31.90555555555556,35.20138888888889,92.6,0
49,31.911111111111108,35.19444444444444,92.6,0
50,31.552777777777777,35.10000000000001,92.7,1000
51,32.455,35.30500000000001,92.8,0
52,32.455,35.30500000000001,93.2,0
53,31.77916666666667,35.24583333333334,93.2,0
54,31.552222222222223,35.101666666666674,93.3,0
55,32.19444444444444,34.98333333333334,93.3,0
56,31.77916666666667,35.24583333333334,93.4,0
57,32.233333333333334,35.27777777777777,93.5,500
58,31.552222222222223,35.101666666666674,93.5,0
59,32.455,35.30500000000001,93.5,0
60,31.858333333333338,35.45833333333334,93.5,0
61,31.90555555555556,35.20138888888889,93.6,0
62,32.002500000000005,35.2063888888889,93.7,16000
63,31.552222222222223,35.101666666666674,93.7,1000
64,32.19444444444444,34.98333333333334,93.8,0
65,31.55611111111111,35.10000000000001,93.9,0
66,31.527777777777775,34.46666666666667,94.1,0
67,31.90555555555556,35.20138888888889,94.2,0
68,32.233333333333334,35.27777777777777,94.5,0
69,31.97777777777777,35.2111111111111,94.6,0
70,32.455,35.30500000000001,94.8,0
71,32.38611111111111,35.32361111111112,94.8,0
72,31.527777777777775,34.46666666666667,94.9,0
73,32.32777777777777,35.37777777777777,95.0,0
74,32.002500000000005,35.2063888888889,95.2,16000
75,32.1075,35.18055555555554,95.2,4000
76,31.899166666666662,35.22333333333333,95.2,120
77,32.32777777777777,35.03333333333334,95.3,0
78,31.76111111111111,35.46666666666667,95.5,500
79,32.455,35.30500000000001,95.6,0
80,31.858333333333338,35.45833333333334,95.6,0
81,31.720555555555553,35.1738888888889,95.7,0
82,32.09444444444444,35.19444444444444,95.7,0
83,31.90555555555556,35.20138888888889,96.0,0
84,31.552222222222223,35.101666666666674,96.1,0
85,31.527777777777775,34.46666666666667,96.2,0
86,32.455,35.30500000000001,96.2,0
87,31.552222222222223,35.101666666666674,96.4,0
88,31.858333333333338,35.45833333333334,96.4,0
89,32.233333333333334,35.27777777777777,96.4,0
90,32.002500000000005,35.2063888888889,96.6,16000
91,31.527777777777775,34.46666666666667,96.8,0
92,31.552222222222223,35.101666666666674,96.8,0
