,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,9.062499999999998,-77.7802777777778,50.016,5
1,7.647222222222222,-78.73722222222221,87.75,0
2,9.337222222222222,-78.09833333333331,87.75,0
3,8.587499999999999,-78.42555555555555,87.75,0
4,8.807777777777776,-80.8625,87.75,0
5,9.048055555555555,-77.84194444444444,88.1,9885
6,7.647222222222222,-78.73722222222221,88.3,6109
7,9.337222222222222,-78.09833333333331,88.3,1703
8,8.807777777777776,-80.8625,88.5,2511
9,9.003611111111114,-77.85694444444442,88.5,1995
10,7.647222222222222,-78.73722222222221,88.7,5928
11,9.16111111111111,-77.73611111111111,88.9,18150
12,8.807777777777776,-80.8625,88.9,2700
13,7.647222222222222,-78.73722222222221,89.1,6500
14,7.966666666666667,-78.75555555555557,89.1,0
15,9.048055555555555,-77.84194444444444,89.3,18794
16,8.807777777777776,-80.8625,89.3,5900
17,7.647222222222222,-78.73722222222221,89.5,29697
18,9.304166666666665,-78.11500000000001,89.5,5517
19,9.356944444444444,-78.22666666666666,89.5,1753
20,9.163055555555554,-77.73916666666668,89.7,23658
21,8.807777777777776,-80.8625,89.7,1463
22,7.647222222222222,-78.73722222222221,89.9,2208
23,9.337222222222222,-78.09833333333331,89.9,1678
24,9.16111111111111,-77.73611111111111,90.1,53958
25,9.376388888888886,-80.7894444444444,90.1,19141
26,8.17333333333333,-79.99583333333334,90.1,10024
27,8.679444444444446,-80.94916666666668,90.1,3573
28,8.77694444444444,-80.75666666666669,90.1,445
29,7.647222222222222,-78.73722222222221,90.3,3639
30,9.184999999999999,-77.73444444444443,90.5,11587
31,9.337222222222222,-78.09833333333331,90.5,3541
32,8.807777777777776,-80.8625,90.5,1666
33,8.081388888888888,-79.23750000000001,90.7,12705
34,8.659999999999997,-76.47305555555555,90.7,6606
35,9.086388888888889,-77.8763888888889,90.9,20277
36,8.807777777777776,-80.8625,90.9,14751
37,7.647222222222222,-78.73722222222221,91.1,4677
38,9.16111111111111,-77.73611111111111,91.3,12472
39,8.807777777777776,-80.8625,91.3,1778
40,7.647222222222222,-78.73722222222221,91.5,28123
41,9.337222222222222,-78.09833333333331,91.5,26728
42,9.16111111111111,-77.73611111111111,91.7,4529
43,8.807777777777776,-80.8625,91.7,1905
44,8.53222222222222,-78.64833333333334,91.9,6563
45,9.16111111111111,-77.73611111111111,92.1,8715
46,8.807777777777776,-80.8625,92.1,1463
47,7.647222222222222,-78.73722222222221,92.3,3937
48,9.16111111111111,-77.73611111111111,92.5,13490
49,8.807777777777776,-80.8625,92.5,4179
50,7.647222222222222,-78.73722222222221,92.7,6040
51,8.455000000000002,-76.25861111111111,92.7,1260
52,9.163055555555554,-77.73916666666668,92.9,48862
53,8.731666666666666,-80.86333333333336,92.9,5638
54,7.647222222222222,-78.73722222222221,93.1,5815
55,9.337222222222222,-78.09833333333331,93.1,1758
56,9.048055555555555,-77.84194444444444,93.3,7128
57,8.983055555555557,-80.85694444444442,93.3,1280
58,9.337222222222222,-78.09833333333331,93.5,12530
59,7.966666666666667,-78.75555555555557,93.5,5928
60,9.163055555555554,-77.73916666666668,93.7,6939
61,8.50416666666667,-80.74833333333333,93.7,3811
62,9.337222222222222,-78.09833333333331,93.9,7162
63,7.647222222222222,-78.73722222222221,93.9,3170
64,9.163055555555554,-77.73916666666668,94.1,11323
65,8.807777777777776,-80.8625,94.1,4700
66,8.495277777777776,-76.30472222222224,94.3,17138
67,7.647222222222222,-78.73722222222221,94.3,2754
68,9.337222222222222,-78.09833333333331,94.3,1585
69,9.16111111111111,-77.73611111111111,94.5,9310
70,8.807777777777776,-80.8625,94.5,6647
71,7.757222222222222,-79.10944444444445,94.7,21733
72,9.337222222222222,-78.09833333333331,94.7,1888
73,9.16111111111111,-77.73611111111111,94.9,5334
74,8.679444444444446,-80.94916666666668,94.9,3890
75,7.647222222222222,-78.73722222222221,95.1,60091
76,9.337222222222222,-78.09833333333331,95.1,12530
77,9.16111111111111,-77.73611111111111,95.3,25525
78,8.807777777777776,-80.8625,95.3,1862
79,7.647222222222222,-78.73722222222221,95.5,2754
80,9.359999999999998,-78.2261111111111,95.5,1346
81,8.807777777777776,-80.8625,95.7,5024
82,9.163055555555554,-77.73916666666668,95.7,3170
83,9.337222222222222,-78.09833333333331,95.9,6367
84,8.613611111111112,-76.40305555555557,95.9,5000
85,7.647222222222222,-78.73722222222221,95.9,1585
86,8.807777777777776,-80.8625,96.1,2239
87,8.999722222222223,-77.85249999999999,96.1,1770
88,8.081666666666669,-79.23750000000001,96.3,79057
89,9.16111111111111,-77.73611111111111,96.5,34018
90,8.807777777777776,-80.8625,96.5,18581
91,8.587499999999999,-78.42555555555555,96.7,178560
92,9.086388888888889,-77.8763888888889,96.9,16293
93,8.679444444444446,-80.94916666666668,96.9,8452
94,7.647222222222222,-78.73722222222221,97.1,7943
95,9.163055555555554,-77.73916666666668,97.3,13492
96,9.337222222222222,-78.09833333333331,97.3,4842
97,8.807777777777776,-80.8625,97.3,1841
98,7.647222222222222,-78.73722222222221,97.5,4820
99,9.16111111111111,-77.73611111111111,97.7,84912
100,9.467777777777776,-80.86277777777778,97.7,1321
101,7.647222222222222,-78.73722222222221,97.9,5036
102,9.16111111111111,-77.73611111111111,98.1,21700
103,9.286388888888887,-80.77750000000002,98.1,12395
104,8.704166666666666,-80.82611111111109,98.1,5698
105,7.966666666666667,-78.75555555555557,98.3,4008
106,8.876666666666667,-78.10666666666667,98.5,1906
107,8.807777777777776,-80.8625,98.5,1084
108,7.647222222222222,-78.73722222222221,98.7,12424
109,9.337222222222222,-78.09833333333331,98.7,4101
110,9.16111111111111,-77.73611111111111,98.9,46663
111,8.807777777777776,-80.8625,98.9,4520
112,9.337222222222222,-78.09833333333331,99.1,7926
113,7.647222222222222,-78.73722222222221,99.1,2512
114,9.08777777777778,-77.87500000000001,99.3,15630
