,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-4.6944444444444455,143.22277777777782,88.0,20
1,-5.052777777777778,143.9222222222222,88.0,20
2,-2.6713888888888904,152.27555555555554,88.1,0
3,-4.152777777777778,145.0958333333333,88.1,0
4,-6.955555555555558,146.50833333333333,88.5,100
5,-3.780555555555554,143.1472222222222,88.7,100
6,-7.790277777777776,147.1758333333333,89.1,0
7,-4.6944444444444455,143.22277777777782,89.3,20
8,-7.78138888888889,147.20722222222224,89.9,1000
9,-3.7283333333333344,154.68166666666664,89.9,0
10,-4.183333333333334,142.94166666666663,90.0,0
11,-8.627777777777778,150.45833333333331,90.4,0
12,-3.5666666666666664,145.78333333333333,90.4,0
13,-7.086111111111111,148.23611111111106,90.5,50
14,-3.7283333333333344,154.68166666666664,90.7,1000
15,-7.777222222222224,147.16416666666666,90.7,1000
16,-4.35,144.96666666666673,90.7,0
17,-0.9986111111111116,141.30277777777778,90.7,0
18,-1.941388888888888,143.6119444444444,90.8,0
19,-5.052777777777778,143.9222222222222,90.9,20
20,-0.8966666666666667,150.79444444444442,90.9,0
21,-6.286111111111111,145.77499999999998,90.9,0
22,-2.61972222222222,152.14555555555552,91.3,0
23,-0.9986111111111116,141.30277777777778,91.5,300
24,-7.400000000000002,143.20833333333331,91.5,0
25,-4.179166666666666,144.23055555555555,91.5,0
26,-4.4,145.3944444444444,91.9,0
27,-5.7333333333333325,144.24166666666665,92.3,500
28,-3.7283333333333344,154.68166666666664,92.3,0
29,-4.179166666666666,144.23055555555555,92.5,500
30,-1.4666666666666666,142.3388888888889,92.9,0
31,-7.777222222222224,147.16416666666666,93.1,1000
32,-4.179166666666666,144.23055555555555,93.5,300
33,-4.4,145.3944444444444,93.6,0
34,-8.627777777777778,150.45833333333331,93.7,300
35,-5.066666666666666,146.9888888888889,93.7,300
36,-3.5666666666666664,145.78333333333333,93.7,300
37,-7.777222222222224,147.16416666666666,93.9,1000
38,-2.51361111111111,152.16194444444446,93.9,300
39,-6.286111111111111,145.77499999999998,94.3,0
40,-5.066666666666666,146.9888888888889,94.7,500
41,-1.4197222222222223,152.63194444444443,95.0,10
42,-4.45,141.3,95.3,0
43,-1.941388888888888,143.6119444444444,95.3,0
44,-4.611111111111109,145.86111111111114,95.5,0
45,-5.066666666666666,146.9888888888889,95.5,0
46,-0.3597222222222223,147.27222222222224,95.5,0
47,-7.777222222222224,147.16416666666666,95.5,0
48,-3.9499999999999993,150.24444444444438,96.0,0
49,-5.066666666666666,146.9888888888889,96.3,300
50,-3.5666666666666664,145.78333333333333,96.3,300
51,-6.375,142.94166666666663,96.3,0
52,-4.4,145.3944444444444,96.3,0
53,-7.777222222222224,147.16416666666666,96.5,1000
54,-2.51361111111111,152.16194444444446,96.5,300
55,-0.3597222222222223,147.27222222222224,96.5,20
56,-8.627777777777778,150.45833333333331,96.7,300
57,-3.87361111111111,150.14444444444445,96.9,300
58,-4.179166666666666,144.23055555555555,96.9,300
59,-7.790277777777776,147.1758333333333,97.9,0
60,-4.6944444444444455,143.22277777777782,98.0,20
