Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-25.184,-57.323,50.028,0
-27.034,-55.373,50.08,0
-25.19,-57.22,87.5,0
-25.182,-57.3842,87.5,0
-25.164,-57.1,87.5,0
-25.28,-56,87.5,0
-25.46,-57.14,87.5,0
-25.281,-54.3609,87.5,0
-23.24,-57.26,87.5,0
-25.11,-57.28,87.5,0
-25.155,-57.27,87.5,0
-27.16,-55.4059,87.5,0
-27.03,-55.37,87.5,0
-25.28,-57.02,87.5,0
-25.224,-57.3635,87.5,0
-24.354,-56.26,87.5,0
-25.202,-57.3112,87.5,0
-25.28,-56,87.7,300
-26.01,-57.03,87.7,0
-25.191,-57.3224,87.7,0
-26.13,-56.43,87.7,0
-25.28,-54.44,87.7,0
-22.39,-57.52,87.7,0
-24.423,-56.0033,87.9,150
-25.05,-57.29,87.9,150
-24.502,-56.2,87.9,150
-25.182,-57.3842,87.9,50
-25.072,-57.2049,87.9,50
-25.22,-56.57,87.9,50
-25.11,-57.28,87.9,50
-25.155,-57.27,87.9,50
-25.11,-57.3,87.9,50
-25.365,-57.2548,87.9,50
-25.202,-57.3112,87.9,50
-25.3,-57.2,87.9,25
-26.01,-54.46,87.9,0
-25.19,-57.22,87.9,0
-25.183,-57.3906,87.9,0
-25.28,-56,87.9,0
-26.1,-56.2,87.9,0
-25.14,-56.48,87.9,0
-22.384,-60.0717,87.9,0
-25.25,-55.01,87.9,0
-25.26,-56.25,87.9,0
-25.445,-56.3114,87.9,0
-25.191,-57.3224,87.9,0
-27.08,-56.28,87.9,0
-25.292,-57.2736,87.9,0
-25.29,-56.5,87.9,0
-25.234,-57.2,87.9,0
-25.391,-56.1832,87.9,0
-23.57,-56.41,87.9,0
-25.3,-57.12,87.9,0
-25.28,-57.02,87.9,0
-25.112,-55.36,87.9,0
-25.224,-57.3635,87.9,0
-25.56,-55.3,87.9,0
-25.15,-56.52,87.9,0
-25.194,-57.3449,87.9,0
-25.4,-56.57,87.9,0
-25.16,-57.19,87.9,0
-24.48,-56.33,87.9,0
-25.47,-56.25,87.9,0
-24.312,-55.5249,87.9,0
-24.03,-54.19,88.1,500
-23.24,-57.26,88.1,150
-26.532,-57.01,88.1,150
-25.21,-54.38,88.1,50
-23.193,-56.2938,88.1,0
-25.222,-55.4215,88.1,0
-26.02,-56.26,88.1,0
-25.53,-56.5,88.1,0
-26.58,-56.49,88.1,0
-25.52,-57.17,88.1,0
-24.09,-54.41,88.3,10000
-25.24,-57.3,88.3,5000
-25.42,-56.103,88.3,5000
-24.102,-56.34,88.3,1000
-26.49,-56.1,88.3,1000
-25.46,-55.0439,88.3,1000
-22.32,-55.45,88.3,50
-26.242,-57.0744,88.3,0
-25.22,-57.06,88.5,1000
-23.15,-56.5532,88.5,300
-23.16,-57.1937,88.5,300
-23.061,-56.2409,88.5,0
-23.24,-57.26,88.5,0
-23.152,-56.5417,88.5,0
-26.514,-58.16,88.5,0
-24.06,-57.05,88.5,0
-25.45,-56.39,88.5,0
-25.26,-56.25,88.7,5000
-24.354,-56.26,88.7,5000
-25.182,-57.3842,88.7,1000
-22.17,-57.56,88.7,1000
-25.56,-55.3,88.7,1000
-26.01,-57.52,88.7,150
-25.281,-54.3609,88.7,50
-23.14,-55.321,88.7,0
-25.28,-54.44,88.7,0
-25.202,-57.3112,88.7,0
-25.12,-55.46,88.7,0
-25.302,-57.3421,88.7,0
-25.03,-57.04,88.9,1000
-25.03,-57.04,88.9,1000
-22.23,-56.5404,88.9,500
-24.102,-56.34,88.9,150
-22.07,-56.3,88.9,0
-24.312,-55.5249,88.9,0
-22.39,-55.43,88.9,0
-25.301,-54.4,89.1,25000
-25.182,-57.3842,89.1,15000
-23.54,-55.27,89.1,5000
-25.34,-56.16,89.1,150
-24.05,-54.37,89.1,150
-23.493,-56.3128,89.1,150
-24.22,-56.43,89.1,0
-23.464,-57.1544,89.3,1000
-25.22,-56.57,89.3,1000
-25.431,-56.15,89.3,0
-26.551,-56.09,89.3,0
-25.155,-57.27,89.3,0
-26.24,-54.4236,89.3,0
-26.06,-55.27,89.3,0
-25.281,-54.3609,89.5,5000
-25.26,-56.25,89.5,1000
-25.202,-57.3112,89.5,1000
-24.102,-56.34,89.5,0
-24.14,-55.07,89.5,0
-27.172,-55.4938,89.7,5000
-25.15,-57.14,89.7,1000
-24.08,-57.04,89.7,300
-24.15,-56.12,89.7,150
-25.38,-57.08,89.7,150
-25.45,-56.39,89.7,150
-24.5,-54.5,89.7,0
-26.4,-57.0836,89.7,0
-25.453,-56.4802,89.7,0
-23.152,-56.5417,89.9,1000
-25.39,-54.43,89.9,1000
-22.2,-59.48,89.9,300
-24.09,-54.41,89.9,150
-24.5,-54.5,89.9,0
-25.58,-57.13,89.9,0
-25.202,-57.3112,89.9,0
-24.14,-55.07,89.9,0
-25.182,-57.3842,90.1,1000
-25.11,-57.3,90.1,1000
-25.35,-55.53,90.1,1000
-26.31,-55.36,90.1,150
-24.31,-56.23,90.1,150
-27.17,-55.55,90.1,50
-26.29,-55.15,90.1,0
-26.09,-55.16,90.1,0
-26.43,-55.18,90.1,0
-25.14,-56.48,90.3,1000
-24.59,-55.28,90.3,1000
-24.56,-57.32,90.3,0
-26.43,-55.18,90.3,0
-25.3,-57.2,90.3,0
-26.465,-55.0213,90.3,0
-26.49,-56.1,90.3,0
-23.37,-56.3128,90.3,0
-25.45,-56.39,90.3,0
-25.3,-57.31,90.3,0
-27.2,-55.4506,90.5,5000
-25.46,-57.14,90.5,1000
-22.59,-56.22,90.5,1000
-22.32,-55.45,90.5,1000
-25.281,-54.3609,90.5,50
-25.28,-54.44,90.5,50
-25.19,-57.22,90.5,0
-24.423,-56.0033,90.5,0
-27.05,-58.3,90.5,0
-22.17,-57.56,90.5,0
-25.24,-57.3,90.7,10000
-23.14,-55.321,90.7,1000
-26.52,-56.51,90.7,1000
-25.281,-54.3609,90.7,0
-24.282,-55.3632,90.7,0
-22.01,-60.35,90.7,0
-25.574,-55.11,90.7,0
-24.05,-57.04,90.7,0
-25.23,-55.15,90.9,5000
-24.29,-56.05,90.9,150
-26.285,-56.0449,90.9,0
-24.502,-56.2,90.9,0
-25.182,-57.3842,91.1,1000
-25.28,-56,91.1,1000
-25.191,-57.3224,91.1,1000
-23.28,-57.15,91.1,300
-25.11,-56.2357,91.1,300
-23.24,-57.26,91.1,150
-23.152,-56.5417,91.1,0
-26.06,-55.27,91.1,0
-24.27,-56.54,91.3,1000
-25.47,-56.25,91.3,1000
-24.05,-54.37,91.3,150
-25.22,-57.06,91.3,0
-25.014,-56.0243,91.3,0
-22.32,-55.45,91.5,10000
-25.182,-57.3842,91.5,5000
-26.4,-57.0836,91.5,1000
-24.58,-55.08,91.5,150
-25.214,-55.37,91.5,0
-23.37,-56.3128,91.5,0
-23.37,-56.3128,91.5,0
-26.12,-57.08,91.7,1000
-24.31,-56.23,91.7,1000
-20.14,-58.12,91.7,1000
-25.23,-55.15,91.7,150
-25.22,-56.57,91.7,50
-25.46,-55.0439,91.7,50
-25.39,-54.43,91.7,50
-26.29,-55.15,91.7,0
-24.15,-56.12,91.7,0
-25.29,-56.5,91.7,0
-24.05,-57.04,91.7,0
-25.02,-55.56,91.7,0
-25.26,-56.25,91.9,5000
-25.182,-57.3842,91.9,3000
-25.251,-55.2324,91.9,1000
-26.514,-58.16,91.9,1000
-22.384,-60.0717,91.9,300
-25.46,-57.14,91.9,0
-23.24,-57.26,91.9,0
-22.2,-60.02,91.9,0
-27.172,-55.4938,92.1,25000
-25.214,-55.37,92.1,50
-24.423,-56.0033,92.1,0
-26.06,-55.55,92.1,0
-24.48,-56.33,92.1,0
-24.312,-55.5249,92.1,0
-25.195,-57.3655,92.3,100000
-26.43,-55.18,92.3,1000
-22.07,-56.3,92.5,1000
-26.26,-54.43,92.5,1000
-25.281,-54.3609,92.5,1000
-25.23,-56.5,92.5,1000
-22.32,-55.45,92.5,0
-24.22,-57.08,92.5,0
-25.24,-57.3,92.7,25000
-25.28,-56,92.7,10000
-24.05,-57.04,92.7,5000
-27.03,-55.37,92.7,1000
-24.145,-54.4556,92.7,150
-27.19,-56.27,92.7,0
-25.281,-54.3609,92.9,1000
-24.354,-56.26,92.9,1000
-24.28,-55.39,92.9,0
-25.23,-57.16,92.9,0
-25.22,-57.06,93,0
-26.422,-55.02,93.1,2000
-27.22,-56.47,93.1,1000
-23.37,-56.3128,93.1,1000
-25.584,-56.0723,93.1,0
-27.22,-56.47,93.2,0
-22.575,-56.3,93.3,5000
-27.172,-55.4938,93.3,1000
-25.3,-57.12,93.3,1000
-26.26,-54.43,93.3,0
-25.194,-57.3824,93.3,0
-24.583,-56.1836,93.3,0
-25.21,-54.38,93.5,25000
-25.46,-57.14,93.5,1000
-25.05,-57.29,93.5,150
-25.182,-57.3842,93.5,100
-25.183,-57.3936,93.5,0
-25.211,-57.2638,93.5,0
-26.26,-54.43,93.5,0
-25.281,-54.3609,93.5,0
-26.551,-56.09,93.5,0
-25.255,-57.2436,93.5,0
-25.194,-57.3824,93.5,0
-25.11,-57.28,93.5,0
-25.145,-57.3254,93.5,0
-23.16,-57.1937,93.5,0
-25.064,-57.2926,93.5,0
-25.202,-57.3112,93.5,0
-25.202,-57.3112,93.5,0
-25.272,-57.3027,93.5,0
-24.05,-57.04,93.7,25000
-25.42,-56.103,93.7,1000
-26.5,-55.3,93.7,1000
-26.532,-57.01,93.7,1000
-22.32,-55.45,93.7,0
-25.211,-57.2638,93.9,5000
-25.46,-55.0439,93.9,1000
-24.102,-56.34,93.9,0
-27.05,-55.39,94.1,5000
-25.29,-56.5,94.1,1000
-24.59,-54.551,94.1,50
-22.32,-55.45,94.3,50000
-25.182,-57.3842,94.3,10000
-26.35,-56.1,94.3,5000
-25.281,-54.3609,94.3,1000
-26.39,-54.55,94.3,1000
-25.28,-56,94.3,500
-25.28,-56,94.3,0
-27.22,-56.47,94.5,1000
-23.24,-57.26,94.5,1000
-26.43,-55.18,94.5,1000
-25.281,-54.3609,94.5,0
-24.554,-55.1312,94.5,0
-22.17,-57.56,94.5,0
-25.05,-57.29,94.5,0
-23.54,-55.27,94.5,0
-25.155,-57.27,94.7,1000
-26.4,-57.0836,94.7,1000
-25.47,-56.25,94.7,1000
