Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-12.034,-76.5729,50.036,13
-15.484,-70.0059,81.3,0
-12.05,-77,87.5,0
-13.27,-76.08,87.6,0
-6.42,-79.54,87.7,0
-12.105,-77.0131,88.3,20000
-12.04,-75.14,88.3,5000
-9.05,-78.36,88.3,2000
-3.45,-73.15,88.3,1000
-13.583,-71.3349,88.3,1000
-6.03,-76.58,88.3,1000
-17.591,-70.1526,88.3,1000
-13.4,-73.23,88.3,500
-13.09,-74.13,88.3,300
-14.04,-75.44,88.3,300
-12.513,-74.3509,88.3,250
-6.2904,-77.4852,88.3,50
-10.26,-76.32,88.3,0
-13.304,-71.5945,88.3,0
-17.38,-71.2,88.3,0
-5.42,-78.48,88.3,0
-17.01,-72.01,88.3,0
-6.0644,-78.1101,88.3,0
-5.4526,-78.2643,88.5,1300
-6.4653,-79.5226,88.5,1000
-8.07,-79.02,88.5,1000
-9.2155,-77.0548,88.5,100
-9.12,-76.4536,88.5,100
-12.47,-76.34,88.5,0
-10.45,-77.46,88.5,0
-16.37,-72.43,88.5,0
-11.34,-77.16,88.5,0
-13.27,-76.08,88.5,0
-12.56,-74.15,88.5,0
-12.011,-77.0411,88.5,0
-11.16,-74.41,88.5,0
-6.13,-77.51,88.7,1000
-16.22,-71.2,88.7,1000
-13.42,-76.13,88.7,1000
-5.12,-80.38,88.7,1000
-13.05,-76.24,88.7,1000
-9.32,-77.32,88.7,500
-9.1,-78.23,88.7,500
-7.47,-79.13,88.7,300
-8.59,-78.36,88.7,250
-9.31,-77.53,88.7,200
-8.15,-78,88.7,100
-13.09,-74.13,88.7,0
-13.05,-76.23,88.7,0
-9.32,-77.32,88.7,0
-6.42,-79.54,88.7,0
-15.484,-70.0059,88.7,0
-17.1,-71.48,88.7,0
-12.011,-77.0411,88.9,10000
-12.04,-75.14,88.9,1000
-3.45,-73.15,88.9,1000
-11.1,-75.6,88.9,1000
-13.4,-73.23,88.9,500
-15.3,-70.08,88.9,300
-9.28,-78.18,88.9,250
-9.55,-76.14,88.9,250
-4.54,-80.41,88.9,250
-10.04,-78.09,88.9,200
-6.0644,-78.1101,88.9,100
-8.56,-76.07,88.9,0
-11,-75.15,88.9,0
-14.04,-75.44,88.9,0
-13.583,-71.3349,88.9,0
-11.193,-74.3209,88.9,0
-6.03,-76.58,88.9,0
-10.39,-76.1517,88.9,0
-17.591,-70.1526,88.9,0
-11.25,-75.41,88.9,0
-5.4552,-78.26,89.1,2000
-6.4653,-79.5226,89.1,1000
-9.05,-78.36,89.1,1000
-3.34,-80.26,89.1,1000
-9.16,-77.38,89.1,500
-8.3547,-77.3914,89.1,500
-13.27,-76.08,89.1,500
-10.09,-77.11,89.1,500
-11.463,-75.3,89.1,500
-6.3,-76.22,89.1,500
-13.28,-72.09,89.1,300
-7.1325,-79.2525,89.1,300
-12.52,-72.43,89.1,300
-8.23,-74.32,89.1,250
-8.07,-79.02,89.1,250
-13.31,-73.4326,89.1,100
-11.55,-75.17,89.1,0
-6.224,-78.49,89.1,0
-11.06,-77.36,89.1,0
-12.46,-74.59,89.1,0
-12.04,-75.14,89.1,0
-9.32,-77.32,89.1,0
-17.01,-72.01,89.1,0
-12.52,-72.4136,89.1,0
-11.16,-74.41,89.1,0
-5.54,-76.05,89.3,1000
-9.2839,-77.3117,89.3,500
-13.42,-76.13,89.3,500
-17.12,-70.56,89.3,300
-8.03,-78.3,89.3,250
