,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,39.52055555555555,-6.947222222222221,50.031,0
1,32.729166666666664,-15.113888888888887,50.034,40
2,37.31249999999999,-6.280277777777777,50.036,40
3,37.979166666666664,-7.03027777777778,50.476,2
4,38.63083333333334,-7.473333333333335,87.6,1500
5,39.922500000000014,-6.861666666666667,87.6,1000
6,40.63333333333335,-5.866666666666667,87.6,500
7,41.68333333333333,-7.166666666666667,87.6,400
8,38.247222222222234,-6.105833333333333,87.7,20000
9,40.169444444444444,-5.4875000000000025,87.7,1000
10,41.516666666666666,-5.283333333333333,87.7,500
11,41.012499999999996,-6.165277777777778,87.8,1000
12,40.09055555555555,-6.500833333333335,87.9,34000
13,41.11972222222224,-6.069444444444445,87.9,200
14,41.55027777777779,-6.010555555555557,88.0,10000
15,41.53749999999999,-6.689722222222222,88.0,2000
16,38.7986111111111,-7.700277777777776,88.0,1000
17,41.83722222222221,-7.188611111111112,88.0,500
18,41.9,-6.9,88.0,100
19,37.31638888888888,-6.912777777777781,88.1,10000
20,39.50666666666666,-7.259444444444448,88.1,1000
21,40.90722222222223,-6.709444444444447,88.1,1000
22,40.9,-6.25,88.1,50
23,38.95166666666667,-7.318888888888886,88.2,2000
24,41.166666666666664,-6.366666666666667,88.2,1000
25,41.333333333333336,-5.316666666666666,88.2,500
26,40.64611111111111,-6.243333333333332,88.2,500
27,39.92777777777776,-6.483333333333333,88.2,50
28,41.81388888888889,-6.517222222222224,88.3,10000
29,40.21694444444444,-6.730555555555558,88.3,1000
30,40.52305555555556,-5.607500000000002,88.4,6400
31,38.73888888888889,-5.916666666666667,88.4,2000
32,39.44305555555555,-6.795277777777775,88.4,1000
33,38.68,-7.6447222222222235,88.4,100
34,37.93333333333333,-5.933333333333334,88.5,2000
35,40.16694444444444,-6.368333333333331,88.5,1000
36,42.08444444444444,-6.558888888888889,88.5,500
37,41.83249999999999,-7.186111111111111,88.5,200
38,41.10499999999998,-6.46138888888889,88.5,50
39,41.31027777777778,-6.9527777777777775,88.6,2000
40,38.5238888888889,-7.240555555555554,88.6,30
41,39.65,-6.0,88.6,0
42,39.175000000000004,-7.3825,88.7,10000
43,41.11416666666667,-6.167222222222222,88.7,5000
44,41.26777777777777,-6.258611111111112,88.7,1
45,38.12861111111112,-5.3038888888888875,88.7,0
46,40.53611111111111,-6.983333333333333,88.8,1000
47,37.31638888888888,-6.912777777777781,88.9,25000
48,41.55027777777779,-6.010555555555557,88.9,10000
49,39.31222222222221,-5.750833333333332,88.9,2000
50,41.958333333333336,-6.8925,88.9,1000
51,38.67444444444444,-7.515555555555556,88.9,300
52,37.46694444444444,-5.797222222222224,88.9,200
53,39.672499999999985,-7.079999999999999,89.0,1000
54,40.9,-6.25,89.0,1000
55,41.31027777777778,-6.9527777777777775,89.0,300
56,38.959166666666675,-7.340555555555557,89.1,2000
57,40.352500000000006,-5.41138888888889,89.1,0
58,41.253888888888895,-6.45472222222222,89.2,2000
59,41.71722222222221,-5.177499999999998,89.2,1000
60,41.85944444444445,-6.883333333333333,89.2,300
61,40.09055555555555,-6.500833333333335,89.3,34000
62,37.51527777777778,-7.037222222222221,89.3,2000
63,41.67750000000001,-7.117222222222221,89.3,400
64,41.53333333333333,-7.105555555555559,89.3,400
65,41.11972222222224,-6.069444444444445,89.3,200
66,38.73194444444444,-7.510833333333335,89.5,5000
67,41.19055555555556,-6.931111111111113,89.5,1500
68,37.10222222222222,-6.152777777777778,89.6,10000
69,41.43388888888887,-5.328611111111112,89.6,10000
70,42.02222222222222,-6.915000000000001,89.6,10000
71,40.49194444444446,-5.909722222222221,89.6,1000
72,38.73888888888889,-5.916666666666667,89.7,2000
73,41.53749999999999,-6.689722222222222,89.7,1000
74,40.85972222222222,-6.748611111111112,89.7,1000
75,41.55027777777779,-6.010555555555557,89.8,10000
76,40.71666666666667,-5.216666666666667,89.8,0
77,37.63333333333335,-6.538888888888891,89.8,0
78,38.493333333333325,-7.28361111111111,89.9,12000
79,40.750000000000014,-6.083333333333333,89.9,1000
80,39.82555555555556,-5.818888888888889,89.9,500
81,40.18833333333334,-6.760555555555554,90.0,5000
82,41.11305555555556,-6.920555555555555,90.0,5000
83,38.20416666666666,-6.158333333333334,90.0,1000
84,41.795555555555566,-5.07361111111111,90.0,50
85,41.0,-5.75,90.0,0
86,41.31527777777778,-5.7847222222222205,90.1,1000
87,37.13333333333333,-6.866666666666667,90.1,1000
88,39.14972222222222,-5.910277777777777,90.1,500
89,40.52305555555556,-5.607500000000002,90.2,10000
90,39.175000000000004,-7.3825,90.2,10000
91,40.750000000000014,-6.916666666666667,90.2,1000
92,41.21583333333335,-6.583888888888888,90.2,1000
93,41.40388888888887,-6.86888888888889,90.2,1000
94,41.49611111111111,-4.599166666666667,90.3,50
95,41.81388888888889,-6.517222222222224,90.4,20000
96,38.733055555555545,-7.516666666666669,90.4,5000
97,37.37083333333334,-6.402222222222223,90.4,500
98,41.333333333333336,-5.316666666666666,90.4,0
99,39.60972222222223,-6.635833333333337,90.5,2000
100,41.016666666666666,-5.9,90.5,1000
101,37.2111111111111,-5.75,90.5,1000
102,38.17138888888889,-6.966388888888892,90.6,10000
103,41.1725,-6.815555555555556,90.6,2000
104,38.769999999999996,-5.751666666666668,90.6,1000
105,41.166666666666664,-6.233333333333333,90.6,0
106,39.13333333333333,-5.6,90.7,0
107,40.078888888888905,-6.48361111111111,90.8,44000
108,41.68333333333333,-7.166666666666667,90.8,2000
