,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,1.4127777777777777,16.3175,88.0,0
1,-2.512777777777776,15.250277777777777,88.4,500
2,-3.055555555555557,11.85,88.7,5000
3,-2.6138888888888894,15.258055555555554,89.0,0
4,-1.267777777777778,12.715277777777777,89.1,0
5,1.6,16.05,89.8,0
6,1.4127777777777777,16.3175,90.0,0
7,-2.512777777777776,15.250277777777777,90.1,20000
8,-2.533333333333333,12.666666666666666,90.1,1580
9,-3.055555555555557,11.85,90.5,5000
10,-2.0,13.333333333333334,91.2,1000
11,-2.512777777777776,15.250277777777777,92.3,0
12,-2.512777777777776,15.250277777777777,93.2,5000
13,-3.055555555555557,11.85,93.2,0
14,-2.533333333333333,12.666666666666666,93.3,0
15,-2.512777777777776,15.250277777777777,93.5,1000
16,-3.055555555555557,11.85,93.6,5000
17,-1.2,14.75,94.0,1580
18,-2.512777777777776,15.250277777777777,94.5,5000
19,-2.533333333333333,12.666666666666666,94.6,500
20,-3.055555555555557,11.85,95.0,5000
21,0.0,15.345833333333335,95.0,500
22,-3.055555555555557,11.85,96.0,0
23,-2.512777777777776,15.250277777777777,96.4,20000
24,-3.055555555555557,11.85,97.1,5000
25,-2.6138888888888894,15.258055555555554,97.4,1000
26,-3.055555555555557,11.85,97.7,0
27,-2.512777777777776,15.250277777777777,98.0,0
28,1.6380555555555552,18.066666666666666,98.2,0
29,1.6,16.05,98.2,0
30,-3.055555555555557,11.85,98.3,5000
31,-3.055555555555557,11.85,98.9,1000
32,-2.533333333333333,12.666666666666666,99.2,1000
33,-2.512777777777776,15.250277777777777,99.3,5000
34,-2.512777777777776,15.250277777777777,100.3,5000
35,-2.512777777777776,15.250277777777777,100.7,0
36,-2.6138888888888894,15.258055555555554,101.9,0
37,-3.055555555555557,11.85,102.2,0
38,-0.2833333333333333,15.866666666666667,104.0,0
39,-2.512777777777776,15.250277777777777,104.3,5000
40,-3.055555555555557,11.85,105.0,0
41,-2.6138888888888894,15.258055555555554,105.8,1000
42,-2.512777777777776,15.250277777777777,106.1,0
43,-0.9411111111111112,16.21472222222222,999.9,1000
44,-2.5941666666666667,15.289444444444445,999.9,0
45,-2.533333333333333,12.666666666666666,999.9,0
46,0.05,14.833333333333334,999.9,0
47,0.21194444444444405,15.07888888888889,999.9,0
48,-2.0,13.333333333333334,999.9,0
49,-1.2,13.833333333333334,999.9,0
