Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
44.5344,24.523,50,1
47.3844,23.323,50.069,3
43.1115,28.373,50.069,0
47.5615,26.2729,50.1,0
44.5356,29.36,87.6,500
47.27,26.52,87.6,200
45.21,24.15,87.6,100
46.2143,25.4834,87.6,100
46.36,25.07,87.6,100
46.16,26.37,87.6,100
46.39,25.49,87.6,50
44.19,23.5,87.6,50
45.5027,23.2321,87.6,50
47.1025,24.1043,87.7,200
45.1405,25.0425,87.7,200
46.5457,26.0325,87.7,100
46.22,23.03,87.7,100
45.2447,28.0126,87.7,100
44.34,27.23,87.7,100
47.05,23.52,87.7,50
46.19,24.17,87.7,50
43.4838,28.3451,87.8,2000
47.0331,21.5822,87.8,870
47.57,26.03,87.8,500
46.46,23.34,87.8,400
47.0932,27.3517,87.8,400
45.134,29.145,87.8,150
43.5651,28.3748,87.8,100
45.1503,23.4206,87.8,100
46.1559,26.453,87.8,100
45.47,24.08,87.8,100
45.3808,25.3549,87.8,80
46.46,24.42,87.8,80
45.152,25.2554,87.8,50
47.4719,22.5222,87.9,2000
47.0119,26.5745,87.9,400
45.0713,26.3237,87.9,200
45.5027,23.2321,87.9,200
47.5436,23.533,87.9,200
46.18,25.18,87.9,100
45.172,21.5202,87.9,100
47.23,24.4,87.9,50
46.1336,27.4307,88,30000
44.2725,26.0624,88,2000
46.3253,24.3509,88,300
46,26.09,88,200
46.4,22.2,88,100
44.41,24.14,88,100
45.2304,23.2815,88.1,10000
47.091,23.0606,88.1,10000
46.5543,26.2248,88.1,500
44.5534,25.2723,88.1,250
46.0413,23.3357,88.1,200
43.5805,25.1957,88.1,200
46.1,24.2,88.1,100
46.2136,25.4806,88.1,100
46.57,25.22,88.1,100
47.4503,26.3837,88.2,5000
45.3849,25.3658,88.2,2000
44.0515,26.382,88.2,1550
45.3347,25.1942,88.2,500
47.06,24.3,88.2,100
45.5034,24.581,88.2,100
45.2503,26.181,88.2,50
46.13,24.48,88.2,50
45.5957,26.3921,88.2,50
44.5123,28.2511,88.3,4000
46.465,23.3444,88.3,1000
46.465,23.3444,88.3,1000
47.0414,26.56,88.3,400
44.561,26.0125,88.3,300
46.19,23.44,88.3,90
44.5021,24.5241,88.3,80
46.16,23.04,88.3,50
47.3937,24.0226,88.4,10000
47.0555,27.4006,88.4,500
45.4828,24.1214,88.4,200
45.3808,25.3549,88.4,100
46.1559,26.453,88.4,100
45.3636,22.5709,88.4,50
46.3238,24.3507,88.4,44
45.1057,22.0316,88.5,100000
46.5427,25.3105,88.5,2000
46.4016,27.4719,88.5,2000
44.0931,28.3626,88.5,1000
44.2538,26.0516,88.5,500
46.4314,25.3557,88.5,500
47.39,23.34,88.5,160
45.59,24.374,88.5,50
45.09,25.44,88.6,1000
47.3945,26.0904,88.6,500
45.1904,24.2022,88.6,100
45.56,23.35,88.6,100
46.17,25.02,88.6,50
45.3636,22.5709,88.6,50
