Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-1.5308,30.0059,87.6,1000
-1.3022,29.2702,88,1000
-1.5308,30.0059,88.3,1000
-2.3353,29.4104,88.6,1000
-1.351,29.3356,88.8,1000
-1.5308,30.0059,89.2,1000
-2.0854,29.223,89.4,3800
-1.5308,30.0059,89.7,1000
-2.2955,28.5512,89.8,5000
-1.272,30.0613,90.1,1000
-1.5308,30.0059,90.3,1000
-1.1612,30.2402,90.4,1000
-1.5308,30.0059,90.7,6000
-1.5308,30.0059,91.1,50000
-1.5308,30.0059,91.5,0
-1.5308,30.0059,91.9,12000
-1.4332,29.155,92,0
-1.3535,29.4803,92.4,15000
-2.0757,30.3941,92.4,4000
-1.3449,29.4819,92.4,1900
-1.5942,30.0415,92.8,1000
-2.2955,28.5512,92.9,15000
-2.3228,28.5834,92.9,1000
-1.5308,30.0059,93.1,1000
-2.0854,29.223,93.3,2500
-1.1612,30.2402,93.5,12000
-1.403,29.1631,93.6,1000
-1.5308,30.0059,93.9,15000
-1.5308,30.0059,94.3,1000
-1.4332,29.155,94.6,1000
-1.4158,29.1606,94.6,0
-1.5308,30.0059,94.7,1000
-1.351,29.3356,95.1,1000
-1.1612,30.2402,95.5,1000
-2.0854,29.223,95.7,1000
-1.5942,30.0415,96,2000
-2.3439,29.0357,96.1,0
-1.3448,30.0405,96.4,300
-1.5308,30.0059,96.7,5000
-2.3353,29.4104,97,1000
-1.5308,30.0059,97.3,2000
-2.0854,29.223,97.6,25000
-1.5308,30.0059,98,1000
-1.351,29.3356,98.4,300
-1.5942,30.0415,98.7,1000
-2.04,29.45,98.9,0
-1.1612,30.2402,99,1000
-2.1829,30.4456,99.3,20
-2.2955,28.5512,99.4,4000
-2.0854,29.223,99.8,2500
-2.0949,30.3228,100,10000
-2.3439,29.0357,100.4,2500
-2.36,29.44,100.4,1000
-1.5308,30.0059,100.7,30000
-1.351,29.3356,101.1,1000
-2.2211,29.1127,101.1,15
-2.0402,29.2101,101.1,6
-1.5308,30.0059,101.5,1000
-1.5308,30.0059,101.9,1000
-1.4332,29.155,102,0
-1.5942,30.0415,102.3,1000
-2.3353,29.4104,102.5,2000
-1.5942,30.0415,102.8,1000
-1.3448,30.0405,103.2,12000
-2.0854,29.223,103.3,1000
-1.5308,30.0059,103.5,0
-1.5308,30.0059,103.6,1000
-2.3353,29.4104,103.9,4000
-1.5308,30.0059,104.1,0
-1.5308,30.0059,104.3,12000
-1.3022,29.2702,104.7,50000
-1.5942,30.0415,104.7,10000
-1.5308,30.0059,105.1,1000
-2.2955,28.5512,105.7,2000
-2.2955,28.5512,105.7,0
-1.5308,30.0059,105.9,1000
-2.0854,29.223,106,5000
-1.5942,30.0415,106.4,1000
-1.272,30.0613,106.8,300
-2.0854,29.223,106.9,2000
-1.5308,30.0059,107.1,1000
-1.3022,29.2702,107.3,1000
-1.3448,30.0405,107.5,1000
-2.3353,29.4104,107.9,10000
-1.1612,30.2402,107.9,5000
