,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,37.64555555555556,127.12499999999999,50.043,30
1,35.1875,126.87499999999999,50.051,3
2,34.95,127.5,87.9,0
4,36.66194444444445,128.61111111111111,88.1,12000
5,37.551666666666655,126.9872222222222,88.1,10000
6,33.277777777777764,126.61666666666666,88.1,4000
7,35.1913888888889,128.19472222222223,88.1,2000
8,37.65777777777778,126.96388888888889,88.1,1000
9,38.06666666666667,128.16666666666666,88.1,400
10,38.17333333333334,128.52166666666668,88.1,400
11,35.1,129.0333333333334,88.1,250
12,37.45972222222222,126.66388888888889,88.1,80
13,37.233333333333334,127.2,88.1,80
14,35.59,129.39722222222227,88.3,4000
15,35.294722222222234,127.5322222222222,88.3,4000
16,36.175000000000004,127.77777777777777,88.3,400
17,36.95,127.03333333333333,88.3,300
18,37.9,127.05,88.3,250
19,37.43333333333333,127.96666666666667,88.3,190
20,37.602777777777774,128.28000000000003,88.3,100
21,37.52166666666666,129.06972222222223,88.5,4000
22,35.86666666666668,128.58333333333334,88.5,1000
23,35.920555555555566,126.6211111111111,88.5,250
24,37.88055555555555,127.71972222222225,88.5,100
25,35.1388888888889,128.71111111111105,88.5,100
26,37.73888888888889,127.0888888888889,88.5,100
27,35.35,129.04166666666666,88.5,80
28,35.127777777777766,126.8,88.5,50
29,37.86666666666668,126.78333333333333,88.5,50
30,37.08611111111112,127.02972222222226,88.5,50
31,35.99444444444445,128.4083333333333,88.5,50
32,36.96805555555556,127.70555555555552,88.7,12000
33,33.4263888888889,126.61222222222224,88.7,12000
34,35.85,129.21666666666667,88.7,2000
35,37.549722222222215,126.99194444444448,88.7,2000
36,36.006666666666675,127.66055555555553,88.7,400
37,35.15833333333334,129.08222222222227,88.9,20000
38,38.22388888888888,128.11722222222224,88.9,2000
39,38.20888888888888,127.31805555555553,88.9,360
40,36.08,126.69138888888887,88.9,360
41,35.18222222222224,126.90694444444445,88.9,12
42,37.44027777777779,126.96388888888889,89.1,40000
43,37.70916666666666,128.99972222222223,89.1,20000
44,34.45222222222222,126.61972222222224,89.1,8000
45,36.81666666666667,128.62499999999997,89.1,40
46,35.85138888888889,128.4994444444445,89.1,4
47,36.64805555555556,127.50361111111108,89.3,4000
48,35.16694444444444,128.74111111111114,89.3,4000
49,37.49027777777776,130.88194444444443,89.3,1000
50,37.483333333333334,130.88333333333333,89.3,1000
51,36.40611111111111,127.70777777777775,89.3,360
52,37.383611111111115,128.41305555555553,89.3,100
53,35.3325,129.1786111111111,89.3,80
54,35.277777777777764,129.21277777777775,89.3,80
55,37.25638888888888,127.97055555555553,89.5,12000
56,37.96833333333332,124.66833333333332,89.5,2000
57,35.22500000000001,128.68055555555554,89.5,2000
58,38.35555555555556,128.4944444444445,89.5,400
59,37.16916666666667,128.45638888888888,89.5,400
60,34.7386111111111,127.70777777777775,89.5,0
61,36.01722222222221,128.695,89.7,20000
62,35.12527777777776,127.00916666666666,89.7,12000
63,37.44027777777779,126.96388888888889,89.7,12000
64,33.238888888888894,126.25833333333337,89.7,0
65,35.08388888888888,129.05444444444444,89.9,20000
66,36.79305555555557,127.20805555555557,89.9,4000
67,35.728888888888875,127.08499999999998,90.1,5000
68,33.4263888888889,126.61222222222224,90.1,4000
69,37.70916666666666,128.99972222222223,90.1,3000
70,35.231666666666655,128.50972222222228,90.1,80
71,35.16694444444444,128.74111111111114,90.3,4000
72,37.562222222222225,127.54666666666665,90.3,4000
73,36.07166666666667,129.28500000000003,90.3,3000
74,35.12527777777776,127.00916666666666,90.5,20000
75,36.80416666666666,129.09888888888887,90.5,4000
76,35.15833333333334,129.08222222222227,90.5,1600
77,37.45972222222222,126.66388888888889,90.7,5000
78,35.591388888888886,129.3983333333333,90.7,4000
79,36.9838888888889,128.25666666666666,90.7,1000
80,36.1425,128.10888888888888,90.7,400
81,38.050555555555555,128.6236111111111,90.7,360
82,35.416666666666664,127.38333333333334,90.7,200
83,37.39444444444443,127.11666666666666,90.7,1
84,37.44722222222222,127.15277777777774,90.7,1
85,35.166388888888896,128.74111111111114,90.9,4000
86,36.64805555555556,127.50361111111108,90.9,4000
87,33.36000000000001,126.46083333333331,90.9,1000
88,33.277777777777764,126.61666666666666,90.9,1000
89,37.483333333333334,130.88333333333333,90.9,1000
90,37.96722222222222,124.66805555555554,90.9,400
91,37.95,124.66666666666667,90.9,100
92,37.99583333333333,127.50361111111108,91.1,20000
93,35.110277777777775,127.72666666666669,91.1,12000
94,36.02916666666666,127.03611111111113,91.1,4000
95,36.66194444444445,128.61111111111111,91.3,12000
96,36.70444444444444,126.60916666666667,91.3,2000
97,35.26638888888889,129.23277777777773,91.3,120
99,35.33694444444445,129.1777777777778,91.3,80
100,35.33333333333334,129.0333333333334,91.3,80
101,35.12527777777776,127.00916666666666,91.5,20000
102,36.634722222222216,127.41000000000001,91.5,12000
103,37.70916666666666,128.99972222222223,91.5,12000
104,36.07166666666667,129.28500000000003,91.5,12000
105,37.94166666666667,126.96999999999997,91.5,200
106,35.166388888888896,128.74111111111114,91.7,20000
107,36.300555555555555,127.48111111111112,91.7,5000
108,37.44027777777779,126.96388888888889,91.9,40000
109,33.4263888888889,126.61222222222224,91.9,8000
110,35.853333333333346,128.5663888888889,91.9,2000
111,37.36666666666667,128.66666666666666,91.9,400
112,35.2111111111111,128.1,92.1,12000
