,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,0.37999999999999995,6.638055555555558,89.3,0
2,0.2988888888888889,6.633333333333333,90.5,500
3,1.5833333333333335,7.4,90.8,10000
4,0.3,6.716666666666667,91.9,0
5,0.2988888888888889,6.633333333333333,92.8,3000
7,0.3,6.716666666666667,95.5,0
8,1.5833333333333335,7.4,96.7,0
9,0.033888888888888885,6.533333333333333,97.2,0
11,0.35916666666666663,6.551666666666665,100.5,0
12,1.5833333333333335,7.4,101.1,0
13,1.5833333333333335,7.4,101.9,70
14,0.2988888888888889,6.633333333333333,102.8,1000
15,0.3,6.716666666666667,104.4,0
16,0.2988888888888889,6.633333333333333,105.5,200
17,0.4508333333333332,6.791666666666665,999.999,0
