Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
18.1048,42.2754,87.6,31600
23.43,44.39,87.6,2750
21.2823,39.4821,87.7,10000
17.33,44.18,87.7,10000
30.1717,38.4228,87.7,0
20.022,42.3107,87.8,850
22.2602,41.4546,87.8,150
24.15,51.1,87.8,100
25.57,49.4,87.9,200
21.2503,39.1832,88,100000
31.1957,37.2001,88,10000
29.5317,39.1817,88,0
19.0709,41.0513,88,0
23.3244,45.3005,88,0
24.3835,46.4145,88,0
24.1219,48.04,88,0
26.2005,43.5859,88,0
27.32,41.43,88,0
29.4925,39.5034,88,0
29.3741,43.3206,88,0
28.2351,36.3244,88,0
19.1306,42.0451,88,0
20.2802,44.4656,88,0
24.0711,39.0806,88.1,1000
25.011,37.1622,88.2,100000
26.3,50,88.2,100
22.3039,53.5727,88.2,100
17.5307,43.2141,88.2,0
28.2959,48.2631,88.2,0
26.2,50.13,88.3,320
22.0903,39.1953,88.3,0
19.5859,41.2755,88.4,9700
30.5846,41.0147,88.4,2000
29.1627,34.5721,88.4,120
25.0732,46.0735,88.4,0
21.2823,39.4821,88.4,0
24.2358,39.333,88.5,3160
26.2548,50.0332,88.5,1000
25.49,50.07,88.5,200
22.2555,46.11,88.5,0
26.2832,43.3829,88.5,0
31.1957,37.2001,88.6,120000
17.4137,43.3026,88.6,100000
22.4906,39.0143,88.6,100000
28.2601,45.5921,88.6,25000
21.12,41.38,88.6,3000
26.5337,42.0822,88.7,100000
26.06,50.08,88.7,2500
26.22,49.36,88.7,100
26.145,36.2739,88.8,100000
16.5922,42.3656,88.8,100000
24.5228,40.3049,88.8,1000
24,51.29,88.8,100
25.38,50.12,88.8,100
25.0757,49.1737,88.8,0
25.462,43.3052,88.8,0
26.5016,40.193,88.8,0
26.2548,50.0332,88.9,1000
24.1239,47.1416,88.9,850
19.2026,42.032,88.9,370
19.2258,42.033,88.9,0
23.5927,38.174,89,31600
21.2823,39.4821,89,3160
24.3106,44.2441,89,0
25.5203,41.2544,89,0
26.1842,44.5034,89,0
17.5056,44.012,89,0
18.1049,42.2754,89.2,126000
21.2137,40.1654,89.2,0
26.2005,43.5859,89.3,11000
25.2445,46.0557,89.3,0
26.2548,50.0332,89.4,1000
27.2135,35.4205,89.5,100000
23.4501,38.4717,89.5,340
20.0626,41.1715,89.5,0
29.0959,36.0448,89.5,0
29.482,38.5459,89.5,0
