,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,14.188055555555557,-11.040277777777776,87.5,500
1,15.399166666666664,-13.447499999999998,87.6,1000
2,12.583333333333334,-14.583333333333327,87.6,1000
3,14.666666666666666,-14.6,87.6,500
4,14.956666666666667,-15.124444444444443,87.6,0
5,14.344722222222224,-14.728611111111112,87.7,500
6,14.722222222222223,-15.6,87.7,500
7,12.953888888888892,-12.068611111111112,87.7,300
8,14.666666666666666,-14.6,87.8,3000
9,12.831666666666665,-10.07777777777778,87.8,500
10,14.8,-14.25,87.8,0
11,14.666666666666666,-15.755555555555562,87.9,10
12,12.55,-14.6,88.0,500
13,14.907499999999999,-10.782777777777774,88.0,316
14,14.179166666666667,-15.168055555555556,88.0,300
15,15.628333333333336,-14.526388888888892,88.0,0
16,12.884444444444444,-13.271388888888888,88.1,2000
17,16.010555555555552,-14.814166666666665,88.1,1000
18,13.783333333333333,-11.99222222222222,88.1,316
19,14.7,-15.755555555555562,88.1,0
20,14.714444444444444,-14.77694444444444,88.2,500
21,13.748055555555554,-14.091388888888893,88.3,3000
22,12.804722222222225,-14.566666666666666,88.3,1000
23,12.5575,-10.5125,88.3,1000
24,14.462222222222223,-10.53416666666667,88.3,1000
25,15.628333333333336,-14.526388888888892,88.3,1000
26,15.966666666666667,-11.933333333333334,88.3,316
27,14.670833333333336,-15.749722222222225,88.4,5000
28,14.105000000000002,-13.872777777777777,88.5,500
29,14.8,-14.25,88.5,500
30,13.783333333333333,-11.99222222222222,88.5,500
31,14.666666666666666,-14.6,88.5,10
32,16.010555555555552,-14.814166666666665,88.5,0
33,14.696111111111112,-15.766666666666662,88.6,500
34,12.633333333333333,-11.15,88.6,500
35,12.55,-14.6,88.6,500
36,15.628333333333336,-14.526388888888892,88.7,1000
37,15.666666666666666,-11.666666666666666,88.7,1000
38,13.29444444444444,-13.034722222222223,88.7,500
39,13.748055555555554,-14.091388888888893,88.7,500
40,12.831666666666665,-10.07777777777778,88.8,5000
41,14.762777777777778,-15.269722222222228,88.8,500
42,16.5,-13.833333333333334,88.9,1000
43,14.668611111111115,-15.762222222222222,88.9,1000
44,16.078055555555558,-12.179722222222221,88.9,1000
45,16.010555555555552,-14.814166666666665,88.9,1000
46,13.783333333333333,-11.99222222222222,88.9,500
47,15.399166666666664,-13.447499999999998,89.0,5000
48,13.978888888888891,-13.133888888888885,89.0,2000
49,15.608333333333333,-11.639444444444443,89.1,5000
50,15.666666666666666,-11.666666666666666,89.1,2000
51,13.149166666666664,-12.430277777777782,89.1,2000
52,16.459999999999997,-13.993333333333336,89.1,1000
53,14.917499999999999,-15.442222222222226,89.1,500
54,14.8,-14.25,89.1,500
55,14.858333333333333,-14.21777777777778,89.1,0
56,14.683333333333334,-15.783333333333333,89.2,1000
57,12.5575,-10.5125,89.2,500
58,15.719166666666665,-14.784722222222223,89.2,250
59,14.8,-14.25,89.3,500
60,13.748055555555554,-14.091388888888893,89.3,500
61,12.583333333333334,-14.583333333333327,89.3,500
62,15.608333333333333,-11.639444444444443,89.3,0
63,14.713888888888889,-15.776666666666662,89.4,500
