Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-4.3714,55.2628,87.6,1000
-4.4449,55.2818,87.9,1000
-4.1829,55.4414,88,1000
-4.3717,55.2412,88.3,1000
-4.47,55.3053,88.4,1000
-4.3506,55.2715,88.7,1000
-4.3349,55.2621,89,1000
-4.4011,55.2542,89.2,1000
-4.2106,55.4558,89.4,1000
-4.3506,55.2715,89.8,1000
-4.4449,55.2818,90,2000
-4.4359,55.3136,90.4,1000
-4.4353,55.3113,90.4,500
-4.3714,55.2628,90.7,2000
-4.1829,55.4414,91.1,1000
-4.4011,55.2542,91.2,1000
-4.3717,55.2412,91.4,1000
-4.4359,55.3136,91.5,1000
-4.3506,55.2715,91.8,1000
-4.3346,55.2602,92.1,2000
-4.3349,55.2621,92.1,1000
-4.2106,55.4558,92.5,1000
-4.4449,55.2818,92.6,1000
-4.4359,55.3136,93,1000
-4.4353,55.3113,93,500
-4.3714,55.2628,93.6,1000
-4.4449,55.2818,94.2,1000
-4.1829,55.4414,94.3,1000
-4.3717,55.2412,94.6,1000
-4.47,55.3053,94.8,1000
-4.3506,55.2715,95,1000
-4.3349,55.2621,95.3,1000
-4.4011,55.2542,95.5,1000
-4.2106,55.4558,95.7,2000
-4.1829,55.4414,96.2,1000
-4.3349,55.2621,96.5,1000
-4.4359,55.3136,96.8,1000
-4.4353,55.3113,96.8,500
-4.3714,55.2628,97.2,1000
-4.1829,55.4414,97.6,1000
-4.4449,55.2818,97.7,1000
-4.47,55.3053,98.2,1000
-4.3506,55.2715,98.3,1000
-4.3349,55.2621,98.6,1000
-4.4011,55.2542,98.8,1000
-4.2106,55.4558,99,1000
-4.3714,55.2628,99.4,1000
-4.3717,55.2412,99.8,1000
-4.4359,55.3136,100.1,1000
-4.4353,55.3113,100.1,500
-4.47,55.3053,100.5,1000
-4.2106,55.4558,100.8,1000
-4.3717,55.2412,101.4,1000
-4.47,55.3053,101.5,1000
-4.3506,55.2715,101.8,1000
-4.3349,55.2621,102.1,1000
-4.4011,55.2542,102.3,1000
-4.4449,55.2818,102.8,1000
-4.1829,55.4414,102.9,1000
-4.4353,55.3113,103.2,500
-4.4354,55.3113,103.2,0
-4.4011,55.2542,103.5,1000
-4.3714,55.2628,103.8,1000
-4.4359,55.3136,104,1000
-4.4353,55.3113,104,500
-4.3506,55.2715,104.2,1000
-4.1829,55.4414,104.7,1000
-4.3717,55.2412,105,1000
-4.4449,55.2818,105.2,1000
-4.4359,55.3136,105.6,1000
-4.4353,55.3113,105.6,500
-4.3349,55.2621,105.7,1000
-4.4011,55.2542,106.1,1000
-4.3714,55.2628,106.2,1000
-4.2106,55.4558,106.6,1000
-4.47,55.3053,106.9,1000
-4.2106,55.4558,107.4,1000
