Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
1.2107,103.4557,88.3,5000
1.2107,103.4557,88.9,5000
1.2105,103.4558,89.3,15000
1.2105,103.4558,89.7,6000
1.2105,103.4558,90.5,6000
1.2107,103.4557,91.3,12000
1.2107,103.4557,92,12000
1.2105,103.4558,92.4,10000
1.2105,103.4558,93.3,6000
1.2105,103.4558,93.8,6000
1.2105,103.4558,94.2,10000
1.2105,103.4558,95,6000
1.2105,103.4558,95.8,10000
1.2105,103.4558,96.3,6000
1.2105,103.4558,96.8,10000
1.2105,103.4558,97.2,6000
1.2107,103.4557,98,12000
1.2105,103.4558,98.7,6000
1.2105,103.4558,99.5,6000
1.2107,103.4557,100.3,11000
