,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,48.1825,17.094722222222217,67.76,60000
1,48.1825,17.094722222222217,68.84,60000
2,48.1825,17.094722222222217,71.12,60000
3,48.923611111111114,21.46222222222222,87.7,100000
4,48.73833333333334,18.995833333333334,87.7,10000
5,48.301388888888894,18.051111111111112,87.8,500
6,49.4575,18.81972222222222,87.9,500
7,49.215555555555554,19.31861111111111,87.9,500
8,48.85722222222222,17.674999999999997,88.0,8500
9,48.199166666666656,16.982777777777773,88.0,50
10,48.5863888888889,20.920000000000005,88.1,250
11,48.477222222222224,18.72388888888889,88.1,200
12,48.58944444444445,19.088888888888885,88.1,200
13,48.26388888888889,19.719722222222224,88.2,10000
14,49.23222222222221,18.771944444444443,88.2,250
15,49.4061111111111,19.48361111111111,88.2,200
16,48.301388888888894,18.051111111111112,88.2,200
17,49.10805555555555,18.32805555555555,88.3,300
18,48.34472222222222,17.769722222222217,88.4,1000
19,49.04944444444443,19.24833333333333,88.4,1000
20,48.23305555555556,19.255833333333335,88.5,10000
21,48.99138888888889,22.195833333333333,88.5,10000
22,48.963333333333345,18.17833333333333,88.5,150
23,48.729444444444454,19.13611111111111,88.6,1000
24,48.61777777777777,20.54527777777778,88.6,1000
25,49.21166666666667,18.70916666666667,88.6,500
26,48.70555555555555,21.246111111111112,88.6,500
27,49.36805555555556,19.49222222222222,88.7,9500
28,49.36,21.24555555555556,88.8,10000
29,48.34305555555555,18.105000000000008,88.8,10000
30,49.08805555555555,19.64222222222222,88.9,100
31,48.58944444444445,19.088888888888885,89.0,1000
32,49.216944444444444,19.287777777777784,89.0,200
33,48.66861111111111,20.537222222222226,89.0,200
34,49.26611111111111,20.60777777777778,89.1,10000
35,48.98916666666668,18.037222222222223,89.1,10000
36,48.33361111111111,19.643333333333338,89.1,200
37,48.67527777777778,21.827777777777776,89.2,10000
38,48.811944444444435,19.624166666666664,89.2,500
39,49.08444444444446,19.30305555555556,89.2,100
40,48.843333333333334,17.2225,89.2,100
41,48.1825,17.094722222222217,89.3,10000
42,49.278888888888886,21.248611111111106,89.3,1000
43,48.368611111111115,20.064722222222223,89.3,1000
44,49.12083333333334,18.951666666666664,89.4,500
45,49.116944444444435,18.446944444444448,89.5,300
46,48.94972222222221,20.50222222222222,89.5,200
47,48.78805555555555,18.577222222222225,89.6,500
48,48.53333333333333,20.383333333333333,89.6,500
49,48.53333333333333,20.383333333333333,89.6,500
50,49.4061111111111,19.470555555555556,89.7,500
51,48.301388888888894,18.051111111111112,89.7,500
52,49.10416666666667,19.469999999999995,89.7,500
53,48.57888888888889,19.136944444444442,89.7,500
54,48.75805555555556,21.922777777777778,89.7,200
55,48.20333333333334,16.976666666666667,89.7,30
56,49.226111111111116,18.681944444444447,89.8,300
57,48.99777777777778,21.25444444444444,89.8,200
58,48.88833333333332,18.03361111111111,89.8,30
59,48.61777777777777,20.54527777777778,90.0,1000
60,49.28583333333334,21.90944444444444,90.0,200
