Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
46.0517,15.0425,50.422,8
46.4445,16.0919,87.6,9900
46.0246,14.304,87.6,1000
45.5036,15.1117,87.6,500
46.1703,14.562,87.6,400
45.5054,13.5504,87.6,300
46.0125,15.3626,87.6,150
45.3001,13.354,87.6,100
46.3501,15.2516,87.7,100
46.2337,14.2749,87.7,50
46.1144,13.3711,87.8,5000
46.2351,14.0653,87.8,1000
46.114,15.1838,87.8,500
46.4057,15.5905,87.8,200
45.3557,14.0846,87.8,200
46.0643,13.5907,87.8,40
45.3501,13.4651,87.9,200
45.2954,15.0213,87.9,200
45.334,13.5008,87.9,200
45.5543,14.2814,88,5000
45.3501,13.4651,88,200
46.2025,13.4159,88,40
46.2502,13.3632,88,40
46.235,15.185,88.1,100
45.3517,13.5529,88.1,50
46.2543,14.4042,88.1,21
46.1032,15.0121,88.2,100
45.3013,13.3836,88.3,1000
46.1703,14.562,88.3,200
46.1032,13.4546,88.3,200
46.1752,14.32,88.4,2000
46.3053,15.344,88.5,30000
46.0548,13.4959,88.5,100
46.2122,15.0634,88.5,100
45.4617,14.0311,88.6,30000
45.2954,15.0213,88.6,200
46.2958,13.4701,88.6,100
46.2234,14.4625,88.6,100
46.1435,15.1616,88.7,500
45.3819,14.5146,88.7,300
45.5045,15.4041,88.7,250
46.0246,14.304,88.8,500
45.3249,13.4349,88.9,500
45.3215,13.4159,88.9,500
46.3116,15.0421,88.9,500
46.2628,16.0911,88.9,300
45.5336,15.001,88.9,300
46.024,14.0229,88.9,200
46.2212,15.0932,88.9,100
46.2023,14.1952,89,1000
45.3146,15.1703,89,500
46.0939,15.0235,89,200
45.4644,14.1348,89.1,500
46.1932,15.0333,89.1,200
46.2058,15.2512,89.1,160
46.2057,13.4054,89.1,100
45.334,13.5008,89.3,6000
46.0246,14.304,89.3,1000
45.5843,15.294,89.3,200
45.4131,14.2759,89.3,40
46.1312,13.5925,89.3,40
46.0058,13.4654,89.3,20
46.1724,15.3228,89.4,500
45.4125,14.363,89.4,100
45.3146,15.1703,89.5,500
46.2351,14.0653,89.5,500
45.5054,13.5504,89.5,200
45.3159,14.4146,89.5,200
46.3827,15.1528,89.5,200
45.3017,13.3633,89.5,100
45.3141,14.0855,89.5,100
45.5336,15.001,89.5,100
46.0557,15.3202,89.6,100
46.235,15.185,89.6,100
46.0643,13.5907,89.6,40
45.3556,14.0846,89.7,300
46.0432,14.4652,89.7,300
46.0907,15.1345,89.7,200
46.1909,15.4407,89.8,1000
46.0434,14.0451,89.8,500
45.3159,13.4002,89.8,500
45.4659,14.4021,89.8,300
46.213,13.2836,89.8,200
46.0939,15.0235,89.8,200
45.5444,13.4732,89.8,50
46.2606,14.034,89.8,50
46.2906,14.5749,90,10000
46.3046,16.1131,90,5000
46.2033,14.1701,90,400
46.024,14.0229,90,200
45.3249,13.4349,90,150
46.2351,14.0653,90,100
46.0834,13.5153,90,100
46.2441,16.0935,90,100
45.5808,13.3944,90.1,1000
45.5828,14.1434,90.2,1000
45.56,14.281,90.2,500
46.341,15.3841,90.2,500
45.384,13.54,90.3,300
46.2337,14.2749,90.3,50
46.1721,15.3558,90.4,2000
45.3249,13.4349,90.5,1000
45.56,14.281,90.6,1000
45.5544,13.3911,90.6,200
46.1703,14.562,90.6,200
46.1144,13.3711,90.8,5000
45.3159,13.4002,90.8,500
46.2023,14.1952,90.8,400
46.3201,15.4021,90.8,400
45.5444,13.4732,90.8,100
46.0643,13.5907,90.8,40
46.0046,14.0047,90.8,40
45.4536,15.1901,90.9,10000
45.3159,14.4146,90.9,200
46.1356,14.5711,90.9,50
45.334,13.5008,91,5000
46.1015,14.154,91.1,500
46.1435,15.1616,91.1,500
45.5442,14.1253,91.1,300
45.5054,13.5504,91.2,300
46.1032,13.4546,91.2,300
45.334,13.5008,91.2,200
46.125,13.582,91.2,20
45.5808,14.2534,91.4,200
46.0307,14.4944,91.5,500
45.5103,14.3523,91.5,500
45.3249,14.5755,91.5,300
45.5454,14.0316,91.5,100
46.241,14.1652,91.5,100
46.2529,14.0241,91.5,50
46.241,14.1652,91.5,50
46.215,15.0802,91.6,300
46.213,13.2836,91.6,200
45.3215,13.4159,91.7,1000
46.1752,14.32,91.8,100000
45.5054,13.5504,91.8,300
46.4108,16.1026,91.8,200
45.3233,13.5408,91.8,50
45.3115,13.3431,92,5000
46.2529,14.0241,92.1,100
45.3249,13.4349,92.2,1000
46.2057,13.4054,92.2,100
45.3145,14.1804,92.3,300
46.2424,15.5147,92.3,300
45.5054,13.5504,92.3,200
46.2906,14.5749,92.4,10000
46.2033,14.1701,92.4,400
46.0534,13.5938,92.4,200
46.2351,14.0653,92.4,100
45.4131,14.2759,92.4,40
46.0046,14.0047,92.4,40
46.2037,13.3031,92.5,100
46.0643,13.5907,92.5,40
46.0246,14.304,92.6,1000
45.3249,14.5755,92.6,200
45.3001,13.354,92.6,200
46.155,13.5028,92.6,100
45.5128,13.4212,92.7,5000
46.0153,15.4133,92.7,500
45.5155,13.4345,92.7,300
46.331,16.2558,92.7,200
