,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-7.904166666666665,160.12500000000003,88.0,0
1,-7.758333333333331,159.95555555555558,88.1,0
2,-5.886111111111111,158.43750000000003,89.5,0
3,-6.68472222222222,159.81666666666666,89.5,0
4,-7.743055555555555,160.18194444444447,89.9,100
5,-6.469444444444448,159.5944444444445,91.1,0
6,-6.663888888888888,159.50694444444446,91.1,0
7,-6.670833333333335,159.5583333333333,92.5,0
8,-6.833333333333333,159.8594444444444,92.5,0
9,-6.719444444444445,159.66527777777776,94.3,0
10,-6.329166666666667,158.9388888888889,94.3,0
15,-7.758333333333331,159.95555555555558,96.3,1000
16,-6.428888888888888,156.83527777777778,96.3,500
17,-7.758333333333331,159.95555555555558,97.7,0
18,-7.758333333333331,159.95555555555558,99.5,0
19,-7.758333333333331,159.95555555555558,101.7,0
20,-7.758333333333331,159.95555555555558,105.9,0
21,-7.758333333333331,159.95555555555558,107.0,0
