,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
1,3.1277777777777773,43.65,87.5,0
2,2.7786111111111116,45.511111111111106,87.5,0
3,2.0277777777777772,45.31111111111111,87.5,0
4,11.299166666666668,49.174722222222215,87.6,10000
5,10.568333333333333,49.03750000000001,87.6,1000
6,3.114722222222223,43.65,87.7,2000
8,6.137222222222223,46.62638888888889,87.7,0
9,5.538333333333332,46.38583333333333,87.7,0
10,6.750000000000001,47.416666666666664,87.7,0
11,2.7786111111111116,45.511111111111106,87.7,0
12,0.43333333333333335,41.611111111111114,87.7,0
13,6.750000000000001,47.416666666666664,87.8,0
14,0.4666666666666667,42.79444444444444,88.0,1000
15,6.137222222222223,46.62638888888889,88.0,100
16,6.245833333333333,46.22222222222222,88.0,0
17,7.640555555555555,47.828055555555565,88.0,0
18,8.4,48.511111111111106,88.0,0
19,9.572222222222223,44.0611111111111,88.0,0
20,0.36666666666666664,42.53333333333333,88.0,0
21,2.0277777777777772,45.31111111111111,88.0,0
22,2.7786111111111116,45.511111111111106,88.2,1000
23,6.750000000000001,47.416666666666664,88.2,500
24,3.114722222222223,43.65,88.2,0
25,11.299166666666668,49.174722222222215,88.2,0
27,4.741666666666665,45.205833333333345,88.4,500
28,6.245833333333333,46.22222222222222,88.5,0
29,3.114722222222223,43.65,88.5,0
30,6.137222222222223,46.62638888888889,88.5,0
31,5.538333333333332,46.38583333333333,88.5,0
32,5.538333333333332,46.38583333333333,88.5,0
33,5.31111111111111,45.91111111111111,88.5,0
34,2.0277777777777772,45.31111111111111,88.5,0
35,9.572222222222223,44.0611111111111,88.6,0
36,2.7786111111111116,45.511111111111106,88.6,0
37,9.500000000000002,49.09444444444444,88.7,190
38,5.538333333333332,46.38583333333333,88.8,1000
39,2.0277777777777772,45.31111111111111,88.8,1000
40,3.114722222222223,43.65,88.8,0
41,2.333333333333334,42.286111111111104,88.8,0
42,11.299166666666668,49.174722222222215,88.8,0
43,8.230277777777777,46.33361111111111,88.8,0
44,9.525277777777779,45.5186111111111,88.8,0
45,3.8611111111111107,45.58333333333334,88.8,0
46,4.160833333333333,42.07750000000001,88.8,0
47,6.750000000000001,47.416666666666664,88.8,0
48,3.3866666666666663,45.59583333333334,88.8,0
49,1.7277777777777776,44.75000000000001,88.8,0
50,2.0277777777777772,45.31111111111111,88.8,0
51,4.741666666666665,45.205833333333345,89.0,0
52,9.93861111111111,43.18416666666667,89.0,0
53,11.299166666666668,49.174722222222215,89.0,0
54,4.160833333333333,42.07750000000001,89.0,0
55,3.3291666666666666,42.22027777777779,89.0,0
56,0.35805555555555557,42.54527777777778,89.0,0
57,0.36666666666666664,42.53333333333333,89.0,0
58,2.0277777777777772,45.31111111111111,89.1,1000
59,6.750000000000001,47.416666666666664,89.1,0
60,6.137222222222223,46.62638888888889,89.2,0
61,8.4,48.511111111111106,89.2,0
62,8.4,48.511111111111106,89.2,0
63,6.750000000000001,47.416666666666664,89.5,500
64,6.245833333333333,46.22222222222222,89.5,0
65,3.114722222222223,43.65,89.5,0
66,4.741666666666665,45.205833333333345,89.5,0
67,0.41027777777777785,41.00888888888889,89.5,0
68,8.4,48.511111111111106,89.5,0
69,5.31111111111111,45.91111111111111,89.5,0
70,0.36666666666666664,42.53333333333333,89.5,0
72,2.0277777777777772,45.31111111111111,89.5,0
73,2.616666666666667,44.89166666666667,89.5,0
74,2.616666666666667,44.91111111111111,89.5,0
75,2.7786111111111116,45.511111111111106,89.6,0
