Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
41.3615,1.473,50.073,0
42.1345,-8.4229,50.409,10
40.1115,-3.523,50.416,50
43.2845,-5.5729,50.445,5
36.3615,-4.373,50.474,15
37.5511,-4.4921,50.477,0
40.2707,-3.414,87.5,15000
43.1553,-2.5523,87.5,1000
42.1857,-8.4215,87.5,1000
39.2527,-0.2918,87.5,1000
38.1604,-0.4221,87.5,500
41.2321,1.3412,87.5,500
36.47,-6.21,87.5,300
38.2054,-0.2846,87.5,100
40.5558,-5.4001,87.5,100
37.38,-0.58,87.5,100
43.26,-3.3624,87.5,100
37.59,-1.08,87.5,100
40.2058,0.214,87.5,100
43.0527,-3.1323,87.5,100
42.49,-4.5,87.5,100
40.45,-2.52,87.5,0
42.16,2.56,87.5,0
42.4906,-1.3839,87.5,0
40.37,0.35,87.5,0
41.28,2.12,87.5,0
39.51,-1.17,87.5,0
39.4024,-3.0045,87.5,0
39.4411,2.4301,87.6,10000
42.0839,-1.5819,87.6,10000
38.5456,1.1638,87.6,10000
43.1754,-2.0401,87.6,8000
42.1945,-3.4249,87.6,6000
40.0134,-6.0446,87.6,6000
38.3144,-0.0546,87.6,5000
40.02,-0.04,87.6,4000
36.3159,-4.5023,87.6,4000
42.2312,-7.5232,87.6,4000
42.5046,-8.3354,87.6,4000
41.42,-0.5407,87.6,3000
38.4626,-4.52,87.6,2600
38.5444,-0.0832,87.6,2500
40.3924,-4.4322,87.6,2000
38.5144,-6.5628,87.6,2000
38.05,-1.48,87.6,2000
41.06,0.34,87.6,1200
38.39,-2.29,87.6,1000
40.585,-2.4031,87.6,1000
43.0357,-2.1215,87.6,1000
37.5638,-4.4911,87.6,1000
43.4259,-7.5344,87.6,1000
37.22,-1.52,87.6,1000
37.1136,-3.3517,87.6,1000
36.481,-4.1731,87.6,1000
40.2244,-3.473,87.6,1000
42.2512,3.0953,87.6,1000
42.2433,1.1238,87.6,1000
37.245,-6.04,87.6,1000
43.1443,-5.3343,87.6,750
40.55,-1.18,87.6,500
40.44,-4.16,87.6,500
41.4256,2.512,87.6,500
42.4258,-3.4459,87.6,500
41.3736,-4.4035,87.6,500
37.35,-6.45,87.6,400
41.21,1.1333,87.6,300
42.03,3.11,87.6,200
42.1821,2.2216,87.6,100
39.32,-0.19,87.6,50
36.53,-2.26,87.6,50
37.2,-6.03,87.6,50
42.02,2.49,87.6,50
39.5625,-4.0104,87.6,0
41.2502,2.0651,87.7,20000
43.2141,-8.2612,87.7,8000
43.1233,-6.3241,87.7,8000
40.5558,-5.4001,87.7,6000
36.3813,-6.0914,87.7,6000
43.225,-3.4645,87.7,6000
40.051,0.0155,87.7,5000
40.2548,-3.1953,87.7,4000
40.2707,-3.414,87.7,3000
42.28,-6.04,87.7,2000
43.0631,-9.0326,87.7,2000
37.27,-4.09,87.7,1200
42.1952,1.542,87.7,1200
43.181,-7.4159,87.7,1200
42.55,-6.13,87.7,1200
42.4137,0.5828,87.7,1000
36.43,-2.49,87.7,1000
43.2004,-3.0346,87.7,1000
39.2836,-0.1932,87.7,1000
36.4406,-3.4414,87.7,500
39.52,-0.27,87.7,500
40.2207,-3.4452,87.7,500
37.59,-0.41,87.7,500
42.1132,2.1017,87.7,400
41.13,1.32,87.7,200
43.0907,-2.2144,87.7,200
37.44,-0.56,87.7,150
38.55,-1.44,87.7,100
37.562,-1.0605,87.7,100
41.5643,-4.3135,87.7,100
42.54,-2.41,87.7,100
38.59,-0.3,87.7,100
38.03,-1.14,87.7,50
39.0305,-0.2929,87.7,50
39.2204,-3.2117,87.7,0
42.082,-0.243,87.7,0
40.2207,-3.4452,87.7,0
42.1949,-8.412,87.8,4000
41.39,-3.42,87.8,2000
41.5,3.02,87.8,2000
38.3823,-0.5105,87.8,2000
39.2255,-3.1129,87.8,1000
42.535,-2.1102,87.8,1000
42.015,-5.4046,87.8,1000
43.19,-2.41,87.8,1000
42.36,-5.34,87.8,1000
36.3622,-4.3543,87.8,1000
42.2824,-7.3008,87.8,1000
40.4,0.33,87.8,500
40.27,0.24,87.8,500
38.43,0.09,87.8,500
43.0243,-3.3149,87.8,500
42.15,3.01,87.8,500
41.22,-4.32,87.8,500
40.1822,-4.0031,87.8,500
38.24,-0.26,87.8,500
,,87.8,500
37.23,-6.04,87.8,150
37.4042,-1.4214,87.8,100
36.44,-3.53,87.8,50
37.25,-6.06,87.8,50
37.26,-6.02,87.8,50
39.4411,2.4301,87.9,100000
41.4,0.31,87.9,80000
37.4402,-3.3137,87.9,60000
43.293,-5.5632,87.9,10000
42.4355,-1.4232,87.9,6000
41.4909,2.1155,87.9,5000
38.5146,-6.254,87.9,5000
39.2527,-0.2918,87.9,2500
37.08,-5.26,87.9,2000
42.3211,-6.3644,87.9,2000
39.3752,-1.0751,87.9,2000
40.25,-4.3,87.9,1000
43.1433,-3.244,87.9,1000
40.2207,-3.4452,87.9,1000
43.225,-3.4645,87.9,1000
40.4956,-3.3243,87.9,1000
43.17,-2.08,87.9,1000
41.461,-1.072,87.9,500
41.3,-2.34,87.9,500
37.02,-2.45,87.9,500
41.1,-1.06,87.9,500
43.07,-2.05,87.9,500
39.43,-2.13,87.9,500
41.01,-6.26,87.9,500
38.16,-0.44,87.9,200
37.5,-0.47,87.9,150
42.354,-2.4035,87.9,100
37.1442,-3.4106,87.9,0
42.0612,1.5039,87.9,0
41.3316,1.3442,87.9,0
41.42,-0.5407,87.9,0
37.1226,-7.0112,88,80000
41.1454,1.0325,88,40000
42.3756,-8.4158,88,30000
36.3622,-4.3543,88,30000
43.1322,-2.5652,88,24000
37.2911,-4.225,88,5000
41.5643,-4.3135,88,5000
40.051,0.0155,88,4000
43.2141,-8.2612,88,2000
38.2054,-0.2846,88,2000
40.02,0,88,2000
40.0135,-4.5127,88,2000
40,-2.58,88,1200
38.43,-0.29,88,1000
38.0728,-5.5149,88,1000
43.2402,-3.2458,88,1000
37.59,-1.08,88,1000
37.21,-5.52,88,1000
37.4,-2.04,88,1000
42.2422,-8.2715,88,500
38.43,0.09,88,500
41.0401,-4.3558,88,500
38.5444,-0.0832,88,250
41.3747,2.315,88,200
38.14,-1.26,88,100
38.3742,-0.3425,88,100
42.02,-3.46,88,100
43.1418,-1.4122,88,100
43.1929,-1.5921,88,100
42.56,-6.18,88,100
41.2951,1.5214,88,50
