Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
6.5344,79.5729,50.009,25
6.5907,80.4446,87.6,60000
6.56,79.52,87.8,25000
6.2309,80.3914,87.8,20000
6.503,80.5347,87.8,14000
7.1531,80.3745,87.8,2000
7.331,80.424,88.1,25000
6.2309,80.3914,88.1,18000
7.0514,80.122,88.1,15000
6.4815,81.01,88.1,0
9.3956,80.0021,88.2,0
6.2309,80.3914,88.3,25000
6.56,79.52,88.3,10000
7.1848,80.5027,88.3,1600
6.5912,80.4442,88.3,1000
7.0001,80.4625,88.6,30000
6.56,79.52,88.8,23000
6.2309,80.3914,88.8,12000
7.331,80.424,88.8,4000
7.1531,80.3745,88.8,1400
6.583,81.0445,89.1,2500
7.3527,80.4251,89.1,1600
6.5907,80.4446,89.1,1600
6.48,79.56,89.1,1600
7.1531,80.3745,89.1,1300
7.3527,80.4251,89.2,0
7.2023,80.1651,89.3,5000
6.2309,80.3914,89.3,2500
6.56,79.52,89.3,2000
6.4307,80.2512,89.3,600
7.3527,80.4251,89.5,0
7.3527,80.4251,89.6,65000
6.2312,80.3607,89.6,20000
6.5408,79.5203,89.6,10000
7.1848,80.5027,89.6,8000
6.575,80.4327,89.6,2000
7.0246,80.2407,89.8,70000
6.4737,81.0015,89.8,25000
9.161,80.2429,89.8,10000
6.35,79.58,89.8,0
6.4737,81.0015,90.1,14000
7.1531,80.3745,90.1,13000
7.0246,80.2407,90.1,6000
9.4856,80.0201,90.1,1600
6.5912,80.4442,90.4,35000
6.2309,80.3914,90.6,13000
6.49,79.523,90.6,8000
7.331,80.424,90.6,7000
6.4815,81.01,90.6,2800
9.3956,80.0021,90.6,2000
7.1531,80.3745,90.6,1400
7.331,80.424,90.9,45000
6.2309,80.3914,90.9,15000
6.5557,79.5039,90.9,12000
7.1848,80.5027,90.9,5400
6.583,81.0445,90.9,1300
6.5912,80.4442,91.1,42000
9.3956,80.0021,91.1,9000
7.0113,81.1027,91.1,8500
8.5855,79.545,91.1,1600
6.4307,80.2512,91.1,1200
8.3252,81.1439,91.1,1000
7.35,79.48,91.2,0
6.5333,79.5113,91.4,14000
7.1531,80.3745,91.4,7500
6.56,79.52,91.4,0
8.02,79.5,91.4,0
7.3527,80.4251,91.7,65000
6.2312,80.3607,91.7,40000
6.5408,79.5203,91.7,10000
7.1848,80.5027,91.7,8000
6.575,80.4327,91.7,2000
7.0246,80.2407,91.9,60000
6.4737,81.0015,91.9,25000
,,91.9,0
6.3518,80.06,92.2,6500
9.3956,80.0021,92.2,2800
6.4307,80.2512,92.2,450
7.2023,80.1651,92.2,0
7.331,80.424,92.4,8600
6.2309,80.3914,92.4,5400
6.4815,81.01,92.4,5400
6.56,79.52,92.4,5000
7.2903,80.2216,92.4,3200
7.1531,80.3745,92.4,1800
8.4535,80.3246,92.4,0
6.5513,79.5122,92.7,10000
7.331,80.424,92.7,4000
9.3956,80.0021,92.7,2600
6.4815,81.01,92.7,500
7.1531,80.3745,92.7,0
7.331,80.424,93,45000
6.5557,79.5039,93,12000
7.1848,80.5027,93,5400
6.5912,80.4442,93.2,42000
6.2309,80.3914,93.2,15000
9.3956,80.0021,93.2,9000
7.0246,80.2407,93.5,40000
7.1848,80.5027,93.5,7000
6.4815,81.01,93.5,5000
7.3527,80.4251,93.5,2000
6.56,79.52,93.6,0
6.5302,79.563,93.7,11000
9.161,80.2429,93.7,10000
9.3956,80.0021,93.7,6000
6.2312,80.3607,93.7,2000
6.56,79.52,94,45000
7.331,80.424,94,45000
6.5437,81.0628,94,45000
,,94,0
6.073,81.071,94.1,100
6.4815,81.01,94.1,0
7.3527,80.4251,94.3,65000
6.5408,79.5203,94.3,10000
7.1848,80.5027,94.3,8000
6.575,80.4327,94.3,2000
7.0246,80.2407,94.5,60000
6.4737,81.0015,94.5,21000
6.2312,80.3607,94.5,8000
7.1531,80.3745,94.8,0
7.28,80.4912,94.8,0
6.2309,80.3914,95,23000
6.5333,79.5113,95,14000
7.0514,80.122,95,0
6.4815,81.01,95,0
6.56,79.52,95.3,12000
7.331,80.424,95.3,10000
6.2309,80.3914,95.3,10000
9.3956,80.0021,95.3,10000
7.1531,80.3745,95.3,800
7.282,81.01,95.4,0
7.3527,80.4251,95.6,40000
6.2309,80.3914,95.6,30000
6.56,79.52,95.6,28000
7.35,79.48,95.6,0
6.5907,80.4446,95.8,65000
7.282,81.01,95.8,0
6.35,79.58,95.8,0
7.331,80.424,96.1,45000
6.2309,80.3914,96.1,15000
7.1848,80.5027,96.1,7000
6.5912,80.4442,96.3,42000
6.5557,79.5039,96.3,12000
9.3956,80.0021,96.3,9000
