,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,47.12027777777778,-54.69861111111112,94.5,1500
1,46.78111111111112,-54.498611111111096,94.9,200
2,47.01944444444445,-54.69111111111111,95.9,500
3,46.79750000000001,-54.479166666666664,96.9,2000
4,46.78111111111112,-54.498611111111096,97.9,200
5,47.10527777777779,-54.720555555555556,98.5,250
6,47.01944444444445,-54.69111111111111,98.9,500
7,46.79750000000001,-54.479166666666664,99.9,2000
8,46.775000000000006,-54.486111111111114,102.1,1000
9,46.77999999999999,-54.495277777777765,103.3,1000
