,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,11.091666666666672,30.56388888888889,88.0,300
1,15.633611111111112,32.52194444444444,88.3,0
2,15.583333333333334,32.516666666666666,88.6,0
3,15.6,32.5111111111111,89.0,5000
4,15.6,32.5111111111111,89.5,1000
5,15.588611111111113,32.44722222222222,90.0,100000
6,10.559166666666664,34.285833333333336,90.9,4000
7,13.166666666666666,30.2,91.0,0
8,15.6,32.5111111111111,91.0,0
9,19.6,37.21666666666668,91.0,0
10,19.6,37.21666666666668,91.4,1000
11,14.407222222222222,33.5036111111111,91.5,0
12,15.6,32.5111111111111,91.6,5000
13,15.6,32.5111111111111,92.0,1000
14,15.6,32.5111111111111,92.3,0
15,15.633611111111112,32.52194444444444,92.6,0
16,15.6,32.5111111111111,93.0,0
17,15.65,32.483333333333334,93.0,0
18,13.416666666666666,34.63333333333335,93.3,1000
19,15.583333333333334,32.516666666666666,93.3,0
20,15.633611111111112,32.52194444444444,94.0,10000
21,10.559166666666664,34.285833333333336,94.1,4000
22,13.416666666666666,34.63333333333335,94.6,1000
23,15.588611111111113,32.44722222222222,95.0,100000
24,13.416666666666666,34.63333333333335,95.0,1000
25,15.6,32.5111111111111,96.0,1000
26,19.6,37.21666666666668,96.0,1000
27,14.407222222222222,33.5036111111111,96.0,1000
28,15.633611111111112,32.52194444444444,96.3,0
29,15.6,32.5111111111111,96.6,10000
30,15.588611111111113,32.44722222222222,97.0,100000
31,15.633611111111112,32.52194444444444,97.0,0
32,10.559166666666664,34.285833333333336,97.4,4000
33,15.6,32.5111111111111,97.5,1000
34,14.03888888888889,35.3775,98.0,100000
35,13.166666666666666,30.2,98.0,100000
36,19.175000000000004,30.472222222222218,98.0,100000
37,11.016666666666667,29.716666666666665,98.0,100000
38,15.4,36.416666666666664,98.0,100000
39,15.588611111111113,32.44722222222222,98.0,100000
40,13.55,33.583333333333336,98.0,100000
41,12.016666666666667,24.9,98.0,50000
42,15.6,32.5111111111111,98.3,0
43,15.6,32.5111111111111,99.0,0
44,10.559166666666664,34.285833333333336,99.0,0
45,15.6,32.5111111111111,99.3,300
46,15.588611111111113,32.44722222222222,99.6,100000
47,12.727222222222219,34.1225,99.6,1000
48,15.588611111111113,32.44722222222222,100.0,100000
49,13.416666666666666,34.63333333333335,100.0,1000
50,10.559166666666664,34.285833333333336,100.9,4000
51,15.6,32.5111111111111,101.0,0
52,15.633611111111112,32.52194444444444,101.3,1000
53,12.727222222222219,34.1225,101.5,1000
54,13.416666666666666,34.63333333333335,102.0,1000
55,15.583333333333334,32.516666666666666,102.0,0
56,9.596388888888887,28.435,102.3,0
57,15.583333333333334,32.516666666666666,102.3,0
58,15.6,32.5111111111111,102.6,0
59,15.6,32.5111111111111,103.0,0
60,17.700000000000006,33.98333333333335,104.0,0
61,15.6,32.5111111111111,104.0,0
62,10.559166666666664,34.285833333333336,104.5,4000
63,15.6,32.5111111111111,104.6,0
64,15.588611111111113,32.44722222222222,105.0,100000
65,19.6,37.21666666666668,105.0,100000
66,13.416666666666666,34.63333333333335,105.0,1000
67,15.583333333333334,32.516666666666666,105.0,0
68,15.633611111111112,32.52194444444444,105.3,0
69,15.583333333333334,32.516666666666666,106.0,0
70,12.727222222222219,34.1225,106.3,1000
71,15.633611111111112,32.52194444444444,106.6,10000
72,15.588611111111113,32.44722222222222,107.0,100000
73,11.233333333333333,30.533333333333335,107.9,300
