Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
34.27,40.56,87.5,0
35.31,35.47,87.7,0
32.4031,36.4038,87.8,280000
34.5707,36.0604,87.9,5000
,,87.9,0
34.5,37.07,88,100000
34.45,36.19,88,0
35.3602,36.1315,88.6,150000
33.3158,36.1623,88.7,50000
34.53,35.53,88.8,10000
34.04,36.44,88.9,50000
37.035,42.0935,88.9,10000
34.5721,40.3107,88.9,1000
34.5536,36.16,89,151000
32.4031,36.4038,89.1,10000
33.5148,36.4154,89.1,0
36.5135,38.2156,89.4,151000
37.0331,42.1103,89.4,5000
34.27,40.55,89.5,151000
35.32,35.48,89.6,150000
33.3158,36.1623,89.6,25000
34.5,37.07,89.6,10000
35.08,36.45,89.6,1000
36.1152,37.0753,89.6,0
34.3339,38.1506,89.7,200000
37.0331,42.1103,89.7,0
35.56,36.38,89.8,0
33.5148,36.4154,89.9,200000
36.321,40.5129,89.9,104000
36.14,37.09,89.9,10000
33.5705,36.3929,89.9,0
34.5536,36.16,90,150000
35.3656,36.325,90,1000
33.3158,36.1623,90,0
32.42,36.34,90.2,0
36.3446,36.3719,90.3,20000
36.12,37.08,90.3,0
35.56,36.38,90.3,0
33.4537,36.1016,90.8,95000
33.4537,36.1016,90.8,95000
37.03,41.13,90.8,5000
35.2448,40.0143,90.9,0
33.3,36.18,91.1,5000
36.2541,40.1809,91.2,10000
33.3158,36.1623,91.3,0
35.57,39.01,91.4,0
36.5135,38.2156,91.5,151000
33.3,36.18,91.5,0
35.3602,36.1315,91.7,151000
34.04,36.44,92,50000
33.3158,36.1623,92,25000
33.4537,36.1016,92,0
37.0331,42.1103,92.1,5000
34.5536,36.16,92.2,151000
36.3908,39.4507,92.2,1000
36.3509,37.024,92.2,0
33.3158,36.1623,92.3,25000
36.032,37.1018,92.3,11500
,,92.3,2500
34.54,36.42,92.3,0
34.55,35.54,92.3,0
35.1713,36.4337,92.5,3000
,,92.5,300
34.27,40.55,92.6,151000
,,92.6,0
32.4031,36.4038,92.7,151000
34.3339,38.1506,92.8,200000
36.2221,37.3104,92.8,0
37.03,41.13,92.8,0
33.5148,36.4154,93,200000
34.5536,36.16,93,151000
36.321,40.5129,93,100000
35.5,38.32,93.1,0
,,93.1,0
34.54,36.42,93.3,10000
35.56,36.38,93.3,2500
36.12,37.09,93.3,0
34.45,36.19,93.3,0
32.4031,36.4038,93.5,282000
33.3158,36.1623,93.6,25000
35.3602,36.1315,93.8,5000
34.5707,36.0604,94,105000
36.3446,36.3719,94,5000
32.4031,36.4038,94.1,280000
35.2448,40.0143,94.1,0
35.56,36.38,94.2,0
35.31,35.47,94.2,0
34.54,36.42,94.3,10000
33.31,36.15,94.4,0
36.2541,40.1809,94.4,0
37.03,41.13,94.6,2500
35.08,36.45,94.6,0
34.5,37.07,94.6,0
35.56,36.38,94.6,0
36.5135,38.2156,94.7,151000
33.3158,36.1623,94.7,25000
35.3602,36.1315,94.9,151000
36.321,40.5129,95,104000
33.3158,36.1623,95,25000
35.57,39.01,95,0
34.5122,36.231,95.2,54000
34.04,36.44,95.2,50000
34.3339,38.1506,95.3,200000
33.4537,36.1016,95.5,95000
33.3158,36.1623,95.5,50000
34.55,35.54,95.5,10000
,,95.5,1000
36.14,37.09,95.5,0
37.03,41.13,95.5,0
,,95.5,0
36.3446,36.3719,95.7,95000
34.27,40.55,95.8,151000
36.1151,37.08,95.8,0
36.3525,36.5719,95.9,1600
34.3339,38.1506,96,200000
36.14,37.09,96.1,50000
33.5148,36.4154,96.2,200000
35.31,35.47,96.3,0
35.2448,40.0143,96.5,105000
34.5122,36.231,96.5,24000
36.321,40.5129,96.5,5000
33.2301,36.1129,96.5,0
36.3446,36.3719,96.6,20000
36.3446,36.3719,96.6,2000
34.27,40.54,96.6,2000
36.1152,37.0753,96.6,2000
35.56,36.39,96.6,2000
36.2,37.3,96.6,0
33.4537,36.1016,96.7,0
35.2448,40.0143,96.8,0
33.2301,36.1129,96.9,2500
36.3525,36.5719,96.9,0
35.57,39.01,96.9,0
36.12,37.1,97,1000
35.57,39.01,97,0
33.3158,36.1623,97.3,25000
36.12,37.1,97.3,0
,,97.4,20000
34.55,35.54,97.4,10000
35.0004,36.4854,97.6,2500
34.54,36.42,97.6,0
36.032,37.1018,97.9,25000
33.3158,36.1623,97.9,25000
,,97.9,0
36.5135,38.2156,98,151000
34.54,36.42,98,0
35.31,35.47,98.2,20000
32.4031,36.4038,98.2,0
32.38,36.06,98.2,0
35.56,36.38,98.2,0
33.08,35.49,98.2,0
33.3158,36.1623,98.3,20000
36.12,37.1,98.3,2000
35.2448,40.0143,98.3,0
34.04,36.44,98.5,10000
34.5,37.07,98.5,0
36.14,37.09,98.7,0
34.5536,36.16,98.8,151000
36.321,40.5129,98.8,104000
33.3158,36.1623,98.8,5000
36.3446,36.3719,98.9,95000
37.0331,42.1103,99,5000
35.57,39.01,99,0
34.27,40.55,99.1,151000
33.3,36.18,99.1,0
,,99.1,0
32.38,36.06,99.2,0
34.3339,38.1506,99.3,200000
36.14,37.09,99.4,50000
36.1152,37.0753,99.4,1000
32.4031,36.4038,99.4,0
32.38,36.06,99.4,0
33.5148,36.4154,99.5,200000
36.321,40.5129,99.5,100000
37.0331,42.1103,99.5,500
37.061,40.555,99.5,500
36.5135,38.2156,99.5,500
37.03,41.13,99.5,500
33.5,36.34,99.5,500
35.57,39.01,99.5,0
35.1421,36.0806,99.6,11000
36.321,40.5129,99.6,0
37.03,41.13,99.6,0
36.184,36.4111,99.7,0
34.5707,36.0604,99.8,105000
33.3158,36.1623,99.8,20000
36.032,37.1018,99.9,25000
33.3158,36.1623,99.9,25000
36.321,40.5129,99.9,1000
35.57,39.01,99.9,800
35.31,35.47,99.9,0
35.57,39.01,99.9,0
33.4537,36.1016,100.2,95000
34.55,35.54,100.3,10000
37.0331,42.1103,100.4,5000
34.5707,36.0604,100.5,105000
35.3602,36.1315,100.5,100000
33.3158,36.1623,100.5,0
,,100.5,0
,,100.5,0
35.3602,36.1315,100.8,5000
33.4537,36.1016,100.9,5000
33.3158,36.1623,101.1,115000
35.1421,36.0806,101.1,5000
34.53,35.53,101.1,1000
36.321,40.5129,101.2,104000
,,101.2,2500
,,101.2,1000
36.3525,36.5719,101.3,1600
36.5135,38.2156,101.5,151000
33.3158,36.1623,101.5,115000
36.321,40.5129,101.5,10000
35.2448,40.0143,101.5,10000
36.1152,37.0753,101.5,5000
35.32,35.48,101.5,2000
37.03,41.13,101.5,0
34.54,36.42,101.6,10000
35.08,36.45,101.6,1000
35.1421,36.0806,101.8,54000
35.3602,36.1315,102,105000
33.5148,36.4154,102,10000
34.5536,36.16,102,5000
33.3,36.18,102,0
35.2448,40.0143,102,0
35.57,39.01,102,0
36.1252,37.062,102.3,25000
33.3158,36.1623,102.3,25000
36.032,37.1018,102.3,0
34.27,40.55,102.6,151000
36.12,37.09,102.6,5000
34.3339,38.1506,102.8,200000
32.38,36.06,102.8,0
33.5148,36.4154,103,200000
33.4428,36.385,103,10000
37.0611,40.5609,103,0
35.32,35.48,103,0
32.4031,36.4038,103.1,0
33.3158,36.1623,103.2,115000
35.3602,36.1315,103.2,105000
36.032,37.1018,103.2,10000
36.3446,36.3719,103.2,0
34.5536,36.16,103.3,80000
35.3602,36.1315,103.3,25000
33.3158,36.1623,103.8,25000
33.1408,35.5514,103.8,0
35.31,35.47,103.8,0
34.53,35.53,103.8,0
33.4537,36.1016,103.9,95000
33.3047,36.1731,103.9,0
34.5707,36.0604,104,105000
37.061,40.555,104,1000
36.1252,37.062,104.2,25000
33.3,36.18,104.2,25000
36.5135,38.2156,104.3,3000
34.5536,36.16,104.4,80000
35.2448,40.0143,104.4,0
33.4537,36.1016,104.6,95000
35.56,36.38,104.7,0
37.0133,41.3308,104.8,0
33.3158,36.1623,105,25000
36.321,40.5129,105,0
35.2448,40.0143,105,0
36.5135,38.2156,105.1,151000
35.3602,36.1315,105.3,0
33.3,36.18,105.4,0
34.04,36.44,105.6,10000
36.1252,37.062,105.7,25000
33.3158,36.1623,105.7,25000
36.3446,36.3719,105.7,0
32.4031,36.4038,105.8,5000
37.03,41.13,106,0
34.27,40.55,106.2,151000
34.5536,36.16,106.2,1000
33.2301,36.1129,106.2,0
34.3339,38.1506,106.4,200000
36.1252,37.062,106.5,0
36.2541,40.1809,106.5,0
,,106.5,0
33.5148,36.4154,106.6,200000
33.3158,36.1623,106.9,115000
35.3602,36.1315,106.9,105000
34.5536,36.16,106.9,45000
35.1421,36.0806,107.4,54000
33.3158,36.1623,107.7,115000
34.54,36.42,107.7,10000
36.3139,37.5719,107.7,0
36.2541,40.1809,108,3000
