Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
37.3922,69.0854,66.32,4000
37.3922,69.0854,67.88,4000
40.16,69.37,69.8,20000
38.3419,68.4808,70.64,60000
38.3419,68.4808,72.2,60000
40.16,69.37,72.56,20000
40.16,69.37,87.7,1000
40.16,69.37,88.8,1000
38.4,68.4,89.9,1000
39.5458,68.5943,90.5,1000
38.4,68.4,91.1,1000
39.5458,68.5943,92.2,1000
39.005,71.3013,92.5,1000
40.1406,69.4209,93.3,1000
40.42,70.2,93.9,250
38.4,68.4,94.4,1000
40.16,69.37,95.5,2000
38.4,68.4,95.5,1000
40.0718,70.3657,95.5,1000
40.16,69.37,97.7,1000
39.5458,68.5943,98.1,1000
38.4,68.4,100,1000
39.005,71.3013,100.1,1000
40.16,69.37,100.2,20000
38.4,68.4,100.3,1000
37.1426,69.0617,100.3,1000
37.2,68.44,100.4,20000
40.16,69.37,100.6,1000
38.4,68.4,101.1,1000
40.16,69.37,101.1,1000
37.3922,69.0854,101.3,1000
39,71.09,101.4,20000
39.005,71.3013,101.4,1000
39.005,71.3013,101.4,1000
38.4,68.4,101.5,1000
39.294,67.3614,101.5,1000
37.55,69.46,101.5,200
39.2634,67.5011,101.6,20000
39.005,71.3013,101.8,1000
37.3922,69.0854,101.9,5000
37.29,71.32,102,20000
38.3419,68.4808,102.2,20000
37.3922,69.0854,102.4,1000
40.16,69.37,102.7,20000
37.29,71.32,103,4000
38.4,68.4,103,1000
40.16,69.37,103,1000
37,68.03,103.1,20000
39.005,71.3013,103.1,1000
40.16,69.37,103.3,1000
38.4,68.4,103.6,1000
38.4,68.4,103.7,1000
40.16,69.37,103.7,250
40.42,70.2,103.9,250
37.29,71.32,104,4000
38.4,68.4,104,1000
39.5458,68.5943,104.2,1000
37.3922,69.0854,104.4,5000
40.0718,70.3657,104.4,1000
40.16,69.37,104.4,1000
39.005,71.3013,104.4,1000
37.29,71.32,104.5,20000
38.3419,68.4808,104.7,20000
37.29,71.32,105,1000
38.3419,68.4808,105.5,4000
40.42,70.2,105.5,1000
39.005,71.3013,105.6,1000
37.3922,69.0854,105.7,5000
40.16,69.37,105.7,1000
40.0718,70.3657,105.9,1000
38.4,68.4,106,1000
40.16,69.37,106.1,20000
39.5458,68.5943,106.1,1000
38.3419,68.4808,106.5,20000
40.16,69.37,106.7,250
38.3039,68.1349,106.8,1000
37.3922,69.0854,107,1000
38.4,68.4,107,1000
40.16,69.37,107.1,1000
37.3922,69.0854,107.4,1000
38.4,68.4,107.4,1000
37.55,69.46,107.4,1000
40.42,70.2,107.5,20000
40.131,69.4348,107.5,1000
40.16,69.37,107.5,1000
37,68.03,107.8,20000
