,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-6.904444444444445,39.08000000000001,87.5,5000
1,-3.927777777777777,32.766666666666666,87.5,1000
2,-6.905555555555555,37.67305555555554,87.5,1000
3,-3.3000000000000003,37.37777777777777,87.5,1000
4,-6.155555555555555,39.230555555555554,87.5,1000
5,-3.869444444444444,35.49250000000001,87.5,0
6,-6.211666666666667,35.74777777777778,87.7,1000
7,-6.250000000000001,31.0,87.7,1000
8,-4.898888888888887,29.614722222222227,87.7,0
9,-8.877777777777776,33.444444444444436,87.8,1000
10,-10.950000000000001,39.2636111111111,87.8,1000
11,-3.3900000000000006,36.69972222222222,87.9,1000
12,-6.905555555555555,37.67305555555554,87.9,1000
13,-3.3000000000000003,37.37777777777777,87.9,1000
14,-4.982222222222223,32.83555555555555,88.0,1000
15,-8.877777777777776,33.444444444444436,88.1,10000
16,-6.816666666666667,39.286111111111104,88.1,5000
17,-10.308333333333334,40.194444444444436,88.1,5000
18,-7.733333333333334,35.694444444444436,88.1,1000
19,-1.3444444444444443,34.39638888888888,88.1,1000
20,-9.996388888888887,39.71500000000001,88.1,0
21,-2.484722222222223,32.912499999999994,88.1,0
22,-3.6777777777777776,33.416666666666664,88.2,2000
23,-6.211666666666667,35.74777777777778,88.2,1000
24,-3.2119444444444443,37.42277777777778,88.2,1000
25,-4.848888888888889,34.838333333333345,88.3,1000
26,-6.905555555555555,37.67305555555554,88.3,0
27,-3.0,32.511111111111106,88.4,1000
28,-6.794444444444443,38.991666666666674,88.4,1000
29,-4.898888888888887,29.614722222222227,88.4,1000
30,-10.069444444444445,38.93277777777777,88.4,1000
31,-10.308333333333334,40.194444444444436,88.4,1000
32,-3.3900000000000006,36.69972222222222,88.5,2000
33,-6.816666666666667,39.286111111111104,88.5,1000
34,-7.775,35.697222222222216,88.5,1000
35,-7.966666666666667,31.611111111111107,88.5,1000
36,-4.982222222222223,32.83555555555555,88.5,1000
37,-5.066666666666666,39.11666666666667,88.5,1000
38,-1.3444444444444443,31.76055555555556,88.5,0
39,-10.744444444444444,38.8111111111111,88.5,0
40,-2.484722222222223,32.912499999999994,88.5,0
41,-6.211666666666667,35.74777777777778,88.6,1000
42,-2.484722222222223,32.912499999999994,88.7,10000
43,-6.905555555555555,37.67305555555554,88.7,1000
44,-8.854444444444443,33.420555555555545,88.8,1000
45,-6.816666666666667,39.286111111111104,88.9,1000
46,-6.794444444444443,38.991666666666674,88.9,1000
47,-9.955833333333334,39.67111111111112,88.9,1000
48,-5.066666666666666,39.11666666666667,88.9,1000
49,-6.155555555555555,39.230555555555554,88.9,1000
50,-3.0,32.511111111111106,88.9,0
51,-6.905555555555555,37.67305555555554,88.9,0
52,-3.3472222222222223,36.712500000000006,89.0,1000
53,-6.211666666666667,35.74777777777778,89.0,1000
54,-10.308333333333334,40.194444444444436,89.0,1000
55,-9.955833333333334,39.67111111111112,89.0,0
56,-4.982222222222223,32.83555555555555,89.0,0
57,-1.4938888888888893,33.80416666666665,89.1,1000
58,-10.725,35.685,89.1,1000
59,-7.966666666666667,31.611111111111107,89.1,1000
60,-9.344444444444441,34.75000000000001,89.1,0
61,-7.763611111111112,35.71694444444446,89.2,1000
62,-3.6777777777777776,33.416666666666664,89.2,1000
63,-2.484722222222223,32.912499999999994,89.2,0
64,-6.904444444444445,39.08000000000001,89.3,5000
65,-4.766666666666667,30.527777777777775,89.3,1000
66,-4.898888888888887,29.614722222222227,89.3,1000
67,-4.848888888888889,34.838333333333345,89.3,1000
68,-3.0,37.0,89.3,0
69,-1.3444444444444443,31.76055555555556,89.4,1000
70,-6.211666666666667,35.74777777777778,89.4,1000
71,-8.044444444444444,36.53333333333333,89.5,1000
72,-8.877777777777776,33.444444444444436,89.5,1000
73,-10.725,35.685,89.5,1000
