,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-6.883333333333333,125.55444444444444,88.2,0
1,-6.866666666666667,126.16666666666667,88.5,0
2,-6.8738888888888905,125.5694444444444,88.8,150
3,-7.311111111111113,125.21944444444445,88.9,500
4,-6.881111111111109,125.54138888888892,89.4,1000
5,-7.047222222222221,125.56666666666666,89.5,15
6,-7.311111111111113,125.5,89.5,15
7,-6.797222222222221,126.45555555555558,89.5,15
8,-7.5500000000000025,124.29722222222222,89.5,15
9,-6.846111111111111,126.99722222222222,89.5,15
10,-7.311111111111113,125.21944444444445,89.5,15
11,-6.833055555555559,126.01333333333332,89.5,15
12,-7.6416666666666675,125.25,89.5,15
13,-7.2,126.3652777777778,89.5,15
14,-7.166666666666667,125.6,89.7,0
15,-6.7841666666666685,125.57888888888886,90.0,0
16,-7.047222222222221,125.56666666666666,90.3,300
17,-6.887222222222221,125.5477777777778,90.6,0
18,-7.08333333333333,125.39722222222223,90.6,0
19,-7.311111111111113,125.5,90.9,300
20,-6.878055555555557,125.52694444444441,91.2,0
21,-6.870277777777781,125.62361111111112,91.7,4000
22,-7.311111111111113,125.21944444444445,91.7,500
23,-7.5500000000000025,124.29722222222222,92.1,300
24,-7.08333333333333,125.39722222222223,92.3,100
25,-6.987777777777776,125.18361111111112,92.3,100
26,-6.870555555555555,125.62361111111112,92.3,0
27,-6.870555555555555,125.62361111111112,92.9,0
28,-7.6416666666666675,125.25,93.3,300
29,-7.5500000000000025,124.29722222222222,93.3,100
30,-6.870555555555555,125.62361111111112,93.5,500
31,-6.833055555555559,126.01333333333332,93.8,0
32,-6.883333333333333,125.53333333333333,94.1,200
33,-6.797222222222221,126.45555555555558,94.1,0
34,-7.6416666666666675,125.25,94.5,100
35,-6.870277777777781,125.62361111111112,94.7,300
36,-7.2,126.3652777777778,94.8,0
37,-6.833055555555559,126.01333333333332,95.0,300
38,-7.32138888888889,125.65111111111113,95.1,100
39,-6.870277777777781,125.62361111111112,95.3,0
40,-6.8822222222222225,125.55250000000001,95.8,0
41,-6.797222222222221,126.45555555555558,96.0,0
42,-6.833055555555559,126.01333333333332,96.1,100
43,-7.5500000000000025,124.29722222222222,96.2,0
44,-7.08333333333333,125.39722222222223,96.4,0
45,-7.6416666666666675,125.25,96.5,0
46,-6.964166666666668,125.37555555555555,96.7,300
47,-6.846111111111111,126.99722222222222,96.8,500
48,-7.32138888888889,125.65111111111113,97.0,1000
49,-6.894166666666669,125.54555555555557,97.0,0
50,-7.047222222222221,125.56666666666666,97.1,100
51,-6.870277777777781,125.62361111111112,97.6,0
52,-7.2,126.3652777777778,97.7,800
53,-7.311111111111113,125.5,97.9,0
54,-6.987777777777776,125.18361111111112,97.9,0
55,-6.846111111111111,126.99722222222222,98.0,0
56,-7.311111111111113,125.5,98.1,100
57,-7.32138888888889,125.65111111111113,98.2,0
58,-6.9,125.56666666666666,98.5,1000
59,-7.2,126.3652777777778,98.9,300
60,-6.888055555555553,126.38555555555556,98.9,0
61,-6.6,125.6,99.0,0
62,-6.987777777777776,125.18361111111112,99.1,0
63,-6.883333333333333,125.56666666666666,99.5,400
64,-7.311111111111113,125.21944444444445,99.5,0
65,-6.797222222222221,126.45555555555558,99.6,100
66,-6.875833333333336,125.54694444444443,99.9,0
67,-6.873055555555554,125.5663888888889,100.5,100
68,-7.32138888888889,125.65111111111113,100.5,15
69,-6.846111111111111,126.99722222222222,100.9,300
70,-6.870555555555555,125.62361111111112,101.1,0
71,-6.886666666666666,125.53694444444442,102.0,0
72,-6.811111111111109,126.33333333333333,102.5,150
73,-6.870277777777781,125.62361111111112,103.1,0
74,-6.870277777777781,125.62361111111112,105.3,0
75,-6.797222222222221,126.45555555555558,105.4,1000
76,-6.870277777777781,125.62361111111112,106.4,0
77,-6.7841666666666685,126.45361111111109,107.9,100
