Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
,,50.276,0
10.4151,-61.3219,87.75,0
11.1041,-60.4336,89.5,0
10.1651,-61.273,90.1,0
10.4151,-61.3219,90.5,0
10.4151,-61.3219,91.1,20000
10.394,-61.313,91.5,0
10.4202,-61.3015,91.9,0
10.395,-61.2356,92.3,0
11.1151,-60.4306,92.7,0
11.1151,-60.4306,93.1,0
10.4151,-61.3219,93.5,10000
10.2335,-61.2144,93.5,1000
10.4028,-61.292,94.1,10000
11.1946,-60.3223,94.7,0
10.4151,-61.3219,94.7,0
11.1041,-60.4336,94.7,0
10.4151,-61.3219,95.1,100000
10.2335,-61.2144,95.5,0
10.4151,-61.3219,95.5,0
11.1151,-60.4306,95.5,0
10.4151,-61.3219,96.1,0
10.2335,-61.2144,96.7,0
10.4151,-61.3219,96.7,0
10.4151,-61.3219,97.1,10000
10.2335,-61.2144,97.5,0
10.4446,-61.335,97.5,0
11.1041,-60.4336,97.5,0
10.4151,-61.3219,98.1,0
11.1041,-60.4336,98.1,0
10.4151,-61.3219,98.7,0
11.1041,-60.4336,98.7,0
10.4151,-61.3219,99.1,20000
10.4151,-61.3219,99.5,0
10.19,-61.25,99.5,0
11.1151,-60.4306,99.5,0
10.4151,-61.3219,100.1,20000
10.4151,-61.3219,100.5,0
10.19,-61.25,101.7,0
10.2335,-61.2144,102.3,0
10.2335,-61.2144,102.7,0
10.2335,-61.2144,103.1,0
10.4151,-61.3219,103.5,0
10.4151,-61.3219,104.1,0
10.2335,-61.2144,104.7,0
10.4446,-61.335,104.7,0
11.1041,-60.4336,104.7,0
10.4151,-61.3219,105.1,2500
10.4151,-61.3219,105.5,0
10.2335,-61.2144,106.1,0
10.4151,-61.3219,106.5,10000
10.49,-60.57,106.7,0
11.1946,-60.3223,107.1,0
10.4438,-61.3048,107.1,0
11.1041,-60.4336,107.1,0
10.2335,-61.2144,107.7,10000
