,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,37.934444444444445,58.3625,66.26,17000
1,39.033333333333346,63.583333333333336,66.95,17000
2,37.8625,58.23777777777777,67.04,60000
3,40.00472222222223,52.972777777777786,67.19,17000
4,41.833333333333336,59.96666666666667,67.22,17000
5,39.033333333333346,63.583333333333336,68.77,17000
6,40.00472222222223,52.972777777777786,69.23,17000
7,41.833333333333336,59.96666666666667,69.32,17000
8,37.8625,58.23777777777777,69.68,60000
9,37.6525,62.2025,70.27,17000
10,39.514722222222225,54.367777777777775,70.28,17000
11,37.4,60.516666666666666,70.52,17000
12,39.670555555555566,54.548611111111114,70.61,17000
13,38.441666666666656,57.43333333333333,70.64,2000
14,37.934444444444445,58.3625,71.12,17000
15,39.514722222222225,54.367777777777775,72.02,17000
16,37.4,60.516666666666666,72.14,17000
17,39.670555555555566,54.548611111111114,72.2,17000
20,37.29777777777777,62.33500000000001,87.9,1000
21,36.59583333333334,62.51111111111113,88.1,1000
22,37.80833333333332,58.833333333333336,88.1,1000
23,41.083333333333336,61.86666666666667,88.4,300
24,36.95,62.45,88.5,1000
25,37.4,60.516666666666666,88.6,10000
26,37.80833333333332,58.833333333333336,88.8,1000
27,37.80833333333332,58.833333333333336,88.9,1000
28,40.06666666666667,62.38333333333333,89.2,160
29,37.6525,62.2025,89.5,50000
30,38.089722222222235,58.00333333333333,89.5,2500
31,37.33333333333334,59.516666666666666,89.6,1000
32,39.3,58.6,89.6,0
33,36.95,62.45,90.0,320
34,37.51194444444444,65.9713888888889,90.1,1000
35,37.918333333333344,58.08027777777777,90.3,4000
36,37.80833333333332,58.833333333333336,90.5,1000
37,36.95,62.45,90.5,320
38,41.606944444444444,59.90194444444444,90.8,500
39,39.77166666666666,62.52749999999998,90.8,160
40,36.59583333333334,62.51111111111113,90.9,1000
41,37.33333333333334,59.516666666666666,91.0,1000
42,36.95,62.45,91.0,1000
43,39.3,58.6,91.0,0
44,40.49166666666666,62.13055555555555,91.1,1000
45,39.41861111111112,53.09527777777776,91.2,0
46,39.233333333333334,55.5,91.4,1000
47,38.089722222222235,58.00333333333333,91.5,2500
48,37.51194444444444,65.9713888888889,91.5,1000
49,36.95,62.45,91.5,320
50,41.18222222222224,61.40166666666668,91.6,1000
51,40.06666666666667,62.38333333333333,91.6,160
52,38.166666666666664,64.55,91.8,5000
53,41.733333333333334,58.69055555555556,91.8,500
54,39.42194444444445,62.841111111111104,92.0,500
55,37.80833333333332,58.833333333333336,92.1,500
56,37.80833333333332,58.833333333333336,92.4,500
57,35.811111111111096,63.1,92.5,320
58,38.441666666666656,57.43333333333333,92.5,0
59,40.49166666666666,62.13055555555555,92.7,1000
60,37.33333333333334,59.516666666666666,92.8,1000
61,39.3,58.6,92.8,0
62,37.77666666666667,58.887222222222206,93.1,300
64,37.51194444444444,65.9713888888889,93.3,1000
65,39.233333333333334,55.5,93.4,1000
66,37.51194444444444,65.9713888888889,93.4,1000
67,39.41861111111112,53.09527777777776,93.5,0
68,38.089722222222235,58.00333333333333,94.1,2500
69,38.441666666666656,57.43333333333333,94.1,2000
70,35.811111111111096,63.1,94.1,1000
71,40.49166666666666,62.13055555555555,94.3,1000
72,37.80833333333332,58.833333333333336,94.6,1000
73,37.51194444444444,65.9713888888889,94.9,1000
74,37.77666666666667,58.887222222222206,95.1,300
75,39.41861111111112,53.09527777777776,95.2,1000
76,39.233333333333334,55.5,95.4,1000
77,38.484166666666674,56.980833333333315,95.5,1000
78,38.441666666666656,57.43333333333333,95.7,2000
79,35.811111111111096,63.1,95.7,1000
80,40.49166666666666,62.13055555555555,95.9,500
81,39.42194444444445,62.841111111111104,96.2,1000
82,36.59583333333334,62.51111111111113,96.3,1000
84,41.18222222222224,61.40166666666668,96.8,1000
85,38.089722222222235,58.00333333333333,97.3,0
86,39.233333333333334,55.5,97.4,1000
87,39.42194444444445,62.841111111111104,97.8,1000
88,35.811111111111096,63.1,97.9,1000
89,37.80833333333332,58.833333333333336,97.9,1000
90,38.441666666666656,57.43333333333333,97.9,0
91,37.80833333333332,58.833333333333336,98.1,1000
92,41.18222222222224,61.40166666666668,98.3,1000
93,37.918333333333344,58.08027777777777,98.5,1000
94,36.59583333333334,62.51111111111113,98.9,1000
95,37.80833333333332,58.833333333333336,99.1,1000
96,38.28027777777778,57.68861111111112,99.1,0
97,39.42194444444445,62.841111111111104,99.4,1000
98,37.80833333333332,58.833333333333336,99.6,1000
99,40.00472222222223,52.972777777777786,99.75,20000
100,41.18222222222224,61.40166666666668,99.8,1000
101,36.53166666666665,61.22333333333333,99.8,1000
102,38.484166666666674,56.980833333333315,99.8,0
103,38.13333333333333,57.916666666666664,100.1,20000
104,40.00472222222223,52.972777777777786,100.1,20000
105,41.833333333333336,59.96666666666667,100.1,4000
106,39.96416666666666,52.82027777777778,100.2,10000
107,37.86666666666668,65.24166666666667,100.3,20000
108,37.918333333333344,58.08027777777777,100.3,4000
109,37.33333333333334,59.516666666666666,100.3,320
110,39.670555555555566,54.548611111111114,100.3,320
111,37.74333333333335,66.07166666666664,100.4,20000
112,38.49444444444443,54.3763888888889,100.4,10000
113,35.27611111111111,62.35916666666667,100.4,5000
114,39.514722222222225,54.367777777777775,100.4,4000
115,38.277777777777764,56.28333333333333,100.4,320
116,39.033333333333346,63.583333333333336,100.5,20000
118,41.18222222222224,61.40166666666668,100.6,10000
119,40.00472222222223,52.972777777777786,100.7,20000
120,41.833333333333336,59.96666666666667,100.7,4000
121,38.28027777777778,57.68861111111112,100.7,1000
122,37.4,60.516666666666666,100.8,50000
123,35.959166666666675,62.92277777777778,100.8,10000
124,37.460833333333326,53.96972222222222,100.9,0
125,38.22500000000001,55.65,101.0,320
126,40.49166666666666,62.13055555555555,101.1,20000
127,37.8625,58.23777777777777,101.3,60000
128,37.86666666666668,65.24166666666667,101.3,1000
129,41.53944444444445,52.55833333333334,101.3,1000
130,41.888888888888886,58.81944444444446,101.5,1000
131,38.094444444444434,55.333333333333336,101.6,320
132,40.00472222222223,52.972777777777786,101.7,20000
133,37.4,60.516666666666666,101.7,10000
134,35.27611111111111,62.35916666666667,101.7,5000
135,37.80833333333332,58.833333333333336,101.7,1000
136,38.47777777777778,64.15583333333333,101.8,20000
137,36.59583333333334,62.51111111111113,101.9,20000
138,39.514722222222225,54.367777777777775,101.9,4000
139,37.6636111111111,54.76444444444443,101.9,320
140,41.53944444444445,52.55833333333334,102.0,1000
141,38.22500000000001,55.65,102.0,320
142,38.04166666666667,64.53055555555555,102.3,20000
143,37.918333333333344,58.08027777777777,102.3,4000
144,39.96416666666666,52.82027777777778,102.3,1000
145,37.33333333333334,59.516666666666666,102.3,1000
146,38.33611111111111,54.661111111111104,102.3,1000
147,37.6,61.833333333333336,102.3,300
148,38.28027777777778,57.68861111111112,102.3,0
150,38.71055555555556,56.32944444444445,102.5,1000
151,37.918333333333344,58.08027777777777,102.6,1000
152,37.80833333333332,58.833333333333336,102.6,1000
153,37.8625,58.23777777777777,102.7,60000
154,38.484166666666674,56.980833333333315,102.7,0
155,37.86666666666668,65.24166666666667,102.8,320
156,37.86666666666668,65.24166666666667,102.9,500
157,39.670555555555566,54.548611111111114,103.0,60000
158,39.3,58.6,103.0,5000
159,36.53166666666665,61.22333333333333,103.0,1000
160,40.49166666666666,62.13055555555555,103.1,20000
161,41.833333333333336,59.96666666666667,103.1,4000
162,37.460833333333326,53.96972222222222,103.1,0
163,37.8625,58.23777777777777,103.2,17000
164,38.484166666666674,56.980833333333315,103.2,1000
165,37.6,61.833333333333336,103.2,300
166,37.4,60.516666666666666,103.3,10000
167,41.53944444444445,52.55833333333334,103.4,20000
168,36.59583333333334,62.51111111111113,103.4,10000
169,39.05,56.28333333333333,103.5,320
170,40.17777777777778,58.40833333333334,103.7,20000
171,37.33333333333334,59.516666666666666,103.7,320
172,37.8625,58.23777777777777,103.9,60000
173,39.514722222222225,54.367777777777775,103.9,4000
174,42.13000000000001,59.65388888888887,104.0,20000
175,37.74333333333335,66.07166666666664,104.2,20000
176,35.27611111111111,62.35916666666667,104.3,1000
177,37.6,61.833333333333336,104.4,300
178,39.033333333333346,63.583333333333336,104.5,20000
179,37.86666666666668,65.24166666666667,104.5,500
180,41.888888888888886,58.81944444444446,104.8,1000
181,37.8625,58.23777777777777,104.9,22000
182,35.27611111111111,62.35916666666667,104.9,1000
183,38.234722222222224,64.47083333333332,105.0,20000
184,39.42194444444445,62.841111111111104,105.1,1000
185,38.49444444444443,54.3763888888889,105.2,1000
186,38.484166666666674,56.980833333333315,105.4,17000
187,39.3,58.6,105.4,5000
188,41.833333333333336,59.96666666666667,105.4,4000
189,37.644444444444446,63.8861111111111,105.5,20000
190,37.51194444444444,65.9713888888889,105.5,1000
191,42.13000000000001,59.65388888888887,105.6,20000
192,40.49166666666666,62.13055555555555,105.6,20000
193,36.53166666666665,61.22333333333333,105.7,1000
194,37.5111111111111,66.05,105.8,20000
195,35.27611111111111,62.35916666666667,105.8,1000
196,37.8625,58.23777777777777,105.9,22000
197,38.13333333333333,57.916666666666664,105.9,1000
198,39.033333333333346,63.583333333333336,106.1,20000
199,38.28027777777778,57.68861111111112,106.2,1000
200,35.27611111111111,62.35916666666667,106.5,5000
201,37.80833333333332,58.833333333333336,106.5,0
202,37.80833333333332,58.833333333333336,106.6,1000
203,37.5111111111111,66.05,106.7,20000
204,37.74333333333335,66.07166666666664,106.7,20000
205,37.644444444444446,63.8861111111111,106.7,1000
206,37.86666666666668,65.24166666666667,106.7,500
207,37.460833333333326,53.96972222222222,106.7,0
208,38.234722222222224,64.47083333333332,106.8,20000
209,42.13000000000001,59.65388888888887,106.9,20000
210,38.166666666666664,64.55,107.1,5000
211,38.71055555555556,56.32944444444445,107.5,1000
212,39.71666666666667,54.95,107.9,20000
