,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,21.783333333333335,-70.61666666666666,88.5,500
1,21.783333333333335,-70.61666666666666,88.7,250
2,21.466666666666665,-69.46666666666667,89.1,1000
3,21.783333333333335,-70.61666666666666,89.7,500
4,21.783333333333335,-70.61666666666666,91.1,750
5,21.783333333333335,-70.61666666666666,91.5,500
6,21.783333333333335,-70.61666666666666,92.5,250
7,21.783333333333335,-70.61666666666666,93.9,350
8,21.783333333333335,-70.61666666666666,96.7,1000
9,21.783333333333335,-70.61666666666666,98.3,500
10,21.783333333333335,-70.61666666666666,98.9,250
11,21.783333333333335,-70.61666666666666,99.9,0
12,21.783333333333335,-70.61666666666666,102.5,250
13,21.466666666666665,-69.46666666666667,105.5,500
