,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,51.027569,-3.275316,105.3,35.35533906
1,52.043331,-0.761199,105.5,35.35533906
2,53.775793,-0.281912,107.4,35.35533906
3,50.829177,-0.112873,101.4,35.35533906
4,54.216082,-4.6162,106.2,353.5533906
5,54.067691,-4.763071,104.2,70.71067812
6,54.14057,-4.493077,105,2262.7417
7,54.324776,-4.386403,104.2,42.42640687
8,54.262555,-4.462966,106.6,282.8427125
9,55.646679,-4.774867,103.1,35.35533906
10,60.392601,-1.364988,87.7,1
11,60.120049,-1.121928,87.7,1
12,60.489662,-1.62696,87.7,1
13,60.798342,-0.820469,87.7,1
14,59.85429,-1.275309,87.7,1
15,60.226394,-1.563162,87.7,1
16,50.959209,-2.514807,104.7,35.35533906
17,51.09149,1.1653,105.9,35.35533906
18,51.350476,1.392418,107.8,70.87896953
19,50.599127,-2.476532,107.2,282.8427125
20,54.65275,-6.21226,106.5,35.35533906
21,51.005928,-2.199129,107.3,35.52363047
22,55.065527,-3.619212,107.3,113.137085
23,53.454217,-2.1888,96.9,50
24,53.023205,-1.479655,98.4,35.35533906
25,53.048827,-1.403566,107.2,35.35533906
26,52.586105,-1.984607,99.4,70.71067812
27,51.20416,-1.465333,95.9,35.35533906
28,50.85393,-1.067587,98.6,141.4213562
29,50.683014,-1.275373,91.5,35.35533906
30,52.512448,-1.476864,88.9,1
31,51.011899,-3.119648,97.3,35.35533906
32,55.40547,-5.746278,107.1,1000
33,55.433061,-5.569559,106.5,500
34,55.917534,-5.462225,107.7,500
35,51.058568,0.158875,94.7,35.35533906
36,50.967246,0.111767,105,212.1320344
37,51.508668,-0.591451,101.6,35.35533906
38,50.926247,-1.36494,99.8,35.35533906
39,55.869363,-4.259544,107.2,35.35533906
40,51.289164,-0.757934,106.5,141.4213562
41,51.454578,-0.977254,95.6,141.4213562
42,54.008247,-2.785769,95.3,2
43,54.65614,-5.662282,107.9,35.35533906
44,51.558571,0.452553,87.7,0.05
45,52.540477,-1.503661,104,70.71067812
