,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,51.84416666666667,33.480277777777786,65.93,17000
1,49.81666666666667,35.15722222222222,65.96,140
2,51.19972222222223,24.664722222222217,66.02,17000
3,47.59111111111113,37.51638888888889,66.05,500
4,49.07472222222222,25.416666666666668,66.05,89
5,49.67444444444444,33.73944444444444,66.08,17000
6,50.17111111111111,27.098333333333333,66.08,560
7,44.9,34.11416666666667,66.11,100
8,46.8186111111111,35.33555555555555,66.14,4000
9,49.44833333333333,26.980277777777783,66.14,3000
10,49.84777777777779,24.036666666666665,66.26,3000
11,50.122777777777785,26.837500000000002,66.32,200
12,51.14916666666669,32.86611111111111,66.38,4000
13,50.518611111111106,30.243055555555554,66.4,30
14,48.295555555555545,25.842222222222226,66.41,1000
15,49.731111111111126,28.796111111111113,66.41,410
16,51.14083333333335,34.32416666666668,66.5,17000
17,50.59916666666666,26.421111111111106,66.53,8000
18,45.82166666666665,29.289722222222224,66.59,17000
19,49.029722222222205,25.79722222222222,66.59,51
20,44.94527777777778,34.11333333333334,66.68,17000
21,51.86749999999999,32.56444444444445,66.71,17000
22,48.44361111111111,35.048611111111114,66.74,4000
23,51.19972222222223,24.664722222222217,66.8,4000
24,45.946111111111115,33.8036111111111,66.8,4000
25,49.570555555555565,28.01388888888889,66.8,410
26,49.229166666666686,29.0763888888889,66.86,200
27,48.488055555555555,32.25861111111112,66.98,17000
28,49.84777777777779,24.036666666666665,67.04,8900
29,50.043611111111105,36.235,67.13,17000
30,49.009166666666665,28.487500000000004,67.13,200
31,46.71583333333332,36.36611111111111,67.16,560
32,48.295555555555545,25.842222222222226,67.19,17000
33,47.713333333333324,29.53833333333333,67.25,17000
34,49.222500000000004,27.65444444444444,67.25,540
35,48.81361111111113,37.561388888888885,67.28,4000
36,50.46611111111111,30.505277777777778,67.28,2000
37,50.93527777777777,34.802499999999995,67.28,1400
38,49.430277777777775,24.93111111111111,67.28,89
39,47.084722222222226,37.52722222222223,67.34,17000
40,49.06222222222221,28.118888888888886,67.34,1500
41,50.59916666666666,26.421111111111106,67.46,17000
42,51.84416666666667,33.480277777777786,67.49,17000
43,49.70333333333333,35.1738888888889,67.64,79
44,49.44833333333333,26.980277777777783,67.7,17000
45,48.111944444444454,39.34527777777779,67.73,17000
46,44.50222222222222,34.15555555555555,67.73,300
47,49.84777777777779,24.036666666666665,67.82,7900
48,49.08555555555555,30.378611111111105,67.88,8000
49,50.043611111111105,36.235,67.91,17000
50,49.00805555555556,27.762777777777778,67.91,1400
51,48.271666666666675,25.890555555555547,67.97,4000
52,49.51805555555556,28.47555555555556,68.0,410
53,48.06694444444445,30.85777777777777,68.03,4000
54,51.14083333333335,34.32416666666668,68.06,17000
55,48.81361111111113,37.561388888888885,68.06,4000
56,50.108888888888906,27.532777777777774,68.06,81
57,50.39305555555556,30.235,68.1,30
58,48.50944444444445,28.536944444444448,68.12,5000
59,49.44055555555556,32.05944444444445,68.15,1800
60,50.59916666666666,26.421111111111106,68.24,17000
61,44.94527777777778,34.11333333333334,68.24,17000
62,51.86749999999999,32.56444444444445,68.27,4000
63,48.67444444444444,29.738611111111112,68.3,200
64,48.44361111111111,35.048611111111114,68.36,17000
65,46.45,30.741111111111103,68.36,15000
66,48.04527777777776,37.96750000000001,68.36,5000
67,48.90500000000001,22.552777777777774,68.42,1000
68,45.946111111111115,33.8036111111111,68.48,17000
69,51.19972222222223,24.664722222222217,68.48,4000
70,50.47111111111111,30.45333333333333,68.51,17000
71,49.241388888888885,28.423888888888897,68.57,17000
