,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
,-34.511,-56.1229,50.021,5
,-34.534,-57.023,50.083,3
,-34.315,-56.1648,87.5,0
,-34.46,-55.4507,87.9,0
,-34.53,-56.0909,87.9,0
,-34.434,-56.0533,87.9,0
,-34.2,-55.4506,88.1,25000
,-34.061,-54.2924,88.1,1000
,-32.22,-54.0406,88.1,1000
,-30.56,-57.3024,88.1,1000
,-33.14,-53.4754,88.1,500
,-32.4,-58.08,88.1,500
,-31.11,-55.4507,88.1,500
,-34.004,-53.3354,88.1,100
,-31.2,-57.5636,88.3,25000
,-34.49,-55.59,88.3,25000
,-34.52,-56.0148,88.3,5000
,-33.07,-58.18,88.3,1000
,-33.27,-54.3201,88.3,1000
,-30.235,-56.2754,88.3,500
,-34.07,-57.13,88.3,500
,-31.52,-54.0724,88.3,500
,-33.27,-54.3201,88.3,500
,-34.394,-54.0918,88.3,500
,-31.341,-55.2824,88.3,500
,-32.48,-56.3008,88.3,500
,-31.4,-56.37,88.3,100
,-33.021,-53.4148,88.3,100
,-32.371,-54.353,88.3,100
,-32.43,-55.3405,88.3,100
,-34.37,-56.3609,88.5,25000
,-33.48,-58.15,88.5,500
,-31.16,-57.0724,88.5,500
,-33.002,-56.28,88.5,500
,-34.11,-57.5,88.5,500
,-32.22,-57.1105,88.5,500
,-32.18,-58.0308,88.5,500
,-30.53,-55.32,88.5,500
,-32.55,-54.5606,88.5,500
,-31.46,-54.4103,88.5,500
,-33.522,-54.4312,88.5,100
,-31.061,-57.3106,88.5,100
,-34.03,-56.1208,88.7,1000
,-34.4,-54.3,88.7,1000
,-34.122,-54.4536,88.7,500
,-31.5,-55.25,88.7,500
,-33.303,-57.48,88.7,500
,-32.562,-53.5624,88.7,500
,-33.14,-56.0007,88.7,500
,-32.383,-55.0412,88.7,100
,-33.281,-55.0054,88.7,100
,-31.051,-56.0018,88.7,100
,-34.53,-56.0909,88.7,0
,-34.384,-56.0346,88.7,0
,-34.225,-56.3218,88.9,1500
,-34.24,-57.2,88.9,1000
,-34.29,-55.3748,88.9,1000
,-31.4,-55.5703,88.9,1000
,-31.4,-55.5703,88.9,1000
,-33.31,-58.1208,88.9,500
,-31.52,-54.0724,88.9,500
,-34.394,-54.0918,88.9,500
,-33.4,-54.1203,88.9,500
,-31.54,-57.53,88.9,500
,-34.225,-56.3218,88.9,500
,-33.002,-56.28,88.9,100
,-31.055,-56.4712,88.9,100
,-33.514,-55.073,88.9,100
,-34.025,-53.3236,88.9,100
,-34.462,-55.4912,88.9,0
,-34.443,-56.0615,88.9,0
,-33.12,-53.4803,89.1,1000
,-34.26,-57.2602,89.1,1000
,-30.26,-57.2604,89.1,1000
,-32.42,-57.3705,89.1,1000
,-33.061,-55.0748,89.1,500
,-31.03,-57,89.1,500
,-34.114,-55.4426,89.1,500
,-33.12,-53.4803,89.1,500
,-31.341,-55.2824,89.1,500
,-33.53,-58.25,89.1,500
,-34.54,-56.11,89.1,500
,-33.31,-56.5308,89.1,500
,-31.4,-56.37,89.1,100
,-33.522,-54.4312,89.1,100
,-32.142,-54.59,89.1,100
,-34.22,-55.1324,89.1,100
,-34.41,-55.4207,89.1,0
,-34.472,-55.5624,89.1,0
,-34.36,-55.28,89.1,0
,-33.31,-56.5308,89.1,0
,-33.13,-57.5909,89.3,5000
,-33.41,-53.2609,89.3,1000
,-34.43,-55.5708,89.3,1000
,-30.53,-55.32,89.3,1000
,-33.22,-56.3102,89.3,500
,-32.22,-57.1105,89.3,500
,-33.27,-54.3201,89.3,500
,-31.46,-54.4103,89.3,500
,-32.383,-55.0412,89.3,100
,-31.143,-56.4606,89.3,100
,-34.133,-54.1848,89.3,100
,-32.451,-53.4312,89.3,100
,-31.525,-56.1436,89.3,100
,-34.19,-54.5906,89.3,100
,-34.212,-57.0244,89.3,0
,-34.03,-56.1208,89.3,0
,-32.3,-54.31,89.5,1000
,-33.42,-57.32,89.5,1000
,-33.2,-55.3709,89.5,1000
,-33.2,-55.3709,89.5,1000
,-31.5,-55.25,89.5,500
,-30.235,-56.2754,89.5,500
,-31.2,-57.2354,89.5,500
,-34.061,-54.2924,89.5,500
,-34.025,-53.3236,89.5,500
,-31.051,-56.0018,89.5,100
,-31.061,-57.3106,89.5,50
,-34.48,-56.13,89.5,0
,-34.444,-56.112,89.7,25000
,-34.24,-57.2,89.7,1000
,-33.31,-58.1208,89.7,1000
,-32.024,-54.4606,89.7,1000
,-34.53,-56.0909,89.7,1000
,-32.304,-53.2212,89.7,1000
,-33.061,-55.0748,89.7,500
,-33.4,-54.1203,89.7,500
,-32.48,-56.3008,89.7,500
,-33.31,-56.5308,89.7,500
,-31.123,-55.2036,89.7,100
,-31.055,-56.4712,89.7,100
,-33.514,-55.073,89.7,100
,-30.26,-57.2604,89.7,100
,-34.29,-55.3748,89.7,0
,-30.53,-55.32,89.9,1000
,-34.18,-57.2101,89.9,1000
,-32.4,-58.08,89.9,1000
,-34.46,-55.4507,89.9,500
,-31.2,-57.2354,89.9,500
,-33.52,-53.3036,89.9,500
,-32.22,-54.0406,89.9,500
,-32.373,-55.4954,89.9,500
,-33.44,-56.1903,89.9,500
,-30.26,-57.2604,89.9,500
,-34.021,-54.1706,89.9,500
,-31.4,-56.37,89.9,100
,-33.021,-53.4148,89.9,100
,-31.264,-54.43,89.9,100
,-31.103,-56.2224,89.9,100
,-31.061,-57.3106,89.9,100
,-33.13,-54.2302,89.9,100
,-33.22,-56.3102,90.1,1000
,-33.13,-57.5909,90.1,1000
,-34.52,-55.16,90.1,1000
,-34.27,-56.2304,90.1,1000
,-32.3,-54.31,90.1,500
,-33.283,-55.0842,90.1,500
,-31.11,-55.4507,90.1,500
,-31.143,-56.4606,90.1,100
,-33.14,-53.4754,90.1,100
,-31.391,-54.3642,90.1,100
,-34.133,-54.1848,90.1,100
,-34.025,-53.3236,90.1,100
,-33.451,-57.22,90.3,1000
,-34.003,-55.39,90.3,1000
,-34.52,-56.0148,90.3,1000
,-34.49,-55.59,90.3,1000
,-30.43,-57.1924,90.3,500
,-32.48,-56.3008,90.3,500
,-31.4,-55.5703,90.3,500
,-32.5,-54.45,90.3,500
,-31.52,-54.0907,90.3,100
,-31.123,-55.2036,90.3,100
,-32.072,-55.0448,90.3,100
,-33.383,-54.3636,90.3,100
,-32.451,-53.4312,90.3,100
,-30.43,-56.0948,90.3,100
,-34.19,-54.5906,90.3,100
,-31.334,-57.37,90.3,50
,-33.554,-56.1414,90.3,0
,-34.453,-55,90.3,0
,-32.42,-57.3705,90.3,0
,-34.29,-56.0204,90.5,1000
,-33.241,-58.193,90.5,1000
,-34.08,-53.39,90.5,500
,-33.2,-55.3709,90.5,500
,-34.021,-54.1706,90.5,500
,-31.52,-54.0907,90.5,100
,-31.5,-55.25,90.5,100
,-31.4,-56.37,90.5,100
,-33.021,-53.4148,90.5,100
,-31.501,-54.4906,90.5,100
,-31.103,-56.2224,90.5,100
,-30.383,-56.4612,90.5,100
,-34.061,-54.2924,90.5,0
,-34.22,-55.1324,90.7,1000
,-34.16,-57.1401,90.7,1000
,-31.11,-55.4507,90.7,1000
,-30.235,-56.2754,90.7,500
,-33.22,-56.3102,90.7,500
,-32.3,-54.31,90.7,500
,-31.2,-57.2354,90.7,500
,-34.394,-54.0918,90.7,500
,-33.452,-53.2336,90.7,100
,-33.14,-53.4754,90.7,100
,-31.264,-54.43,90.7,100
,-33.061,-55.0748,90.7,100
,-31.553,-53.5954,90.7,100
,-33.343,-54.4342,90.7,100
,-31.061,-57.3106,90.7,100
,-34.315,-56.1648,90.7,0
,-34.461,-56.2254,90.7,0
,-34.394,-56.2316,90.7,0
,-34.422,-56.1,90.7,0
,-34.17,-56.13,90.7,0
,-34.43,-55.5708,90.7,0
,-33.361,-53.4254,90.7,0
,-34.27,-56.2304,90.7,0
,-34.4,-54.3,90.9,5000
,-34.24,-57.2,90.9,1000
,-33.54,-58.2306,90.9,1000
,-31.2,-57.5636,90.9,1000
,-33.44,-56.1903,90.9,1000
,-33.44,-56.1903,90.9,1000
,-33.13,-54.2302,90.9,1000
,-31.123,-55.2036,90.9,100
,-30.363,-56.5418,90.9,100
,-32.28,-53.1324,90.9,100
,-33.534,-55.1006,90.9,100
,-30.43,-56.0948,90.9,100
,-31.272,-56.23,90.9,50
,-32.531,-55.3659,90.9,0
,-34.324,-55.5219,90.9,0
,-34.53,-56.0909,91.1,25000
,-32.48,-56.3008,91.1,10000
,-30.43,-57.1924,91.1,1000
,-32.22,-57.1105,91.1,1000
,-33.443,-54.4536,91.1,1000
,-32.22,-54.0406,91.1,500
,-33.303,-57.48,91.1,500
,-33.021,-53.4148,91.1,100
,-32.072,-55.0448,91.1,100
,-31.05,-56.003,91.1,100
,-31.051,-56.0018,91.1,100
,-33.361,-53.4254,91.1,100
,-31.525,-56.1436,91.1,100
,-31.501,-54.4906,91.1,0
,-34.17,-55.5704,91.3,1000
,-31.34,-57.58,91.3,1000
,-30.472,-57.4548,91.3,500
,-31.52,-54.0907,91.3,100
