,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-13.82777777777778,167.1777777777778,91.0,0
1,-14.419444444444444,167.41166666666672,96.3,500
2,-13.82777777777778,167.1777777777778,98.0,500
3,-14.419444444444444,167.41166666666672,98.0,500
4,-13.82777777777778,167.1777777777778,98.1,200
5,-14.419444444444444,167.41166666666672,99.0,200
6,-13.82777777777778,167.1777777777778,100.0,500
7,-14.419444444444444,167.1777777777778,100.0,500
8,-14.419444444444444,167.1777777777778,100.0,200
9,-14.419444444444444,167.41166666666672,102.0,500
10,-13.82777777777778,167.1777777777778,102.0,500
11,-13.82777777777778,167.1777777777778,102.0,500
12,-13.82777777777778,167.1777777777778,102.5,300
13,-13.82777777777778,167.1777777777778,102.7,0
14,-13.82777777777778,167.1777777777778,103.0,500
15,-13.82777777777778,167.1777777777778,103.0,500
16,-14.419444444444444,167.1777777777778,104.0,500
17,-14.419444444444444,167.1777777777778,104.0,0
18,-13.82777777777778,167.1777777777778,105.0,0
19,-13.82777777777778,167.1777777777778,107.0,500
20,-14.419444444444444,167.1777777777778,107.0,500
21,-14.419444444444444,167.1777777777778,107.0,500
