,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,18.484166666666663,-64.40166666666667,88.5,0
1,18.435555555555556,-64.63722222222222,90.9,1000
2,18.422499999999996,-64.64527777777778,91.7,50000
3,18.435555555555556,-64.63722222222222,92.3,4600
4,18.435555555555556,-64.63722222222222,94.1,8500
5,18.422499999999996,-64.64527777777778,94.3,50000
6,18.422499999999996,-64.64527777777778,97.3,50000
7,18.349166666666665,-64.57,100.5,0
8,18.435555555555556,-64.63722222222222,100.9,5000
9,18.422499999999996,-64.64527777777778,103.7,5000
10,18.435555555555556,-64.63722222222222,106.9,890
