,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,17.755833333333335,-63.12111111111112,89.9,1400
1,17.735277777777775,-63.001666666666665,90.7,10000
2,17.7475,-63.1586111111111,91.9,7400
3,18.356944444444437,-63.28972222222222,92.7,10
4,18.357777777777784,-63.27027777777777,93.1,1300
5,17.731388888888894,-63.01027777777778,93.5,9600
6,17.735277777777775,-63.001666666666665,95.1,15000
7,18.35972222222222,-63.29416666666668,95.3,0
8,18.359166666666663,-63.293888888888894,96.1,2400
9,18.329722222222223,-63.232777777777784,96.9,1
10,18.342499999999998,-63.294444444444416,97.3,100
11,18.356666666666662,-63.288611111111116,97.9,29000
12,17.7475,-63.1586111111111,98.3,1900
13,17.735277777777775,-63.001666666666665,99.5,32000
14,17.755555555555564,-63.120833333333316,100.3,50000
15,17.7475,-63.1586111111111,101.3,4600
16,18.356944444444437,-63.289166666666674,102.1,1750
17,17.74861111111111,-63.050555555555555,103.1,170
18,17.724444444444444,-63.20638888888888,103.5,6000
19,18.35972222222222,-63.29416666666668,104.3,44000
20,17.735555555555553,-63.001944444444455,104.9,15000
21,18.359166666666663,-63.293888888888894,105.3,30200
22,18.356666666666662,-63.288611111111116,107.3,1650
23,17.755833333333335,-63.12111111111112,107.9,3600
24,17.745277777777773,-63.15749999999999,162.5,1000
