,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,15.583333333333334,45.333333333333336,87.5,0
1,13.5,44.0,87.5,0
2,14.536944444444448,49.135555555555555,87.7,182000
3,15.348333333333333,44.2063888888889,87.9,0
4,13.516666666666667,46.7,88.0,0
5,15.3,50.7,88.1,0
6,15.583333333333334,45.333333333333336,88.1,0
8,15.366666666666667,44.2,88.3,0
9,13.696666666666667,44.73083333333334,88.5,0
10,15.366666666666667,44.2,88.7,0
11,14.8,42.96666666666667,88.8,0
12,14.536944444444448,49.135555555555555,88.8,0
13,12.8,45.03333333333333,88.9,0
14,13.89,45.75805555555556,88.9,0
15,13.887777777777774,44.1063888888889,89.1,50000
16,16.783333333333335,45.516666666666666,89.1,0
17,15.694444444444441,43.606944444444444,89.2,0
18,16.783333333333335,45.516666666666666,89.5,0
19,15.583333333333334,45.333333333333336,89.5,0
20,16.928055555555552,43.78083333333334,89.5,0
21,15.95,48.8,89.5,0
23,15.366666666666667,44.2,89.9,5000
24,14.533333333333333,49.13333333333333,90.0,0
25,16.083333333333332,49.0,90.0,0
27,15.021388888888884,43.29611111111111,90.4,10000
28,13.5,44.0,90.5,5000
29,15.366666666666667,44.2,90.5,0
30,12.8,45.03333333333333,90.9,0
31,14.55,44.40166666666668,90.9,0
32,13.966666666666667,44.166666666666664,90.9,0
33,15.366666666666667,44.2,90.9,0
34,16.928055555555552,43.78083333333334,91.0,0
35,15.366666666666667,44.2,91.1,5000
36,15.694444444444441,43.606944444444444,91.5,0
37,15.366666666666667,44.2,91.5,0
38,13.21916666666667,45.30916666666666,91.8,10000
39,12.8,45.03333333333333,91.9,0
40,15.366666666666667,44.2,91.9,0
41,12.790000000000001,45.02861111111112,92.6,5000
42,15.366666666666667,44.2,92.6,0
43,12.8,45.03333333333333,92.9,0
44,12.8,45.03333333333333,92.9,0
45,15.366666666666667,44.2,92.9,0
46,14.8,42.96666666666667,93.1,0
47,14.536388888888887,46.83305555555556,93.3,0
49,15.366666666666667,44.2,93.3,0
50,15.583333333333334,45.333333333333336,93.5,0
51,15.366666666666667,44.2,93.9,0
52,14.533333333333333,49.13333333333333,94.0,0
53,15.366666666666667,44.2,94.3,0
54,13.5,44.0,94.7,0
55,15.3,44.18333333333333,94.9,0
56,14.533333333333333,49.13333333333333,95.5,0
57,15.366666666666667,44.2,95.5,0
58,15.366666666666667,44.2,95.5,0
59,16.78555555555556,43.75694444444444,96.0,5000
60,13.887777777777774,44.1063888888889,96.0,0
62,15.366666666666667,44.2,96.5,5000
63,12.8,45.03333333333333,96.6,0
64,13.5,44.0,96.6,0
65,15.366666666666667,44.2,96.9,0
66,15.95,48.8,97.0,0
67,15.366666666666667,44.2,97.1,0
68,13.966666666666667,44.166666666666664,97.7,0
69,15.366666666666667,44.2,97.7,0
70,15.368888888888893,47.02361111111111,98.0,0
71,15.366666666666667,44.2,98.1,0
72,14.536944444444448,49.135555555555555,98.5,182000
73,15.366666666666667,44.2,98.7,0
74,15.368888888888893,47.02361111111111,98.7,0
75,15.366666666666667,44.2,99.1,0
76,15.366666666666667,44.2,99.5,0
77,12.8,45.03333333333333,99.9,0
78,14.8,42.96666666666667,99.9,0
79,14.533333333333333,49.13333333333333,99.9,0
80,15.366666666666667,44.2,99.9,0
81,13.966666666666667,44.166666666666664,100.3,0
82,15.348333333333333,44.2063888888889,100.3,0
83,15.366666666666667,44.2,100.5,0
84,15.366666666666667,44.2,100.7,0
85,15.366666666666667,44.2,100.9,0
86,15.366666666666667,44.2,101.1,0
87,13.5,44.0,101.1,0
89,15.366666666666667,44.2,101.9,0
90,15.348333333333333,44.2063888888889,102.3,0
91,13.316666666666666,43.233333333333334,102.5,0
92,13.89,45.75805555555556,103.2,100000
93,15.366666666666667,44.2,104.1,0
94,15.3,50.7,104.5,0
95,12.790000000000001,45.02861111111112,105.0,5000
96,15.348333333333333,44.2063888888889,105.1,0
97,14.8,42.96666666666667,107.0,100
98,15.366666666666667,44.2,107.0,0
