,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-16.216666666666665,25.966666666666665,87.7,10000
1,-8.538888888888891,31.23916666666667,87.7,2000
2,-13.766666666666666,28.366666666666667,87.7,2000
3,-13.594444444444445,23.12861111111112,87.7,2000
4,-14.083333333333334,26.43833333333334,87.7,2000
5,-11.144444444444446,28.213333333333335,87.7,1000
6,-12.877777777777778,30.826388888888886,87.7,1000
7,-12.969444444444445,28.218611111111116,87.9,2000
8,-11.724999999999998,24.32888888888889,87.9,100
9,-13.72777777777778,28.322222222222216,88.1,72400
10,-15.583333333333336,27.457777777777782,88.1,10000
11,-12.583333333333334,31.33222222222222,88.1,5000
12,-11.10833333333333,28.22694444444444,88.1,2000
13,-12.72777777777778,23.25888888888888,88.1,2000
14,-7.694444444444443,30.12138888888889,88.1,2000
15,-14.424999999999997,23.299444444444443,88.1,2000
16,-8.866666666666667,32.06666666666667,88.1,1000
17,-12.274999999999997,28.669722222222227,88.3,2000
18,-7.6544444444444455,32.75472222222223,88.3,1000
19,-6.796666666666666,29.66083333333333,88.3,500
21,-13.0,28.633333333333333,88.5,10000
22,-8.538888888888891,31.23916666666667,88.5,2000
23,-13.766666666666666,28.366666666666667,88.5,2000
24,-13.594444444444445,23.12861111111112,88.5,2000
25,-11.963888888888889,32.625277777777775,88.5,300
26,-15.166666666666666,26.966666666666665,88.7,10000
27,-12.969444444444445,28.218611111111116,88.7,2000
28,-13.947222222222221,30.4075,88.7,1000
29,-9.691666666666665,29.5575,88.7,100
30,-8.569444444444445,29.910277777777775,88.9,2000
31,-12.402777777777779,32.096111111111114,88.9,1000
32,-11.10833333333333,28.236944444444447,88.9,1000
33,-11.463888888888889,25.03222222222222,89.0,100
34,-13.766666666666666,28.366666666666667,89.1,2000
35,-9.530555555555555,28.900555555555556,89.1,1000
36,-15.933333333333334,25.978055555555553,89.3,10000
37,-8.538888888888891,31.23916666666667,89.3,2000
38,-13.594444444444445,23.12861111111112,89.3,2000
39,-14.083333333333334,26.43833333333334,89.3,2000
40,-11.10833333333333,28.22694444444444,89.3,1000
41,-13.0,28.633333333333333,89.3,1000
42,-6.796666666666666,29.66083333333333,89.3,500
43,-11.963888888888889,32.625277777777775,89.3,250
44,-15.166666666666666,26.966666666666665,89.5,10000
45,-13.761111111111113,28.28305555555556,89.5,2000
46,-8.49166666666667,32.63416666666666,89.5,1000
47,-7.173611111111113,31.37805555555555,89.5,1000
48,-10.166666666666663,31.467222222222222,89.5,1000
49,-9.691666666666665,29.5575,89.5,1000
50,-11.569444444444445,30.191111111111116,89.5,500
51,-14.600000000000003,27.479444444444447,89.7,10000
52,-12.72777777777778,23.25888888888888,89.7,2000
53,-7.694444444444443,30.12138888888889,89.7,2000
54,-8.866666666666667,32.06666666666667,89.7,1000
55,-11.10833333333333,28.22694444444444,89.7,1000
56,-10.516666666666666,26.404166666666658,89.7,1000
57,-10.530555555555555,33.16833333333333,89.7,250
58,-15.349999999999996,26.49138888888889,89.9,10000
59,-14.850000000000003,28.70777777777777,89.9,10000
60,-13.766666666666666,28.366666666666667,89.9,2000
61,-7.6544444444444455,32.75472222222223,89.9,1000
62,-11.408333333333331,22.68916666666667,90.1,10000
63,-16.216666666666665,25.966666666666665,90.1,10000
64,-8.538888888888891,31.23916666666667,90.1,2000
65,-11.963888888888889,32.625277777777775,90.1,1000
66,-10.866666666666667,27.866666666666667,90.1,0
67,-15.166666666666666,26.966666666666665,90.3,10000
68,-12.969444444444445,28.218611111111116,90.3,2000
69,-8.117222222222221,29.077222222222225,90.3,1000
70,-9.497222222222222,29.983611111111106,90.3,100
71,-13.116666666666669,24.794444444444448,90.5,2000
72,-13.744444444444445,28.283611111111117,90.5,2000
73,-10.530555555555555,33.16833333333333,90.5,1000
74,-12.583333333333334,31.33222222222222,90.5,1000
75,-15.583333333333336,27.457777777777782,90.5,1000
76,-10.516666666666666,26.404166666666658,90.5,1000
77,-10.530555555555555,33.16833333333333,90.5,500
78,-10.866666666666667,27.866666666666667,90.5,0
79,-14.600000000000003,27.479444444444447,90.7,10000
80,-12.274999999999997,28.669722222222227,90.7,2000
81,-9.530555555555555,28.900555555555556,90.7,1000
82,-14.186111111111112,27.764444444444443,90.7,1000
83,-14.761111111111113,27.47666666666667,90.7,500
84,-11.780555555555555,25.830000000000002,90.7,0
85,-13.766666666666666,28.366666666666667,90.9,2000
86,-13.0,28.633333333333333,90.9,2000
87,-11.963888888888889,32.625277777777775,90.9,1000
88,-11.10833333333333,28.22694444444444,90.9,1000
89,-14.061111111111112,26.025000000000006,90.9,250
90,-15.166666666666666,26.966666666666665,91.1,10000
91,-12.783333333333333,28.466666666666665,91.1,2000
92,-10.166666666666663,31.467222222222222,91.1,2000
93,-15.099999999999996,25.175000000000004,91.1,2000
94,-12.72777777777778,23.25888888888888,91.3,2000
95,-13.766666666666666,28.366666666666667,91.3,2000
96,-8.866666666666667,32.06666666666667,91.3,1000
97,-12.583333333333334,31.33222222222222,91.3,1000
98,-13.0,28.633333333333333,91.3,0
99,-15.349999999999996,26.49138888888889,91.5,10000
100,-12.274999999999997,28.669722222222227,91.5,2000
101,-11.569444444444445,30.191111111111116,91.5,2000
102,-9.530555555555555,28.900555555555556,91.5,1000
103,-7.6544444444444455,32.75472222222223,91.5,1000
104,-14.850000000000003,28.70777777777777,91.5,1000
105,-10.066666666666666,24.430555555555557,91.5,100
106,-16.216666666666665,25.966666666666665,91.7,10000
107,-8.538888888888891,31.23916666666667,91.7,2000
108,-13.0,28.633333333333333,91.7,2000
109,-11.963888888888889,32.625277777777775,91.7,1000
110,-13.766666666666666,28.366666666666667,91.7,100
111,-14.600000000000003,27.479444444444447,91.9,10000
112,-12.969444444444445,28.218611111111116,91.9,2000
113,-11.780555555555555,25.830000000000002,91.9,1000
114,-14.083333333333334,26.43833333333334,91.9,250
115,-15.166666666666666,26.966666666666665,91.9,100
116,-13.766666666666666,28.366666666666667,92.1,2000
117,-14.424999999999997,23.299444444444443,92.1,2000
118,-11.166666666666663,28.084999999999997,92.1,1000
119,-12.877777777777778,30.826388888888886,92.1,1000
120,-10.516666666666666,26.404166666666658,92.1,1000
121,-15.677777777777779,27.216388888888893,92.1,100
122,-14.600000000000003,27.479444444444447,92.3,10000
123,-11.10833333333333,28.22694444444444,92.5,5000
124,-8.538888888888891,31.23916666666667,92.5,2000
125,-13.72777777777778,28.322222222222216,92.5,2000
126,-14.083333333333334,26.43833333333334,92.5,2000
127,-15.166666666666666,26.966666666666665,92.7,10000
