,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-17.849999999999994,29.929166666666674,87.6,50000
1,-17.05,31.60527777777778,87.9,70000
2,-15.469444444444445,30.700555555555557,88.0,71000
3,-19.616666666666667,30.82388888888888,88.0,50000
4,-18.10833333333333,32.87361111111111,88.2,10000
5,-19.030555555555548,27.90888888888888,88.2,1000
6,-14.777777777777773,31.247777777777777,88.2,1000
7,-18.813888888888886,27.80333333333333,88.3,50000
8,-16.619444444444444,27.05555555555555,88.4,71000
9,-20.516666666666666,30.014444444444443,88.5,32000
10,-16.73611111111111,29.90305555555556,88.5,32000
11,-16.416666666666664,32.766666666666666,88.6,50000
12,-14.83333333333333,28.796111111111113,88.6,7100
13,-15.116666666666669,31.47583333333333,88.9,50000
14,-15.866666666666667,28.368888888888886,89.0,70000
15,-17.25833333333333,32.661111111111104,89.1,65000
16,-19.247222222222227,29.066944444444438,89.1,50000
17,-19.40833333333333,31.73222222222222,89.2,70000
18,-18.141666666666666,27.799722222222226,89.3,5000
19,-16.563888888888894,30.862500000000008,89.3,1000
20,-16.11111111111111,28.963611111111106,89.4,70000
21,-16.619444444444444,27.05555555555555,89.4,10000
22,-20.000000000000004,31.32027777777777,89.5,70000
23,-19.366666666666667,28.38111111111111,89.5,70000
24,-18.424999999999997,30.860555555555557,89.5,250
25,-16.783333333333335,29.087500000000002,89.6,80000
26,-16.11111111111111,31.089166666666667,89.7,71000
27,-18.458333333333332,31.099166666666672,89.8,50000
28,-16.38055555555556,25.928055555555552,89.8,7100
29,-16.783333333333335,29.087500000000002,89.9,80000
30,-16.38055555555556,25.928055555555552,89.9,8000
31,-18.51666666666667,28.572777777777773,90.0,64000
32,-16.886111111111113,32.72500000000001,90.0,5000
33,-19.37222222222222,31.666666666666668,90.0,250
34,-18.95277777777778,30.315833333333337,90.1,70000
35,-14.777777777777773,31.247777777777777,90.1,20000
36,-20.516666666666666,30.014444444444443,90.1,1000
37,-17.252777777777776,30.916388888888893,90.2,71000
38,-18.141666666666666,27.799722222222226,90.2,70000
39,-15.172222222222228,29.617500000000007,90.3,10000
40,-15.641666666666664,32.53777777777778,90.4,50000
41,-17.44166666666667,27.961944444444452,90.4,32000
42,-17.849999999999994,29.929166666666674,90.7,64000
43,-20.45,31.205833333333334,90.7,2000
44,-17.05,31.60527777777778,91.0,70000
45,-15.469444444444445,30.700555555555557,91.1,80000
46,-19.616666666666667,30.82388888888888,91.1,50000
47,-16.38055555555556,25.928055555555552,91.2,10000
48,-18.10833333333333,32.87361111111111,91.3,10000
