,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
0,54.135,-165.77278,88.1,127,0.921,36.84073
1,61.335777,-149.51561,88.1,219,0.921,
2,61.335835,-149.51553,88.1,219,0.921,
3,60.065193,-148.0123,88.1,21,0.921,
4,61.52861,-165.59122,88.1,8485,0.921,
5,60.553333,-145.73364,88.1,23,0.921,
6,54.855778,-163.4142,88.1,127,0.921,
7,64.74214,-156.84413,88.1,141,0.921,
8,58.417416,-135.71014,88.1,51,0.921,
9,58.30111,-134.44221,88.1,2404,0.921,
10,70.12647,-143.62167,88.1,39,0.921,
11,60.521915,-151.07333,88.1,1100,0.921,
12,55.353554,-131.68419,88.1,127,0.921,
13,55.060223,-162.32867,88.1,250,0.921,
14,70.21384,-150.99059,88.1,282,0.921,
15,69.729385,-163.01653,88.1,48,0.921,
16,56.32075,-133.02919,88.1,54,0.921,
17,60.10275,-149.43881,88.1,49,0.921,
18,60.868332,-146.68172,88.1,23,0.921,
19,33.695362,-86.51747,88.1,1500,0.921,
20,33.395943,-87.01861,88.1,6000,0.921,
21,34.818974,-86.73861,88.1,4949,0.921,
22,35.797832,-91.67125,88.1,250,0.921,
23,36.393696,-94.18158,88.1,1414,0.921,
24,35.20314,-90.56594,88.1,5939,0.921,
25,33.5365,-92.46878,88.1,60000,0.921,
26,35.90139,-92.61611,88.1,8768,0.921,
27,14.3225,-170.76306,88.1,2121,0.921,
28,34.4886,-112.53844,88.1,4681,0.921,
29,34.414696,-112.404526,88.1,11,0.921,
30,34.42225,-110.56622,88.1,205,0.921,
31,34.918083,-110.140945,88.1,353,0.921,
32,34.918083,-110.140945,88.1,70,0.921,
33,35.808056,-110.27375,88.1,97580,0.921,
34,32.248943,-111.116974,88.1,22627,0.921,
35,34.342304,-112.1019,88.1,1258,0.921,
36,34.287807,-111.19344,88.1,141,0.921,
37,31.348444,-109.48006,88.1,2121,0.921,
38,34.490055,-112.53389,88.1,3323,0.921,
39,34.49003,-112.53386,88.1,141,0.921,
40,33.667526,-114.05991,88.1,13,0.921,
41,33.763084,-109.96147,88.1,890,0.921,
42,32.642,-114.56022,88.1,4242,0.921,
43,34.037777,-116.81419,88.1,188,0.921,
44,38.006863,-122.14384,88.1,4,0.921,
45,38.36183,-122.9797,88.1,141,0.921,
46,41.636833,-120.09214,88.1,381,0.921,
47,35.479946,-117.683945,88.1,9,0.921,
48,37.90547,-122.29383,88.1,24,0.921,
49,40.72736,-123.97256,88.1,14142,0.921,
50,39.46736,-123.76056,88.1,99,0.921,
51,37.073,-119.43178,88.1,3394,0.921,
52,38.989613,-122.76914,88.1,300,0.921,
53,34.909973,-120.18708,88.1,3535,0.921,
54,34.603584,-120.48905,88.1,93,0.921,
55,33.799473,-118.162834,88.1,42426,0.921,
56,37.163834,-121.91828,88.1,9,0.921,
57,34.367336,-116.92751,88.1,1414,0.921,
58,34.709446,-116.15139,88.1,1414,0.921,
59,33.539696,-116.02636,88.1,261,0.921,
60,35.122196,-118.20786,88.1,14849,0.921,
61,41.221806,-122.30861,88.1,1697,0.921,
62,38.264084,-122.21608,88.1,10,0.921,
63,39.93711,-120.948555,88.1,707,0.921,
64,33.30836,-116.84889,88.1,10,0.921,
65,33.617527,-114.77331,88.1,70,0.921,
66,38.24714,-121.50189,88.1,8400,0.921,
67,37.971027,-122.51414,88.1,9,0.921,
68,37.002724,-122.05217,88.1,28284,0.921,
69,37.002724,-122.05217,88.1,1272,0.921,
70,38.916584,-119.96322,88.1,26,0.921,
71,39.325943,-120.19975,88.1,65,0.921,
72,39.63025,-106.0475,88.1,176,0.921,
73,40.25528,-103.63389,88.1,8485,0.921,
74,39.294724,-102.26075,88.1,205,0.921,
75,39.41886,-107.370026,88.1,1607,0.921,
76,39.06664,-108.74539,88.1,424,0.921,
77,37.23725,-104.51497,88.1,14,0.921,
78,39.732777,-105.236115,88.1,6222,0.921,
79,38.422222,-105.15195,88.1,42,0.921,
80,38.88608,-104.890526,88.1,140,0.921,
81,37.196667,-107.11753,88.1,1000,0.921,
82,38.44664,-106.01056,88.1,282,0.921,
83,40.5325,-103.123276,88.1,106,0.921,
84,40.073307,-102.23461,88.1,100,0.921,
85,41.553417,-72.657585,88.1,8485,0.921,
86,41.318974,-73.25317,88.1,7071,0.921,
87,41.34164,-73.274445,88.1,247,0.921,
88,41.318974,-73.25317,88.1,466,0.921,
89,39.75761,-75.66686,88.1,88,0.921,
90,27.131971,-82.393974,88.1,141421,0.921,
91,29.80939,-82.607056,88.1,110,0.921,
92,25.540361,-80.46839,88.1,233,0.921,
93,30.276361,-81.56397,88.1,11313,0.921,
94,29.238028,-82.12092,88.1,1767,0.921,
95,30.403805,-86.99275,88.1,141421,0.921,
96,30.543833,-87.22019,88.1,10606,0.921,
97,24.990389,-80.54061,88.1,141,0.921,
98,28.62186,-82.55028,88.1,28284,0.921,
99,28.613611,-82.50139,88.1,3959,0.921,
100,28.582167,-82.528946,88.1,763,0.921,
101,28.55825,-82.529976,88.1,8485,0.921,
102,26.589222,-80.212,88.1,50000,0.921,
103,34.105667,-83.93019,88.1,26,0.921,
104,31.54575,-82.891525,88.1,18,0.921,
105,34.012054,-83.29375,88.1,8485,0.921,
106,32.063557,-81.04872,88.1,7778,0.921,
107,32.35572,-82.61847,88.1,12000,0.921,
108,30.668528,-83.96933,88.1,24041,0.921,
109,32.85236,-84.70103,88.1,141421,0.921,
110,34.06647,-84.453804,88.1,12,0.921,
111,13.488055,-144.83139,88.1,11313,0.921,
112,22.1825,-159.33305,88.1,4666,0.921,
113,19.701166,-155.06139,88.1,4242,0.921,
114,19.696667,-155.05139,88.1,230,0.921,
115,21.333471,-157.81474,88.1,55154,0.921,
116,21.336666,-157.8175,88.1,3500,0.921,
117,21.958834,-159.36159,88.1,353,0.921,
118,21.510445,-158.14555,88.1,5656,0.921,
119,40.767277,-90.924164,88.1,24041,0.921,
120,40.752483,-91.12614,88.1,7071,0.921,
121,41.583584,-93.641304,88.1,5200,0.921,
122,41.58389,-93.641525,88.1,7353,0.921,
123,42.490776,-94.2005,88.1,282,0.921,
124,41.033916,-92.40964,88.1,14849,0.921,
125,42.668304,-94.99333,88.1,8485,0.921,
126,42.512474,-92.3235,88.1,13435,0.921,
127,40.631943,-91.43361,88.1,23334,0.921,
128,42.729916,-114.4192,88.1,60000,0.921,
129,43.620693,-117.21069,88.1,63639,0.921,
130,42.91678,-112.43097,88.1,14142,0.921,
131,43.799362,-111.77636,88.1,240,0.921,
132,40.477222,-88.55389,88.1,2121,0.921,
133,40.49114,-88.99367,88.1,169,0.921,
134,42.10586,-88.377304,88.1,2000,0.921,
135,39.47725,-88.140305,88.1,2969,0.921,
136,41.872807,-87.647804,88.1,134,0.921,
137,41.421417,-87.64422,88.1,127,0.921,
138,39.80975,-88.99203,88.1,1414,0.921,
139,41.47975,-90.269,88.1,3000,0.921,
140,40.782276,-87.93043,88.1,480,0.921,
141,37.7175,-88.54361,88.1,6788,0.921,
142,39.72172,-90.195946,88.1,38,0.921,
143,41.812527,-87.88089,88.1,254,0.921,
144,41.602806,-88.08033,88.1,197,0.921,
145,38.697277,-88.03697,88.1,4101,0.921,
146,40.001446,-89.69705,88.1,8485,0.921,
147,41.95558,-87.86728,88.1,424,0.921,
148,41.29225,-89.13314,88.1,4000,0.921,
149,41.869194,-88.098946,88.1,353,0.921,
150,41.3225,-88.10944,88.1,494,0.921,
151,42.09414,-87.719025,88.1,66,0.921,
152,41.613667,-86.18889,88.1,16263,0.921,
153,38.763916,-86.520805,88.1,1000,0.921,
154,39.70614,-85.49464,88.1,8909,0.921,
155,39.706085,-85.49467,88.1,8909,0.921,
156,38.298943,-85.81245,88.1,4030,0.921,
157,39.06839,-85.26608,88.1,500,0.921,
158,38.683945,-87.435585,88.1,18,0.921,
159,40.15003,-86.90389,88.1,24041,0.921,
160,39.351112,-101.054054,88.1,2828,0.921,
161,37.779694,-100.06106,88.1,1414,0.921,
162,37.804474,-96.88419,88.1,565,0.921,
163,38.001083,-101.00156,88.1,1414,0.921,
164,38.362778,-98.76425,88.1,900,0.921,
165,38.958057,-99.35222,88.1,3535,0.921,
