,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
0,0,56.2456106,15.2872377,87.8,500,0.947,25.699778
1,1,56.1701723,14.8631279,100.4,15000,0.947,
2,2,56.1621073,15.5866422,100.7,10000,0.947,
3,3,56.1621073,15.5866422,90.9,1000,0.947,
4,4,56.1701723,14.8631279,94.3,600,0.947,
5,5,56.3014882,14.5161735,101.2,100,0.947,
6,6,56.3,15.283333,107.1,700,0.947,
7,7,54.5119008,30.4254486,91.3,398,0.947,
8,8,54.5119008,30.4254486,107.2,200,0.947,
9,9,60.216667,16.333333,103.5,200,0.947,
10,10,60.5,15.0,105.9,200,0.947,
11,11,60.5076925,14.79673,107.7,500,0.947,
12,12,60.2777918,15.9885408,93.9,300,0.947,
13,13,60.966667,15.383333,103.4,794,0.947,
14,14,61.1002234,14.2356021,89.1,500,0.947,
15,15,39.683248,-3.7729231,94.1,1000,0.947,
16,16,60.6864461,13.7145867,95.9,500,0.947,
17,17,60.216667,16.333333,98.8,250,0.947,
18,18,61.8584278,12.7168462,100.1,30,0.947,
19,19,60.6070068,15.6323059,100.2,100,0.947,
20,20,61.0903702,13.3217053,100.2,300,0.947,
21,21,61.5948694,12.4970815,100.5,30,0.947,
22,22,39.683248,-3.7729231,101.0,60000,0.947,
23,23,60.4856426,15.4234561,101.3,60000,0.947,
24,24,61.6931641,13.1422961,101.9,100,0.947,
25,25,62.0959569,12.3148484,102.7,30,0.947,
26,26,61.1325389,12.8129885,103.3,30,0.947,
27,27,61.7614209,12.4078865,103.4,30,0.947,
28,28,61.1792462,12.9919443,106.0,100,0.947,
29,29,61.1557237,13.2694088,88.6,250,0.947,
30,30,60.2,14.833333,89.8,200,0.947,
31,31,60.6070068,15.6323059,90.4,200,0.947,
32,32,60.2777918,15.9885408,98.2,100,0.947,
33,33,60.716667,15.0,98.2,200,0.947,
34,34,60.6864461,13.7145867,102.4,600,0.947,
35,35,60.416667,14.333333,103.7,200,0.947,
36,36,60.1430763,15.4143028,104.8,300,0.947,
37,37,39.683248,-3.7729231,106.3,1000,0.947,
38,38,61.8584278,12.7168462,106.4,50,0.947,
39,39,60.4856426,15.4234561,107.1,1000,0.947,
40,40,57.7851621,18.7906376,88.1,500,0.947,
41,41,57.6379361,18.297982,91.5,1000,0.947,
42,42,57.6379361,18.297982,100.2,60000,0.947,
43,43,61.3774428,15.8181755,99.4,100,0.947,
44,44,60.6750132,17.1467019,102.7,1000,0.947,
45,45,60.619422,16.7724214,89.9,1000,0.947,
46,46,61.2998501,17.0607599,89.7,300,0.947,
47,47,61.666667,17.166667,95.3,1000,0.947,
48,48,60.883333,16.583333,95.3,200,0.947,
49,49,60.6750132,17.1467019,98.3,300,0.947,
50,50,62.07855635,17.58960283,98.5,500,0.947,
51,51,61.3513005,16.3972013,100.3,250,0.947,
52,52,60.5,16.333333,103.6,250,0.947,
53,53,61.2998501,17.0607599,105.4,250,0.947,
